OBJECTID,town,old
234,美濃鎮,0.0859
235,六龜鄉,0.0897
236,甲仙鄉,0.0804
237,杉林鄉,0.0924
238,內門鄉,0.0824
239,茂林鄉,0.0569
240,桃源鄉,0.0423
241,三民鄉,0.0438
242,屏東市,0.0609
243,潮州鎮,0.06
244,東港鎮,0.0534
245,恆春鎮,0.0793
246,萬丹鄉,0.0622
247,長治鄉,0.083
248,麟洛鄉,0.0724
249,九如鄉,0.068
250,里港鄉,0.0698
251,鹽埔鄉,0.067
252,高樹鄉,0.0897
253,萬巒鄉,0.0805
254,內埔鄉,0.1052
255,竹田鄉,0.0898
256,新埤鄉,0.0854
257,枋寮鄉,0.0682
258,新園鄉,0.0572
259,崁頂鄉,0.0722
260,林邊鄉,0.0648
261,南州鄉,0.0736
262,佳冬鄉,0.0841
263,琉球鄉,0.0532
264,車城鄉,0.0928
265,滿州鄉,0.0947
266,枋山鄉,0.0848
267,三地鄉,0.0704
268,霧臺鄉,0.0853
269,瑪家鄉,0.0685
270,泰武鄉,0.0718
271,來義鄉,0.0663
272,春日鄉,0.0708
273,獅子鄉,0.0734
274,牡丹鄉,0.0882
275,臺東市,0.0751
276,成功鎮,0.0763
277,關山鎮,0.0938
278,卑南鄉,0.1381
279,鹿野鄉,0.0782
280,池上鄉,0.0812
281,東河鄉,0.1015
282,長濱鄉,0.0879
283,太麻里鄉,0.0918
284,大武鄉,0.1147
285,綠島鄉,0.0523
286,海端鄉,0.0548
287,延平鄉,0.0546
288,金峰鄉,0.0796
289,達仁鄉,0.0749
290,蘭嶼鄉,0.0713
291,花蓮市,0.0795
292,鳳林鎮,0.125
293,玉里鎮,0.1079
294,新城鄉,0.0817
295,吉安鄉,0.0607
296,壽豐鄉,0.1003
297,光復鄉,0.0886
298,豐濱鄉,0.0809
299,瑞穗鄉,0.0808
300,富里鄉,0.0939
301,秀林鄉,0.0621
302,萬榮鄉,0.0519
303,卓溪鄉,0.057
304,馬公市,0.0665
305,湖西鄉,0.0948
306,白沙鄉,0.109
307,西嶼鄉,0.101
308,望安鄉,0.1082
309,七美鄉,0.0945
310,中正區,0.0626
311,七堵區,0.0545
312,暖暖區,0.0819
