town,emplo
板橋鎮,8.722
三重市,11.2103
中和鄉,7.2299
永和鎮,7.8825
新莊鎮,8.9659
新店鎮,7.0866
樹林鎮,10.2061
鶯歌鎮,8.4904
三峽鎮,13.8352
淡水鎮,11.7038
汐止鎮,14.0056
瑞芳鎮,16.9453
土城鄉,12.4458
蘆洲鄉,12.0117
五股鄉,11.6352
泰山鄉,10.0038
林口鄉,6.7023
深坑鄉,13.8227
石碇鄉,14.2063
坪林鄉,11.8485
三芝鄉,7.6585
石門鄉,8.7831
八里鄉,7.5969
平溪鄉,13.3782
雙溪鄉,11.3906
貢寮鄉,11.3708
金山鄉,11.9463
萬里鄉,12.3474
烏來鄉,12.0075
宜蘭市,13.8864
羅東鎮,14.9179
頭城鎮,17.3608
蘇澳鎮,18.9371
礁溪鄉,18.1502
壯圍鄉,16.1228
員山鄉,13.4522
冬山鄉,13.5207
五結鄉,20.4688
三星鄉,14.9503
大同鄉,14.3078
南澳鄉,10.0439
桃園鎮,6.9685
中壢鎮,8.5822
大溪鎮,9.1667
楊梅鎮,8.8101
蘆竹鄉,6.106
大園鄉,7.658
龜山鄉,6.3746
八德鄉,4.0503
龍潭鄉,4.9797
平鎮鄉,8.4284
新屋鄉,9.8194
觀音鄉,11.697
復興鄉,6.3362
竹北鄉,11.1509
竹東鎮,13.5802
新埔鎮,13.4608
關西鎮,11.4001
湖口鄉,7.3295
新豐鄉,11.7233
芎林鄉,14.393
橫山鄉,9.9974
北埔鄉,9.6498
寶山鄉,10.3483
峨眉鄉,9.9466
尖石鄉,5.7981
五峰鄉,11.3636
苗栗鎮,10.5779
苑裡鎮,11.143
通霄鎮,13.8539
竹南鎮,11.494
頭份鎮,8.6382
後龍鎮,16.4746
卓蘭鎮,13.288
大湖鄉,8.8805
公館鄉,13.5245
銅鑼鄉,11.3854
南庄鄉,13.1455
頭屋鄉,11.0074
三義鄉,13.3797
西湖鄉,11.8364
造橋鄉,14.8848
三灣鄉,11.3897
獅潭鄉,8.1799
泰安鄉,7.1263
豐原鎮,11.2223
東勢鎮,11.1944
大甲鎮,10.1805
清水鎮,13.6877
沙鹿鎮,11.8777
梧棲鎮,16.5603
后里鄉,9.0184
神岡鄉,4.5875
潭子鄉,7.4939
大雅鄉,3.5772
新社鄉,7.593
石岡鄉,9.4949
外埔鄉,8.0715
大安鄉,9.0602
烏日鄉,8.4635
大肚鄉,12.9329
龍井鄉,14.5865
霧峰鄉,9.2909
太平鄉,5.1624
大里鄉,11.8687
和平鄉,6.1701
彰化市,10.4595
鹿港鎮,12.1392
和美鎮,14.6461
線西鄉,14.2452
伸港鄉,14.078
福興鄉,8.6498
秀水鄉,12.888
花壇鄉,11.49
芬園鄉,11.7104
員林鎮,10.4596
溪湖鎮,13.8329
田中鎮,11.8287
大村鄉,6.955
埔鹽鄉,11.18
埔心鄉,9.7858
永靖鄉,7.0002
社頭鄉,11.7364
二水鄉,10.1595
北斗鎮,9.917
二林鎮,7.1102
田尾鄉,7.6103
埤頭鄉,5.13
芳苑鄉,10.4451
大城鄉,9.4667
竹塘鄉,8.5711
溪州鄉,6.7492
南投鎮,11.036
埔里鎮,15.5047
草屯鎮,10.5571
竹山鎮,13.4831
集集鎮,10.0705
名間鄉,10.9721
鹿谷鄉,13.4397
中寮鄉,8.6951
魚池鄉,14.8689
國姓鄉,9.1209
水里鄉,10.1029
信義鄉,4.2485
仁愛鄉,1.9818
斗六鎮,11.6118
斗南鎮,13.5824
虎尾鎮,11.3139
西螺鎮,11.6003
土庫鎮,6.8486
北港鎮,13.045
古坑鄉,7.0436
大埤鄉,8.4447
莿桐鄉,9.7588
林內鄉,10.7396
二崙鄉,7.875
崙背鄉,4.3681
麥寮鄉,6.104
東勢鄉,5.2778
褒忠鄉,8.9857
臺西鄉,9.6973
元長鄉,6.2375
四湖鄉,9.4721
口湖鄉,10.1161
水林鄉,8.2246
太保市,4.6097
朴子鎮,13.4926
布袋鎮,14.1414
大林鎮,7.8511
民雄鄉,8.7549
溪口鄉,4.6026
新港鄉,8.329
六腳鄉,9.6867
東石鄉,14.0778
義竹鄉,8.6845
鹿草鄉,3.4426
水上鄉,5.4939
中埔鄉,8.1652
竹崎鄉,7.568
梅山鄉,9.4626
番路鄉,6.5746
大埔鄉,2.5858
吳鳳鄉,10.8669
新營鎮,9.2344
鹽水鎮,12.0754
白河鎮,5.8701
柳營鄉,6.6501
後壁鄉,8.12
東山鄉,6.1405
麻豆鎮,9.0877
下營鄉,5.5638
六甲鄉,5.8684
官田鄉,4.7547
大內鄉,5.578
佳里鎮,10.2679
學甲鄉,8.6883
西港鄉,4.5862
七股鄉,11.5211
將軍鄉,10.1483
北門鄉,10.3384
新化鎮,3.3387
善化鎮,6.8999
新市鄉,3.2542
安定鄉,9.4083
山上鄉,6.8341
玉井鄉,6.1508
楠西鄉,4.3814
南化鄉,2.3127
左鎮鄉,1.8004
仁德鄉,7.3793
歸仁鄉,11.8507
關廟鄉,7.5427
龍崎鄉,4.6867
永康鄉,7.6516
鳳山鎮,7.2274
林園鄉,10.2843
大寮鄉,7.9258
大樹鄉,8.4864
大社鄉,7.7115
仁武鄉,3.1586
鳥松鄉,6.1116
岡山鎮,9.1646
橋頭鄉,11.0724
燕巢鄉,5.1798
田寮鄉,12.9768
阿蓮鄉,4.6266
路竹鄉,9.5865
湖內鄉,10.5811
茄萣鄉,15.6277
永安鄉,12.5183
彌陀鄉,10.2614
梓官鄉,13.4794
旗山鎮,9.5024
美濃鎮,10.7152
六龜鄉,7.2129
甲仙鄉,4.6648
杉林鄉,5.8617
內門鄉,4.6062
茂林鄉,4.1431
桃源鄉,0.6394
三民鄉,0.4396
屏東市,8.7893
潮州鎮,9.5274
東港鎮,12.8579
恆春鎮,9.955
萬丹鄉,7.6939
長治鄉,7.4101
麟洛鄉,3.857
九如鄉,3.2518
里港鄉,6.5385
鹽埔鄉,2.6095
高樹鄉,5.9649
萬巒鄉,9.8725
內埔鄉,8.2938
竹田鄉,7.8339
新埤鄉,6.9992
枋寮鄉,10.2562
新園鄉,7.2408
崁頂鄉,6.6737
林邊鄉,8.8391
南州鄉,12.7367
佳冬鄉,7.662
琉球鄉,14.2664
車城鄉,10.0069
滿州鄉,9.0789
枋山鄉,6.1579
三地鄉,1.4469
霧臺鄉,3.0321
瑪家鄉,1.5851
泰武鄉,1.9153
來義鄉,0.4984
春日鄉,1.1138
獅子鄉,2.7268
牡丹鄉,4.0942
臺東鎮,11.0378
成功鎮,4.708
關山鎮,8.2829
卑南鄉,7.1713
鹿野鄉,6.4797
池上鄉,6.0827
東河鄉,4.7293
長濱鄉,0.2093
太麻里鄉,6.545
大武鄉,9.3285
綠島鄉,9.2121
海端鄉,0.9128
延平鄉,5.1315
金峰鄉,1.9277
達仁鄉,1.8354
蘭嶼鄉,2.3508
花蓮市,8.2888
鳳林鎮,4.6891
玉里鎮,7.1225
新城鄉,7.0762
吉安鄉,5.4878
壽豐鄉,5.602
光復鄉,6.5578
豐濱鄉,5.3073
瑞穗鄉,5.7728
富里鄉,6.1369
秀林鄉,3.056
萬榮鄉,0.827
卓溪鄉,0.9736
馬公鎮,7.9197
湖西鄉,6.957
白沙鄉,5.8446
西嶼鄉,7.8205
望安鄉,8.898
七美鄉,9.3612
中正區,7.5777
七堵區,11.6574
暖暖區,9.452
仁愛區,10.164
中山區,7.4886
安樂區,13.2703
信義區,12.246
新竹市,9.8744
香山鄉,13.026
中區,10.2977
東區,8.9372
南區,15.1781
西區,12.7359
北區,10.7938
西屯區,7.3688
南屯區,12.9529
北屯區,8.4879
嘉義市,13.0317
東區,8.9372
南區,15.1781
西區,12.7359
北區,10.7938
中區,10.2977
安南區,16.4044
安平區,15.3963
鹽埕區,12.4848
鼓山區,12.3842
左營區,5.546
楠梓區,9.3552
三民區,12.6077
新興區,11.7896
前金區,13.8236
苓雅區,12.9544
前鎮區,11.923
旗津區,13.355
小港鄉,11.174
大安區,6.0919
大同區,9.9764
松山區,7.1401
南港鎮,8.5099
內湖鄉,9.719
中山區,7.4886
北投鎮,9.1981
士林鎮,9.8802
城中區,4.1499
延平區,10.0539
建成區,10.5586
古亭區,6.5405
龍山區,9.58
雙園區,10.6322
景美鎮,8.4425
木柵鄉,8.4807
