town,mine
霧臺鄉,0.0600
瑪家鄉,0.0000
泰武鄉,0.0000
來義鄉,0.0000
春日鄉,0.0000
獅子鄉,0.0000
牡丹鄉,0.0000
臺東鎮,0.2500
成功鎮,0.1300
關山鎮,0.2800
卑南鄉,0.0400
鹿野鄉,0.0400
池上鄉,0.0700
東河鄉,0.0700
長濱鄉,0.0600
太麻里鄉,0.0300
大武鄉,0.0000
綠島鄉,0.0000
海端鄉,0.0000
延平鄉,0.0000
金峰鄉,0.0000
達仁鄉,0.0000
蘭嶼鄉,0.0000
花蓮市,0.4100
鳳林鎮,0.1300
玉里鎮,0.2200
新城鄉,0.4900
吉安鄉,0.2200
壽豐鄉,0.5900
光復鄉,0.3300
豐濱鄉,0.1000
瑞穗鄉,0.1200
富里鄉,0.0500
秀林鄉,1.0200
萬榮鄉,0.0000
卓溪鄉,0.0000
馬公鎮,0.1500
湖西鄉,0.0100
白沙鄉,0.0400
西嶼鄉,0.0900
望安鄉,0.0200
七美鄉,0.2000
中正區,2.8100
七堵區,33.3900
暖暖區,22.2400
仁愛區,5.1100
中山區,2.1700
安樂區,12.8300
信義區,16.9800
新竹市,0.5000
香山鄉,0.2300
中區,0.0500
東區,0.1200
南區,0.0800
西區,0.0900
北區,0.0900
西屯區,0.0300
南屯區,0.0200
北屯區,0.0000
嘉義市,0.3700
東區,0.3800
南區,1.6300
西區,0.2800
北區,0.3200
中區,0.2600
安南區,4.4700
安平區,3.2000
鹽埕區,0.3600
鼓山區,0.2400
左營區,0.1000
楠梓區,0.2500
三民區,0.1000
新興區,0.0700
前金區,0.1100
苓雅區,0.0400
前鎮區,0.0500
旗津區,0.0100
小港鄉,0.0700
大安區,0.4600
大同區,0.3400
松山區,1.2400
南港鎮,9.6800
內湖鄉,7.7400
中山區,0.5000
北投鎮,0.7200
士林鎮,0.5500
城中區,0.3400
延平區,0.3200
建成區,0.5700
古亭區,0.5300
龍山區,0.4100
雙園區,0.5300
景美鎮,2.8800
木柵鄉,8.1400
