town,chu
板橋鎮,19.511
三重市,17.8855
中和鄉,19.1803
永和鎮,20.711
新莊鎮,17.3606
新店鎮,17.1719
樹林鎮,18.6489
鶯歌鎮,14.9809
三峽鎮,10.8468
淡水鎮,15.7581
汐止鎮,11.25
瑞芳鎮,14.2119
土城鄉,14.3262
蘆洲鄉,10.6716
五股鄉,12.0991
泰山鄉,17.1156
林口鄉,12.6076
深坑鄉,9.2247
石碇鄉,5.8097
坪林鄉,4.442
三芝鄉,7.855
石門鄉,8.427
八里鄉,6.2227
平溪鄉,11.24
雙溪鄉,13.4923
貢寮鄉,8.1316
金山鄉,8.6165
萬里鄉,7.0717
烏來鄉,13.3096
宜蘭市,20.3747
羅東鎮,23.6666
頭城鎮,13.706
蘇澳鎮,10.4668
礁溪鄉,10.2787
壯圍鄉,7.2434
員山鄉,8.0237
冬山鄉,10.5789
五結鄉,13.2695
三星鄉,10.2797
大同鄉,8.5729
南澳鄉,11.2984
桃園鎮,20.594
中壢鎮,20.0474
大溪鎮,14.049
楊梅鎮,19.5504
蘆竹鄉,17.0389
大園鄉,14.191
龜山鄉,15.1132
八德鄉,16.3677
龍潭鄉,23.1021
平鎮鄉,20.0356
新屋鄉,12.3835
觀音鄉,12.8165
復興鄉,8.2679
竹北鄉,13.8085
竹東鎮,21.5988
新埔鎮,17.5723
關西鎮,17.6066
湖口鄉,19.9993
新豐鄉,11.4788
芎林鄉,19.0193
橫山鄉,17.3188
北埔鄉,16.115
寶山鄉,12.5182
峨眉鄉,16.7558
尖石鄉,10.654
五峰鄉,11.1154
苗栗鎮,22.7615
苑裡鎮,10.9946
通霄鎮,9.5728
竹南鎮,16.7612
頭份鎮,20.3871
後龍鎮,11.1518
卓蘭鎮,13.2079
大湖鄉,16.5616
公館鄉,17.6242
銅鑼鄉,17.749
南庄鄉,12.3801
頭屋鄉,13.7374
三義鄉,14.565
西湖鄉,15.5492
造橋鄉,17.1138
三灣鄉,12.8556
獅潭鄉,12.1212
泰安鄉,10.0381
豐原鎮,19.0611
東勢鎮,17.6129
大甲鎮,13.7924
清水鎮,13.2189
沙鹿鎮,10.6019
梧棲鎮,9.9218
后里鄉,16.4649
神岡鄉,13.9171
潭子鄉,15.2323
大雅鄉,17.6104
新社鄉,16.1734
石岡鄉,17.9419
外埔鄉,9.62
大安鄉,7.8995
烏日鄉,14.0149
大肚鄉,10.4979
龍井鄉,8.2839
霧峰鄉,13.7418
太平鄉,10.3595
大里鄉,11.8828
和平鄉,16.2543
彰化市,18.3567
鹿港鎮,10.2062
和美鎮,9.2398
線西鄉,7.1706
伸港鄉,7.7576
福興鄉,7.7864
秀水鄉,11.2253
花壇鄉,11.2819
芬園鄉,9.0833
員林鎮,14.3335
溪湖鎮,11.9407
田中鎮,17.046
大村鄉,7.0371
埔鹽鄉,8.2992
埔心鄉,8.2932
永靖鄉,9.0091
社頭鄉,12.3742
二水鄉,14.0493
北斗鎮,16.1046
二林鎮,11.6578
田尾鄉,11.1725
埤頭鄉,10.9356
芳苑鄉,7.1398
大城鄉,6.6662
竹塘鄉,11.924
溪州鄉,13.2837
南投鎮,19.0001
埔里鎮,11.6401
草屯鎮,14.8036
竹山鎮,12.3927
集集鎮,15.403
名間鄉,11.7228
鹿谷鄉,10.2994
中寮鄉,8.7124
魚池鄉,12.9344
國姓鄉,8.3528
水里鄉,13.8129
信義鄉,6.4484
仁愛鄉,9.753
斗六鎮,16.6079
斗南鎮,13.7074
虎尾鎮,17.1062
西螺鎮,12.5826
土庫鎮,9.5674
北港鎮,17.143
古坑鄉,9.9125
大埤鄉,8.3831
莿桐鄉,11.2388
林內鄉,10.7687
二崙鄉,9.4847
崙背鄉,9.4291
麥寮鄉,7.2079
東勢鄉,8.4609
褒忠鄉,11.1168
臺西鄉,5.0816
元長鄉,7.8364
四湖鄉,6.5939
口湖鄉,4.9847
水林鄉,7.5399
太保市,9.9352
朴子鎮,15.1367
布袋鎮,10.6176
大林鎮,12.7547
民雄鄉,13.0848
溪口鄉,9.1252
新港鄉,9.6796
六腳鄉,13.2561
東石鄉,5.8942
義竹鄉,10.5737
鹿草鄉,10.3714
水上鄉,16.7555
中埔鄉,12.3751
竹崎鄉,10.5311
梅山鄉,10.309
番路鄉,8.7786
大埔鄉,5.7048
吳鳳鄉,12.9504
新營鎮,22.2562
鹽水鎮,16.4795
白河鎮,12.7604
柳營鄉,12.4928
後壁鄉,13.674
東山鄉,10.7764
麻豆鎮,17.6139
下營鄉,11.5211
六甲鄉,12.8684
官田鄉,14.6873
大內鄉,10.2471
佳里鎮,18.4076
學甲鄉,14.0411
西港鄉,11.8405
七股鄉,9.6075
將軍鄉,9.4454
北門鄉,9.1065
新化鎮,15.2023
善化鎮,15.1712
新市鄉,11.9502
安定鄉,9.3368
山上鄉,12.8312
玉井鄉,18.4193
楠西鄉,10.9754
南化鄉,10.2185
左鎮鄉,9.4571
仁德鄉,17.0011
歸仁鄉,13.7315
關廟鄉,11.9854
龍崎鄉,7.1398
永康鄉,14.7508
鳳山鎮,21.53
林園鄉,14.8168
大寮鄉,15.1998
大樹鄉,12.7203
大社鄉,10.1445
仁武鄉,19.014
鳥松鄉,14.9586
岡山鎮,21.6976
橋頭鄉,19.0056
燕巢鄉,11.948
田寮鄉,8.3359
阿蓮鄉,10.9204
路竹鄉,13.9138
湖內鄉,12.9081
茄萣鄉,5.628
永安鄉,10.5231
彌陀鄉,7.291
梓官鄉,9.1255
旗山鎮,20.3761
美濃鎮,22.4613
六龜鄉,10.7769
甲仙鄉,9.6719
杉林鄉,12.5059
內門鄉,9.5059
茂林鄉,6.3861
桃源鄉,6.411
三民鄉,6.8789
屏東市,21.9316
潮州鎮,19.1916
東港鎮,14.1512
恆春鎮,15.6859
萬丹鄉,13.0117
長治鄉,15.2116
麟洛鄉,20.6771
九如鄉,12.9917
里港鄉,13.3904
鹽埔鄉,10.5938
高樹鄉,10.783
萬巒鄉,16.6537
內埔鄉,16.9756
竹田鄉,19.7285
新埤鄉,12.5035
枋寮鄉,12.3124
新園鄉,10.1236
崁頂鄉,12.2145
林邊鄉,14.844
南州鄉,18.2039
佳冬鄉,14.8066
琉球鄉,6.0841
車城鄉,14.9248
滿州鄉,10.6599
枋山鄉,10.7127
三地鄉,5.9786
霧臺鄉,3.5294
瑪家鄉,10.8347
泰武鄉,5.871
來義鄉,2.7628
春日鄉,2.6385
獅子鄉,7.885
牡丹鄉,7.5
臺東鎮,19.6957
成功鎮,9.8174
關山鎮,14.2681
卑南鄉,10.3303
鹿野鄉,10.4638
池上鄉,11.9184
東河鄉,8.1729
長濱鄉,7.377
太麻里鄉,6.7011
大武鄉,8.241
綠島鄉,7.6681
海端鄉,7.9908
延平鄉,8.5339
金峰鄉,8.8889
達仁鄉,7.2408
蘭嶼鄉,7.8189
花蓮市,21.549
鳳林鎮,16.0355
玉里鎮,12.913
新城鄉,13.9504
吉安鄉,12.9168
壽豐鄉,10.127
光復鄉,13.6236
豐濱鄉,6.7532
瑞穗鄉,12.3563
富里鄉,11.3356
秀林鄉,7.0958
萬榮鄉,5.1999
卓溪鄉,6.5934
馬公鎮,19.9364
湖西鄉,15.0516
白沙鄉,13.5259
西嶼鄉,9.9801
望安鄉,3.2087
七美鄉,1.8421
中正區,22.4208
七堵區,16.1796
暖暖區,20.7879
仁愛區,21.7788
中山區,18.8402
安樂區,17.9334
信義區,21.6645
新竹市,21.8116
香山鄉,11.5541
中區,24.8435
東區,19.6112
南區,18.5988
西區,20.5678
北區,21.2579
西屯區,15.6783
南屯區,12.378
北屯區,15.5834
嘉義市,20.0302
東區,20.9784
南區,15.4522
西區,18.7176
北區,20.4044
中區,24.541
安南區,6.0917
安平區,13.4796
鹽埕區,21.6475
鼓山區,18.7588
左營區,27.0506
楠梓區,17.9631
三民區,19.2754
新興區,22.389
前金區,21.2276
苓雅區,19.4239
前鎮區,19.9397
旗津區,13.1214
小港鄉,15.018
大安區,19.9152
大同區,19.9702
松山區,20.2099
南港鎮,17.7026
內湖鄉,15.7002
中山區,22.0857
北投鎮,16.8508
士林鎮,17.5089
城中區,22.0468
延平區,24.3441
建成區,22.9681
古亭區,21.4404
龍山區,23.5599
雙園區,17.729
景美鎮,20.4328
木柵鄉,17.4169
