town,da
西嶼鄉,10.21
望安鄉,14.03
七美鄉,11.96
臺東市,25.97
成功鎮,11.13
關山鎮,13.25
卑南鄉,16.01
鹿野鄉,8.07
池上鄉,9.88
東河鄉,6.68
長濱鄉,6.31
太麻里鄉,10.37
大武鄉,10.67
綠島鄉,16.28
海端鄉,10.98
延平鄉,12.89
金峰鄉,11.67
達仁鄉,10.31
蘭嶼鄉,13.92
花蓮市,40.95
鳳林鎮,14.3
玉里鎮,19.46
新城鄉,29.43
吉安鄉,28.61
壽豐鄉,31.54
光復鄉,12.12
豐濱鄉,8.61
瑞穗鄉,10.96
富里鄉,8.24
秀林鄉,12.63
萬榮鄉,10.43
卓溪鄉,12.17
中正區,31.39
