OBJECTID,town,divorced
1,板橋市,4.95
2,三重市,5.28
3,中和市,4.66
4,永和市,5.34
5,新莊市,4.56
6,新店市,5.29
7,樹林市,4.5
8,鶯歌鎮,4.57
9,三峽鎮,4.78
10,淡水鎮,5.04
11,汐止市,5.15
12,瑞芳鎮,4.71
13,土城市,5.51
14,蘆洲市,4.91
15,五股鄉,4.48
16,泰山鄉,4.48
17,林口鄉,4.05
18,深坑鄉,4.89
19,石碇鄉,3.96
20,坪林鄉,1.92
21,三芝鄉,3.99
22,石門鄉,4.28
23,八里鄉,5.04
24,平溪鄉,3.66
25,雙溪鄉,3.01
26,貢寮鄉,3.4
27,金山鄉,3.55
28,萬里鄉,5.41
29,烏來鄉,5.69
30,宜蘭市,3.68
31,羅東鎮,3.77
32,蘇澳鎮,3.31
33,頭城鎮,3.05
34,礁溪鄉,3.15
35,壯圍鄉,2.72
36,員山鄉,3.04
37,冬山鄉,3.12
38,五結鄉,2.87
39,三星鄉,4.7
40,大同鄉,6.61
41,南澳鄉,8.27
42,桃園市,4.97
43,中壢市,4.74
44,大溪鎮,4.12
45,楊梅鎮,4.25
46,蘆竹鄉,3.41
47,大園鄉,3.54
48,龜山鄉,5.7
49,八德市,4.24
50,龍潭鄉,4.41
51,平鎮市,4.25
52,新屋鄉,2.39
53,觀音鄉,2.8
54,復興鄉,8.1
55,竹北市,2.93
56,竹東鎮,3.78
57,新埔鎮,3.02
58,關西鎮,3.17
59,湖口鄉,3.13
60,新豐鄉,3.27
61,芎林鄉,2.54
62,橫山鄉,2.97
63,北埔鄉,2.98
64,寶山鄉,2.37
65,峨眉鄉,3.26
66,尖石鄉,8.08
67,五峰鄉,8.78
68,苗栗市,3.5
69,苑裡鎮,2.12
70,通霄鎮,2.39
71,竹南鎮,3.3
72,頭份鎮,3.34
73,後龍鎮,2.62
74,卓蘭鎮,2.52
75,大湖鄉,2.83
76,公館鄉,2.81
77,銅鑼鄉,2.75
78,南庄鄉,4.46
79,頭屋鄉,3.59
80,三義鄉,3.61
81,西湖鄉,2.22
82,造橋鄉,2.79
83,三灣鄉,2.4
84,獅潭鄉,2.85
85,泰安鄉,4.69
86,豐原市,3.52
87,東勢鎮,2.93
88,大甲鎮,3.04
89,清水鎮,2.56
90,沙鹿鎮,2.73
91,梧棲鎮,3.19
92,后里鄉,3.39
93,神岡鄉,2.78
94,潭子鄉,3.94
95,大雅鄉,3.38
96,新社鄉,2.8
97,石岡鄉,3.58
98,外埔鄉,2.87
99,大安鄉,2.07
100,烏日鄉,2.84
101,大肚鄉,2.81
102,龍井鄉,2.42
103,霧峰鄉,3.34
104,太平市,4.56
105,大里市,4.01
106,和平鄉,5.25
107,彰化市,3
108,鹿港鎮,1.77
109,和美鎮,2.45
110,線西鄉,2.02
111,伸港鄉,2
112,福興鄉,1.85
113,秀水鄉,1.71
114,花壇鄉,2.24
115,芬園鄉,3.61
116,員林鎮,3.04
117,溪湖鎮,2.28
118,田中鎮,3.11
119,大村鄉,2.15
120,埔鹽鄉,1.71
121,埔心鄉,2.36
122,永靖鄉,2.23
123,社頭鄉,2.21
124,二水鄉,2.5
125,北斗鎮,2.41
126,二林鎮,3.07
127,田尾鄉,2.07
128,埤頭鄉,1.84
129,芳苑鄉,2.02
130,大城鄉,1.81
131,竹塘鄉,1.97
132,溪州鄉,2.28
133,南投市,2.64
134,埔里鎮,4.85
135,草屯鎮,3.53
136,竹山鎮,3.37
137,集集鎮,2.92
138,名間鄉,2.41
139,鹿谷鄉,2.5
140,中寮鄉,2.73
141,魚池鄉,3.62
142,國姓鄉,3.75
143,水里鄉,3.49
144,信義鄉,4.18
145,仁愛鄉,7.49
146,斗六市,3.39
147,斗南鎮,2.79
148,虎尾鎮,3.3
149,西螺鎮,2.06
150,土庫鎮,2.29
151,北港鎮,2.46
152,古坑鄉,2.88
153,大埤鄉,2.53
154,莿桐鄉,2.55
155,林內鄉,2.97
156,二崙鄉,2.24
157,崙背鄉,2.19
158,麥寮鄉,2.85
159,東勢鄉,2.01
160,褒忠鄉,2.36
161,臺西鄉,2.63
162,元長鄉,2.24
163,四湖鄉,1.94
164,口湖鄉,2.49
165,水林鄉,2.16
166,太保市,2.96
167,朴子市,2.36
168,布袋鎮,2.77
169,大林鎮,3.18
170,民雄鄉,3.27
171,溪口鄉,2.48
172,新港鄉,2.38
173,六腳鄉,2.81
174,東石鄉,2.39
175,義竹鄉,2.4
176,鹿草鄉,4.62
177,水上鄉,3.76
178,中埔鄉,3.54
179,竹崎鄉,3.45
180,梅山鄉,3.04
181,番路鄉,2.83
182,大埔鄉,4.54
183,阿里山鄉,5.66
184,新營市,5.04
185,鹽水鎮,4.33
186,白河鎮,4.13
187,柳營鄉,4.17
188,後壁鄉,3.06
189,東山鄉,3.91
190,麻豆鎮,3.25
191,下營鄉,2.79
192,六甲鄉,3.96
193,官田鄉,3.43
194,大內鄉,3.97
195,佳里鎮,3.23
196,學甲鎮,3.77
197,西港鄉,3.53
198,七股鄉,3.48
199,將軍鄉,4.72
200,北門鄉,4.38
201,新化鎮,4.98
202,善化鎮,3.41
203,新市鄉,3.36
204,安定鄉,4.06
205,山上鄉,4.62
206,玉井鄉,4.55
207,楠西鄉,3.28
208,南化鄉,3.51
209,左鎮鄉,5.26
210,仁德鄉,5.03
211,歸仁鄉,5.59
212,關廟鄉,3.6
213,龍崎鄉,3.96
214,永康市,5.37
215,鳳山市,4.63
216,林園鄉,4.65
217,大寮鄉,5.15
218,大樹鄉,3.56
219,大社鄉,4.46
220,仁武鄉,3.85
221,鳥松鄉,3.99
222,岡山鎮,4.12
223,橋頭鄉,4.16
224,燕巢鄉,4.82
225,田寮鄉,2.81
226,阿蓮鄉,3.75
227,路竹鄉,3.29
228,湖內鄉,3.49
229,茄萣鄉,3.33
230,永安鄉,2.89
231,彌陀鄉,3.39
232,梓官鄉,3.87
233,旗山鎮,4.72
234,美濃鎮,3.01
235,六龜鄉,6
236,甲仙鄉,5.38
237,杉林鄉,4.74
238,內門鄉,3.66
239,茂林鄉,8.4
240,桃源鄉,6.15
241,三民鄉,4.33
242,屏東市,4.8
243,潮州鎮,5.06
244,東港鎮,2.9
245,恆春鎮,4.91
246,萬丹鄉,2.94
247,長治鄉,4.26
248,麟洛鄉,3.92
249,九如鄉,3.7
250,里港鄉,3.73
251,鹽埔鄉,3.89
252,高樹鄉,3.97
253,萬巒鄉,4.06
254,內埔鄉,4.53
255,竹田鄉,6.29
256,新埤鄉,4.35
257,枋寮鄉,4.37
258,新園鄉,3.34
259,崁頂鄉,3.54
260,林邊鄉,3.91
261,南州鄉,3.49
262,佳冬鄉,3.86
263,琉球鄉,1.94
264,車城鄉,4.8
265,滿州鄉,5.77
266,枋山鄉,6.33
267,三地門鄉,9.47
268,霧臺鄉,7.85
269,瑪家鄉,6.86
270,泰武鄉,3.49
271,來義鄉,8.26
272,春日鄉,8.7
273,獅子鄉,10
274,牡丹鄉,7.03
275,臺東市,5.86
276,成功鎮,5
277,關山鎮,4.69
278,卑南鄉,7.93
279,鹿野鄉,6.16
280,池上鄉,4.32
281,東河鄉,7.83
282,長濱鄉,4.54
283,太麻里鄉,7.32
284,大武鄉,7.75
285,綠島鄉,4.89
286,海端鄉,4.2
287,延平鄉,4.23
288,金峰鄉,7.9
289,達仁鄉,7.94
290,蘭嶼鄉,4.08
291,花蓮市,5.95
292,鳳林鎮,4.8
293,玉里鎮,8.87
294,新城鄉,7.59
295,吉安鄉,5.88
296,壽豐鄉,5.99
297,光復鄉,6.26
298,豐濱鄉,5.19
299,瑞穗鄉,5.02
300,富里鄉,4.44
301,秀林鄉,10.06
302,萬榮鄉,7.23
303,卓溪鄉,8.2
304,馬公市,3.4
305,湖西鄉,5.54
306,白沙鄉,2.41
307,西嶼鄉,1.92
308,望安鄉,1.73
309,七美鄉,2.34
310,中正區,5.99
311,七堵區,4.75
312,暖暖區,5.89
313,仁愛區,5.76
314,中山區,6
315,安樂區,5.79
316,信義區,5.87
317,東區,3.77
318,北區,4.16
319,香山區,3.53
320,中區,7.11
321,東區,4.59
322,南區,4.81
323,西區,5.31
324,北區,6.66
325,西屯區,4.73
326,南屯區,5.5
327,北屯區,5.44
328,東區,3.91
329,西區,4.74
330,東區,4.95
331,南區,5.42
332,西區,5.81
333,北區,5.2
334,中區,4.16
335,安南區,4.04
336,安平區,6.4
337,松山區,5.2
338,信義區,5.11
339,大安區,4.99
340,中山區,6.82
341,中正區,4.61
342,大同區,5.12
343,萬華區,6.28
344,文山區,5.08
345,南港區,4.88
346,內湖區,4.91
347,士林區,4.68
348,北投區,5.25
349,鹽埕區,7.03
350,鼓山區,6.07
351,左營區,5.66
352,楠梓區,5.25
353,三民區,5.67
354,新興區,5.89
355,前金區,6.87
356,苓雅區,5.95
357,前鎮區,5.45
358,旗津區,5.29
359,小港區,4.43
