OBJECTID,town,young
1,板橋鎮,0.425113
2,三重市,0.441334
3,中和鄉,0.415762
4,永和鎮,0.400003
5,新莊鎮,0.420311
6,新店鎮,0.390275
7,樹林鎮,0.432046
8,鶯歌鎮,0.446803
9,三峽鎮,0.466072
10,淡水鎮,0.425304
11,汐止鎮,0.496031
12,瑞芳鎮,0.479033
13,土城鄉,0.424884
14,蘆洲鄉,0.4284
15,五股鄉,0.453847
16,泰山鄉,0.384371
17,林口鄉,0.397793
18,深坑鄉,0.474498
19,石碇鄉,0.485157
20,坪林鄉,0.481781
21,三芝鄉,0.442599
22,石門鄉,0.423483
23,八里鄉,0.457346
24,平溪鄉,0.506605
25,雙溪鄉,0.489819
26,貢寮鄉,0.456036
27,金山鄉,0.459052
28,萬里鄉,0.481794
29,烏來鄉,0.443636
30,宜蘭市,0.420317
31,羅東鎮,0.433933
32,頭城鎮,0.451988
33,蘇澳鎮,0.460431
34,礁溪鄉,0.442174
35,壯圍鄉,0.452307
36,員山鄉,0.422329
37,冬山鄉,0.451302
38,五結鄉,0.441023
39,三星鄉,0.433986
40,大同鄉,0.433699
41,南澳鄉,0.467736
42,桃園鎮,0.426706
43,中壢鎮,0.423352
44,大溪鎮,0.42309
45,楊梅鎮,0.434226
46,蘆竹鄉,0.446784
47,大園鄉,0.453944
48,龜山鄉,0.370528
49,八德鄉,0.36352
50,龍潭鄉,0.376479
51,平鎮鄉,0.399767
52,新屋鄉,0.462395
53,觀音鄉,0.457579
54,復興鄉,0.47037
55,竹北鄉,0.4557
56,竹東鎮,0.441861
57,新埔鎮,0.426295
58,關西鎮,0.452007
59,湖口鄉,0.345345
60,新豐鄉,0.462753
61,芎林鄉,0.438074
62,橫山鄉,0.456359
63,北埔鄉,0.435948
64,寶山鄉,0.42794
65,峨眉鄉,0.437055
66,尖石鄉,0.490815
67,五峰鄉,0.52021
68,苗栗鎮,0.408345
69,苑裡鎮,0.459129
70,通霄鎮,0.445842
71,竹南鎮,0.455991
72,頭份鎮,0.428855
73,後龍鎮,0.453123
74,卓蘭鎮,0.453665
75,大湖鄉,0.462966
76,公館鄉,0.427978
77,銅鑼鄉,0.447219
78,南庄鄉,0.476711
79,頭屋鄉,0.443737
80,三義鄉,0.466284
81,西湖鄉,0.454951
82,造橋鄉,0.452882
83,三灣鄉,0.466036
84,獅潭鄉,0.48175
85,泰安鄉,0.484948
86,豐原鎮,0.432781
87,東勢鎮,0.430786
88,大甲鎮,0.429311
89,清水鎮,0.442621
90,沙鹿鎮,0.442679
91,梧棲鎮,0.438085
92,后里鄉,0.384889
93,神岡鄉,0.387902
94,潭子鄉,0.402359
95,大雅鄉,0.333087
96,新社鄉,0.413065
97,石岡鄉,0.412959
98,外埔鄉,0.457074
99,大安鄉,0.452795
100,烏日鄉,0.415273
101,大肚鄉,0.449994
102,龍井鄉,0.466303
103,霧峰鄉,0.455323
104,太平鄉,0.389957
105,大里鄉,0.417406
106,和平鄉,0.409771
107,彰化市,0.434783
108,鹿港鎮,0.441144
109,和美鎮,0.452152
110,線西鄉,0.463658
111,伸港鄉,0.472204
112,福興鄉,0.462192
113,秀水鄉,0.458477
114,花壇鄉,0.458636
115,芬園鄉,0.43775
116,員林鎮,0.447427
117,溪湖鎮,0.446746
118,田中鎮,0.408621
119,大村鄉,0.453669
120,埔鹽鄉,0.447133
121,埔心鄉,0.43549
122,永靖鄉,0.439288
123,社頭鄉,0.428546
124,二水鄉,0.426124
125,北斗鎮,0.422803
126,二林鎮,0.459584
127,田尾鄉,0.434545
128,埤頭鄉,0.425972
129,芳苑鄉,0.458407
130,大城鄉,0.454917
131,竹塘鄉,0.445183
132,溪州鄉,0.42438
133,南投鎮,0.432276
134,埔里鎮,0.480735
135,草屯鎮,0.443385
136,竹山鎮,0.453276
137,集集鎮,0.444374
138,名間鄉,0.446454
139,鹿谷鄉,0.477426
140,中寮鄉,0.471638
141,魚池鄉,0.453748
142,國姓鄉,0.475965
143,水里鄉,0.467619
144,信義鄉,0.50902
145,仁愛鄉,0.476633
146,斗六鎮,0.416274
147,斗南鎮,0.444772
148,虎尾鎮,0.427027
149,西螺鎮,0.428657
150,土庫鎮,0.452754
151,北港鎮,0.443212
152,古坑鄉,0.454943
153,大埤鄉,0.456609
154,莿桐鄉,0.44096
155,林內鄉,0.461501
156,二崙鄉,0.445961
157,崙背鄉,0.463851
158,麥寮鄉,0.484892
159,東勢鄉,0.471021
160,褒忠鄉,0.471725
161,臺西鄉,0.473388
162,元長鄉,0.464475
163,四湖鄉,0.481589
164,口湖鄉,0.489134
165,水林鄉,0.460262
