town,indu
霧臺鄉,0.0000
瑪家鄉,0.0500
泰武鄉,0.0000
來義鄉,0.0000
春日鄉,0.0500
獅子鄉,0.0500
牡丹鄉,0.0000
臺東鎮,2.0900
成功鎮,0.4900
關山鎮,0.6400
卑南鄉,0.2500
鹿野鄉,0.2300
池上鄉,0.3300
東河鄉,0.1900
長濱鄉,0.1500
太麻里鄉,0.0700
大武鄉,0.1800
綠島鄉,0.0700
海端鄉,0.0000
延平鄉,0.0000
金峰鄉,0.0000
達仁鄉,0.0600
蘭嶼鄉,0.0000
花蓮市,2.7500
鳳林鎮,0.6400
玉里鎮,0.6500
新城鄉,0.4000
吉安鄉,0.5200
壽豐鄉,0.1000
光復鄉,0.4800
豐濱鄉,3.9600
瑞穗鄉,0.3400
富里鄉,0.3200
秀林鄉,0.0200
萬榮鄉,0.0000
卓溪鄉,0.0000
馬公鎮,1.0400
湖西鄉,0.1200
白沙鄉,0.1500
西嶼鄉,0.0400
望安鄉,0.0000
七美鄉,0.0400
中正區,1.5200
七堵區,0.8000
暖暖區,1.3000
仁愛區,3.9500
中山區,0.6500
安樂區,1.1200
信義區,2.5000
新竹市,2.2400
香山鄉,0.6900
中區,6.1300
東區,2.6100
南區,3.4500
西區,4.9100
北區,3.4400
西屯區,0.5800
南屯區,1.1400
北屯區,0.8600
嘉義市,2.5000
東區,2.2700
南區,1.6100
西區,2.9600
北區,2.7100
中區,6.6500
安南區,0.2800
安平區,0.9200
鹽埕區,3.7900
鼓山區,2.2300
左營區,0.5200
楠梓區,0.8100
三民區,2.3700
新興區,4.0100
前金區,5.5400
苓雅區,2.0000
前鎮區,0.5800
旗津區,0.7400
小港鄉,0.2300
大安區,7.6500
大同區,5.2800
松山區,5.0700
南港鎮,0.8600
內湖鄉,0.6900
中山區,8.9800
北投鎮,2.1600
士林鎮,3.7300
城中區,7.9000
延平區,8.6500
建成區,8.7400
古亭區,6.7900
龍山區,7.7400
雙園區,5.1700
景美鎮,2.7600
木柵鄉,2.7000
