town,farm
玉里鎮,63.52
新城鄉,32.26
吉安鄉,54.81
壽豐鄉,76.78
光復鄉,64.9
豐濱鄉,75.83
瑞穗鄉,65.74
富里鄉,71.9
秀林鄉,81.54
萬榮鄉,94.2
卓溪鄉,87.22
馬公鎮,21.28
湖西鄉,42.86
白沙鄉,57.36
西嶼鄉,57.81
望安鄉,91.75
七美鄉,88.13
中正區,18.41
七堵區,7.85
暖暖區,4.71
仁愛區,2.49
中山區,2.12
安樂區,4.77
信義區,2.78
新竹市,7.45
香山鄉,41.54
中區,1.08
東區,4.2
南區,10.17
西區,6.4
北區,5.12
西屯區,36.51
南屯區,45.92
北屯區,42.66
嘉義市,10.43
東區,3.65
南區,16.84
西區,2.94
北區,2.82
中區,1.08
安南區,57.61
安平區,18.38
鹽埕區,1.77
鼓山區,10.51
左營區,4.69
楠梓區,17.2
三民區,8.35
新興區,2.59
前金區,2.35
苓雅區,5.2
前鎮區,4.69
旗津區,28.36
小港鄉,31.69
大安區,0.88
大同區,0.96
松山區,2.62
南港鎮,4.65
內湖鄉,13.27
中山區,1.41
北投鎮,14.55
士林鎮,15.51
城中區,0.34
延平區,0.43
建成區,0.39
古亭區,0.73
龍山區,0.32
雙園區,1.61
景美鎮,3.45
木柵鄉,11.58
