OBJECTID,town,pop_den
1,板橋鎮,3313.84
2,三重市,10883.25
3,中和鄉,2650.6
4,永和鎮,12082.88
5,新莊鎮,1660.47
6,新店鎮,624.74
7,樹林鎮,1080.96
8,鶯歌鎮,1280.06
9,三峽鎮,219.58
10,淡水鎮,665.91
11,汐止鎮,770.46
12,瑞芳鎮,986.82
13,土城鄉,914.36
14,蘆洲鄉,2581.94
15,五股鄉,589.14
16,泰山鄉,754.08
17,林口鄉,387.99
18,深坑鄉,326.79
19,石碇鄉,92.64
20,坪林鄉,50.6
21,三芝鄉,248.16
22,石門鄉,243.72
23,八里鄉,299.19
24,平溪鄉,230.27
25,雙溪鄉,151.78
26,貢寮鄉,186.11
27,金山鄉,342.65
28,萬里鄉,269.11
29,烏來鄉,9.42
30,宜蘭市,2315.61
31,羅東鎮,3985.54
32,頭城鎮,543.05
33,蘇澳鎮,321.87
34,礁溪鄉,332.9
35,壯圍鄉,626.95
36,員山鄉,295.29
37,冬山鄉,409.24
38,五結鄉,845.68
39,三星鄉,186.95
40,大同鄉,15.51
41,南澳鄉,7.07
42,桃園鎮,2394.4
43,中壢鎮,1419.85
44,大溪鎮,498.53
45,楊梅鎮,708.51
46,蘆竹鄉,507.1
47,大園鄉,581.5
48,龜山鄉,644.66
49,八德鄉,836.58
50,龍潭鄉,606.77
51,平鎮鄉,881.79
52,新屋鄉,516.97
53,觀音鄉,523.34
54,復興鄉,31.51
55,竹北鄉,842.04
56,竹東鎮,1010.22
57,新埔鎮,512.79
58,關西鎮,336.4
59,湖口鄉,737.12
60,新豐鄉,509.73
61,芎林鄉,440.47
62,橫山鄉,342.24
63,北埔鄉,288.57
64,寶山鄉,240.77
65,峨眉鄉,234.23
66,尖石鄉,17.64
67,五峰鄉,23.47
68,苗栗鎮,1576.34
69,苑裡鎮,676.86
70,通霄鎮,388.55
71,竹南鎮,1009.42
72,頭份鎮,877.17
73,後龍鎮,611.9
74,卓蘭鎮,266.39
75,大湖鄉,256.83
76,公館鄉,441.6
77,銅鑼鄉,311.7
78,南庄鄉,148.02
79,頭屋鄉,254.23
80,三義鄉,218.35
81,西湖鄉,327.76
82,造橋鄉,310.85
83,三灣鄉,266.86
84,獅潭鄉,145.9
85,泰安鄉,12.43
86,豐原鎮,2044.37
87,東勢鎮,453.84
88,大甲鎮,911.55
89,清水鎮,948.37
90,沙鹿鎮,895.99
91,梧棲鎮,1465.83
92,后里鄉,697.19
93,神岡鄉,1009.92
94,潭子鄉,983.76
95,大雅鄉,1083.4
96,新社鄉,356
97,石岡鄉,776.31
98,外埔鄉,466.35
99,大安鄉,742.87
100,烏日鄉,796.21
