OBJECTID,town,women
1,板橋市,0.5942
2,三重市,0.5833
3,中和市,0.6057
4,永和市,0.6053
5,新莊市,0.5944
6,新店市,0.5981
7,樹林市,0.5663
8,鶯歌鎮,0.552
9,三峽鎮,0.549
10,淡水鎮,0.5963
11,汐止市,0.5836
12,瑞芳鎮,0.5353
13,土城市,0.5795
14,蘆洲市,0.5737
15,五股鄉,0.5772
16,泰山鄉,0.6106
17,林口鄉,0.5909
18,深坑鄉,0.5653
19,石碇鄉,0.5009
20,坪林鄉,0.5054
21,三芝鄉,0.5201
22,石門鄉,0.5154
23,八里鄉,0.5345
24,平溪鄉,0.4958
25,雙溪鄉,0.4988
26,貢寮鄉,0.5219
27,金山鄉,0.5317
28,萬里鄉,0.5437
29,烏來鄉,0.5725
30,宜蘭市,0.5501
31,羅東鎮,0.5467
32,蘇澳鎮,0.5431
33,頭城鎮,0.5517
34,礁溪鄉,0.5282
35,壯圍鄉,0.5133
36,員山鄉,0.526
37,冬山鄉,0.5364
38,五結鄉,0.5318
39,三星鄉,0.5118
40,大同鄉,0.5334
41,南澳鄉,0.4945
42,桃園市,0.5756
43,中壢市,0.5968
44,大溪鎮,0.5507
45,楊梅鎮,0.5458
46,蘆竹鄉,0.5362
47,大園鄉,0.5305
48,龜山鄉,0.5966
49,八德市,0.5797
50,龍潭鄉,0.5559
51,平鎮市,0.5771
52,新屋鄉,0.5033
53,觀音鄉,0.5121
54,復興鄉,0.5394
55,竹北市,0.5409
56,竹東鎮,0.5321
57,新埔鎮,0.5029
58,關西鎮,0.5042
59,湖口鄉,0.5371
60,新豐鄉,0.5298
61,芎林鄉,0.493
62,橫山鄉,0.5109
63,北埔鄉,0.5042
64,寶山鄉,0.4898
65,峨眉鄉,0.4682
66,尖石鄉,0.493
67,五峰鄉,0.5151
68,苗栗市,0.541
69,苑裡鎮,0.5049
70,通霄鎮,0.4913
71,竹南鎮,0.5358
72,頭份鎮,0.5364
73,後龍鎮,0.5057
74,卓蘭鎮,0.4981
75,大湖鄉,0.489
76,公館鄉,0.4986
77,銅鑼鄉,0.4863
78,南庄鄉,0.5009
79,頭屋鄉,0.5081
80,三義鄉,0.5108
81,西湖鄉,0.479
82,造橋鄉,0.5014
83,三灣鄉,0.4844
84,獅潭鄉,0.4811
85,泰安鄉,0.5023
86,豐原市,0.5534
87,東勢鎮,0.534
88,大甲鎮,0.5209
89,清水鎮,0.5285
90,沙鹿鎮,0.5914
91,梧棲鎮,0.5296
92,后里鄉,0.539
93,神岡鄉,0.5386
94,潭子鄉,0.5693
95,大雅鄉,0.5565
96,新社鄉,0.5479
97,石岡鄉,0.525
98,外埔鄉,0.5172
99,大安鄉,0.5077
100,烏日鄉,0.5485
101,大肚鄉,0.5391
102,龍井鄉,0.5436
103,霧峰鄉,0.5463
104,太平市,0.5736
105,大里市,0.5628
106,和平鄉,0.5552
107,彰化市,0.5509
108,鹿港鎮,0.514
109,和美鎮,0.5214
110,線西鄉,0.494
111,伸港鄉,0.5001
112,福興鄉,0.5026
113,秀水鄉,0.4963
114,花壇鄉,0.5224
115,芬園鄉,0.5043
116,員林鎮,0.5413
117,溪湖鎮,0.5056
118,田中鎮,0.5207
119,大村鄉,0.5088
120,埔鹽鄉,0.4949
121,埔心鄉,0.5043
122,永靖鄉,0.5033
123,社頭鄉,0.5086
124,二水鄉,0.5019
125,北斗鎮,0.5136
126,二林鎮,0.4944
127,田尾鄉,0.4854
128,埤頭鄉,0.4872
129,芳苑鄉,0.5067
130,大城鄉,0.5025
131,竹塘鄉,0.4756
132,溪州鄉,0.4899
133,南投市,0.5396
134,埔里鎮,0.5431
135,草屯鎮,0.5309
136,竹山鎮,0.5233
137,集集鎮,0.4982
138,名間鄉,0.5132
139,鹿谷鄉,0.5032
140,中寮鄉,0.4952
141,魚池鄉,0.5102
142,國姓鄉,0.5273
143,水里鄉,0.5257
144,信義鄉,0.5102
145,仁愛鄉,0.524
146,斗六市,0.532
147,斗南鎮,0.5079
148,虎尾鎮,0.5179
149,西螺鎮,0.5037
150,土庫鎮,0.4917
151,北港鎮,0.5104
152,古坑鄉,0.5011
153,大埤鄉,0.4949
154,莿桐鄉,0.4968
155,林內鄉,0.5052
156,二崙鄉,0.4975
157,崙背鄉,0.4912
158,麥寮鄉,0.4916
159,東勢鄉,0.4738
160,褒忠鄉,0.4805
161,臺西鄉,0.4815
162,元長鄉,0.4729
163,四湖鄉,0.475
164,口湖鄉,0.4723
165,水林鄉,0.4795
166,太保市,0.4965
167,朴子市,0.4951
168,布袋鎮,0.5021
169,大林鎮,0.5077
170,民雄鄉,0.5183
171,溪口鄉,0.4879
172,新港鄉,0.4951
173,六腳鄉,0.4644
174,東石鄉,0.4777
175,義竹鄉,0.4646
176,鹿草鄉,0.4645
177,水上鄉,0.5367
178,中埔鄉,0.5216
179,竹崎鄉,0.513
180,梅山鄉,0.5045
181,番路鄉,0.5039
182,大埔鄉,0.5594
183,吳鳳鄉,0.5418
184,新營市,0.5275
185,鹽水鎮,0.4985
186,白河鎮,0.4842
187,柳營鄉,0.5002
188,後壁鄉,0.5083
189,東山鄉,0.5392
190,麻豆鎮,0.5158
191,下營鄉,0.5135
192,六甲鄉,0.5013
193,官田鄉,0.4812
194,大內鄉,0.492
195,佳里鎮,0.483
196,學甲鎮,0.5108
197,西港鄉,0.5264
198,七股鄉,0.5046
199,將軍鄉,0.4902
200,北門鄉,0.4727
201,新化鎮,0.475
202,善化鎮,0.5114
203,新市鄉,0.5423
204,安定鄉,0.5045
205,山上鄉,0.4909
206,玉井鄉,0.5057
207,楠西鄉,0.521
208,南化鄉,0.5034
209,左鎮鄉,0.461
210,仁德鄉,0.5606
211,歸仁鄉,0.5498
212,關廟鄉,0.5307
213,龍崎鄉,0.4721
214,永康市,0.5908
215,鳳山市,0.592
216,林園鄉,0.5558
217,大寮鄉,0.6044
218,大樹鄉,0.5551
219,大社鄉,0.573
220,仁武鄉,0.5712
221,鳥松鄉,0.5783
222,岡山鎮,0.5615
223,橋頭鄉,0.5538
224,燕巢鄉,0.5373
225,田寮鄉,0.4823
226,阿蓮鄉,0.5265
227,路竹鄉,0.5365
228,湖內鄉,0.5768
229,茄萣鄉,0.558
230,永安鄉,0.5406
231,彌陀鄉,0.528
232,梓官鄉,0.553
233,旗山鎮,0.5356
234,美濃鎮,0.5109
235,六龜鄉,0.5269
236,甲仙鄉,0.5182
237,杉林鄉,0.5115
238,內門鄉,0.5017
239,茂林鄉,0.5625
240,桃源鄉,0.4865
241,三民鄉,0.5069
242,屏東市,0.5618
243,潮州鎮,0.5531
244,東港鎮,0.5528
245,恆春鎮,0.5287
246,萬丹鄉,0.5279
