OBJECTID,town,work
234,美濃鎮,0.521
235,六龜鄉,0.4814
236,甲仙鄉,0.4822
237,杉林鄉,0.4941
238,內門鄉,0.393
239,茂林鄉,0.5251
240,桃源鄉,0.4914
241,三民鄉,0.5542
242,屏東市,0.4116
243,潮州鎮,0.4445
244,東港鎮,0.4311
245,恆春鎮,0.4953
246,萬丹鄉,0.4586
247,長治鄉,0.4577
248,麟洛鄉,0.4035
249,九如鄉,0.4652
250,里港鄉,0.4775
251,鹽埔鄉,0.4474
252,高樹鄉,0.4793
253,萬巒鄉,0.4195
254,內埔鄉,0.4507
255,竹田鄉,0.3722
256,新埤鄉,0.4785
257,枋寮鄉,0.4385
258,新園鄉,0.4487
259,崁頂鄉,0.471
260,林邊鄉,0.447
261,南州鄉,0.4238
262,佳冬鄉,0.4793
263,琉球鄉,0.3622
264,車城鄉,0.4808
265,滿州鄉,0.4541
266,枋山鄉,0.4361
267,三地門鄉,0.4489
268,霧臺鄉,0.3703
269,瑪家鄉,0.4305
270,泰武鄉,0.5079
271,來義鄉,0.4853
272,春日鄉,0.4534
273,獅子鄉,0.4875
274,牡丹鄉,0.4579
275,臺東市,0.449
276,成功鎮,0.5286
277,關山鎮,0.5647
278,卑南鄉,0.4769
279,鹿野鄉,0.5165
280,池上鄉,0.609
281,東河鄉,0.4246
282,長濱鄉,0.6416
283,太麻里鄉,0.5103
284,大武鄉,0.5937
285,綠島鄉,0.3602
286,海端鄉,0.6683
287,延平鄉,0.5357
288,金峰鄉,0.6424
289,達仁鄉,0.6077
290,蘭嶼鄉,0.6356
291,花蓮市,0.4208
292,鳳林鎮,0.6141
293,玉里鎮,0.5237
294,新城鄉,0.3153
295,吉安鄉,0.4027
296,壽豐鄉,0.3841
297,光復鄉,0.5541
298,豐濱鄉,0.5555
299,瑞穗鄉,0.5439
300,富里鄉,0.5667
301,秀林鄉,0.5231
302,萬榮鄉,0.5841
303,卓溪鄉,0.5734
304,馬公市,0.4232
305,湖西鄉,0.3533
306,白沙鄉,0.6145
307,西嶼鄉,0.5607
308,望安鄉,0.5098
309,七美鄉,0.7806
310,中正區,0.3609
311,七堵區,0.4142
312,暖暖區,0.4723
313,仁愛區,0.4359
314,中山區,0.4202
315,安樂區,0.4172
316,信義區,0.4126
317,東區,0.3809
318,北區,0.423
319,香山區,0.3959
320,中區,0.4394
321,東區,0.4231
322,南區,0.3862
323,西區,0.4044
324,北區,0.4023
325,西屯區,0.3861
326,南屯區,0.3986
327,北屯區,0.4413
328,東區,0.4319
329,西區,0.4407
330,東區,0.3951
331,南區,0.3687
332,西區,0.3863
333,北區,0.3877
334,中區,0.4709
335,安南區,0.4057
336,安平區,0.4078
337,松山區,0.3981
338,信義區,0.3996
339,大安區,0.3863
340,中山區,0.355
341,中正區,0.4276
342,大同區,0.3946
343,萬華區,0.4084
344,文山區,0.3913
345,南港區,0.3875
346,內湖區,0.4017
347,士林區,0.3761
348,北投區,0.384
349,鹽埕區,0.4153
350,鼓山區,0.3508
351,左營區,0.3885
352,楠梓區,0.3885
353,三民區,0.3586
354,新興區,0.3785
355,前金區,0.3899
356,苓雅區,0.3524
357,前鎮區,0.362
358,旗津區,0.3735
359,小港區,0.3738
