town,gao
板橋市,26.46
三重市,22.71
永和市,33.98
中和市,30.73
新莊市,23.84
新店市,31.45
樹林鎮,25.61
鶯歌鎮,20.45
三峽鎮,15.77
淡水鎮,22.19
汐止鎮,24.04
瑞芳鎮,22.07
土城鄉,22.77
蘆洲鄉,19.19
五股鄉,21.48
泰山鄉,26.11
林口鄉,19.66
深坑鄉,20.82
石碇鄉,14.96
坪林鄉,15.23
三芝鄉,12.6
石門鄉,11.71
八里鄉,12.33
平溪鄉,21.74
雙溪鄉,17.97
貢寮鄉,12.51
金山鄉,14.91
萬里鄉,14.33
烏來鄉,26.01
宜蘭市,28.85
羅東鎮,30.31
蘇澳鎮,21.04
頭城鎮,15.36
礁溪鄉,16.87
壯圍鄉,12.96
員山鄉,12.23
冬山鄉,19.4
五結鄉,20.05
三星鄉,17.49
大同鄉,12.5
南澳鄉,15.91
桃園市,27.38
中壢市,30.19
大溪鎮,19.32
楊梅鎮,32
蘆竹鄉,19.91
大園鄉,18.45
龜山鄉,24.07
八德鄉,20.98
龍潭鄉,26.06
平鎮鄉,27.96
新屋鄉,24.93
觀音鄉,21.99
復興鄉,14.84
新竹市,28.48
關西鎮,26.41
新埔鎮,26.36
竹東鎮,28.14
香山鄉,16.52
竹北鄉,24.73
湖口鄉,27.25
橫山鄉,26.02
新豐鄉,22.18
芎林鄉,26.15
寶山鄉,17.82
北埔鄉,21.4
峨眉鄉,24.2
尖石鄉,13.96
五峰鄉,14.89
苗栗鎮,34.21
苑裡鎮,16.36
通霄鎮,16.32
竹南鎮,24.42
頭份鎮,27.9
後龍鎮,16.64
卓蘭鎮,21.56
大湖鄉,28.14
公館鄉,28.42
銅鑼鄉,27.28
南庄鄉,20.06
頭屋鄉,27.06
三義鄉,27.62
西湖鄉,23.99
造橋鄉,25.94
三灣鄉,23.03
獅潭鄉,22.78
泰安鄉,17.89
豐原市,26.68
東勢鎮,25.38
大甲鎮,20.47
清水鎮,20.01
沙鹿鎮,19.01
梧棲鎮,19.36
后里鄉,18.95
神岡鄉,17.31
潭子鄉,26.11
大雅鄉,19.09
新社鄉,18.73
石岡鄉,24.45
外埔鄉,16.15
大安鄉,12.22
烏日鄉,22.5
大肚鄉,20.48
龍井鄉,16.86
霧峰鄉,25.35
太平鄉,22.1
大里鄉,25.26
和平鄉,22.34
彰化市,26.98
鹿港鎮,15.37
和美鎮,16.18
北斗鎮,21.9
員林鎮,25.5
溪湖鎮,19.49
田中鎮,23.76
二林鎮,17.57
線西鄉,11.72
伸港鄉,12.97
福興鄉,12.23
秀水鄉,18.01
花壇鄉,17.88
芬園鄉,15.69
大村鄉,16.18
埔鹽鄉,15.42
埔心鄉,15.44
永靖鄉,17.3
社頭鄉,20.44
二水鄉,25.59
田尾鄉,17.26
埤頭鄉,16.16
芳苑鄉,10.61
大城鄉,9.26
竹塘鄉,14.55
溪州鄉,16.07
南投鎮,29.24
埔里鎮,22.25
草屯鎮,23.29
竹山鎮,20.98
集集鎮,21.64
名間鄉,19.56
鹿谷鄉,21.14
中寮鄉,18.17
魚池鄉,19.51
國姓鄉,15.3
水里鄉,22.13
信義鄉,14.96
仁愛鄉,17.86
斗六鎮,24.75
斗南鎮,20.2
虎尾鎮,22.1
西螺鎮,16.96
土庫鎮,15.95
北港鎮,22.14
古坑鄉,17.27
大埤鄉,13.9
莿桐鄉,14.39
林內鄉,18.7
二崙鄉,12.67
崙背鄉,11.94
麥寮鄉,10.99
東勢鄉,10.14
褒忠鄉,14.03
臺西鄉,9.21
元長鄉,11.72
四湖鄉,10.08
口湖鄉,8.59
水林鄉,11.19
嘉義市,28.91
朴子鎮,19.23
布袋鎮,17.08
大林鎮,22.25
民雄鄉,19.7
溪口鄉,13.05
新港鄉,14.82
六腳鄉,15.55
東石鄉,9.09
義竹鄉,15.61
鹿草鄉,16
太保鄉,13.64
水上鄉,20.65
中埔鄉,17.94
竹崎鄉,17.7
梅山鄉,18.62
番路鄉,14.31
大埔鄉,9.56
吳鳳鄉,19.66
新營鎮,31.06
鹽水鎮,21.05
白河鎮,18.61
麻豆鎮,24.12
佳里鎮,23.68
新化鎮,18.85
善化鎮,25.39
學甲鎮,21.87
柳營鄉,20.51
後壁鄉,23.05
東山鄉,16.13
下營鄉,18
六甲鄉,21.43
官田鄉,21.35
大內鄉,18.21
西港鄉,16.63
七股鄉,13.68
將軍鄉,13.93
北門鄉,16.06
新市鄉,17.78
安定鄉,16.56
山上鄉,21.18
玉井鄉,24.23
楠西鄉,17.13
南化鄉,14.03
左鎮鄉,13.64
仁德鄉,22.29
歸仁鄉,20.19
關廟鄉,18.22
龍崎鄉,12.61
永康鄉,21.82
鳳山市,28.73
岡山鎮,29.3
旗山鎮,26.32
美濃鎮,33.91
林園鄉,15.96
大寮鄉,25.36
大樹鄉,20.46
仁武鄉,21.41
大社鄉,21.67
鳥松鄉,26
橋頭鄉,27.77
燕巢鄉,15.08
田寮鄉,12.28
阿蓮鄉,17.46
路竹鄉,22.57
湖內鄉,18.18
茄萣鄉,9.3
永安鄉,14.78
彌陀鄉,14.26
梓官鄉,15.83
六龜鄉,15.68
甲仙鄉,11.78
杉林鄉,17.56
內門鄉,13.15
茂林鄉,14.14
桃源鄉,14.47
三民鄉,11.06
屏東市,30.68
潮州鎮,28.46
東港鎮,21.39
恆春鎮,19.67
萬丹鄉,21.24
長治鄉,26.19
麟洛鄉,35.5
九如鄉,18.55
里港鄉,23.65
鹽埔鄉,18.38
高樹鄉,19.4
萬巒鄉,24.63
內埔鄉,26.14
竹田鄉,30.71
新埤鄉,22.8
枋寮鄉,19.9
新園鄉,18.88
崁頂鄉,20.96
林邊鄉,21.52
南州鄉,26.36
佳冬鄉,24.48
琉球鄉,6.4
車城鄉,20.67
滿州鄉,15.41
枋山鄉,16.71
三地門鄉,11.66
霧臺鄉,16.04
瑪家鄉,17.88
泰武鄉,13.31
來義鄉,6.05
春日鄉,4.9
獅子鄉,12.96
牡丹鄉,15.09
臺東市,28.85
成功鎮,11.69
關山鎮,24.39
卑南鄉,15.67
大武鄉,14.26
太麻里鄉,13.78
東河鄉,12.7
長濱鄉,11.22
鹿野鄉,18.24
池上鄉,19.15
綠島鄉,16.41
延平鄉,15.3
海端鄉,12.48
達仁鄉,13.16
金峰鄉,16.63
蘭嶼鄉,8.61
花蓮市,35.25
鳳林鎮,24.36
玉里鎮,19.8
新城鄉,22.15
吉安鄉,27.41
壽豐鄉,19.19
光復鄉,21.82
豐濱鄉,10.56
瑞穗鄉,21.19
富里鄉,18.04
秀林鄉,12.12
萬榮鄉,11.48
卓溪鄉,13.33
馬公鎮,27.12
湖西鄉,15.6
白沙鄉,14.02
西嶼鄉,7.89
望安鄉,8.31
七美鄉,5.18
中正區,30.36
七堵區,28.96
暖暖區,34.11
仁愛區,32.34
中山區,28.59
安樂區,28.32
信義區,35.72
中區,34.49
東區,28.33
西區,32.23
南區,31.17
北區,31.97
西屯區,25.24
南屯區,26.89
北屯區,28.81
東區,30.45
南區,23.89
西區,25.75
北區,28.33
中區,33.57
安南區,13.94
安平區,21.75
松山區,33.61
大安區,33.09
古亭區,32.51
雙園區,28.03
龍山區,31.78
城中區,32.11
建成區,31.79
延平區,32.44
大同區,28.92
中山區,33.32
內湖區,29.5
南港區,29.15
木柵區,30.48
景美區,32.69
士林區,29.93
北投區,30.53
鹽埕區,30.78
鼓山區,26.29
左營區,30.25
楠梓區,29.34
三民區,29.12
新興區,34.73
前金區,32.77
苓雅區,32.29
前鎮區,26.73
旗津區,15.4
小港區,24.04
