town,manu
霧臺鄉,0.0600
瑪家鄉,0.0000
泰武鄉,0.0600
來義鄉,0.0000
春日鄉,0.0000
獅子鄉,0.2400
牡丹鄉,0.4800
臺東鎮,11.9900
成功鎮,1.9700
關山鎮,2.8500
卑南鄉,2.8100
鹿野鄉,2.7100
池上鄉,2.8300
東河鄉,2.1700
長濱鄉,1.7100
太麻里鄉,1.3900
大武鄉,1.7900
綠島鄉,0.2000
海端鄉,0.2600
延平鄉,0.0700
金峰鄉,0.0000
達仁鄉,0.0000
蘭嶼鄉,0.0900
花蓮市,12.1000
鳳林鎮,4.9700
玉里鎮,6.8300
新城鄉,5.1100
吉安鄉,4.2400
壽豐鄉,3.1500
光復鄉,8.9100
豐濱鄉,0.5700
瑞穗鄉,4.0400
富里鄉,4.1300
秀林鄉,0.6700
萬榮鄉,0.4000
卓溪鄉,0.2200
馬公鎮,6.5300
湖西鄉,2.3100
白沙鄉,3.8500
西嶼鄉,3.7000
望安鄉,0.7600
七美鄉,0.8100
中正區,11.8700
七堵區,16.9900
暖暖區,11.6200
仁愛區,12.7600
中山區,16.5200
安樂區,14.9100
信義區,11.2500
新竹市,19.3700
香山鄉,16.4200
中區,18.2900
東區,25.1000
南區,30.1100
西區,20.4100
北區,17.5600
西屯區,8.8400
南屯區,17.9900
北屯區,10.4600
嘉義市,18.8400
東區,19.8000
南區,15.8200
西區,34.4500
北區,24.2100
中區,24.1600
安南區,8.6600
安平區,38.3000
鹽埕區,15.5000
鼓山區,23.4800
左營區,6.2300
楠梓區,27.7500
三民區,25.9200
新興區,19.9600
前金區,20.7500
苓雅區,29.5900
前鎮區,57.1000
旗津區,18.9700
小港鄉,24.4200
大安區,12.0100
大同區,32.0300
松山區,24.9200
南港鎮,47.6400
內湖鄉,23.5800
中山區,17.8800
北投鎮,16.9800
士林鎮,18.8600
城中區,9.4500
延平區,24.2600
建成區,23.5700
古亭區,13.1200
龍山區,23.7700
雙園區,23.2200
景美鎮,25.1500
木柵鄉,11.8500
