town,trav
鹽水鎮,20.43
白河鎮,15.66
柳營鄉,17.95
後壁鄉,15.09
東山鄉,11.32
麻豆鎮,19.54
下營鄉,9.55
六甲鄉,19.04
官田鄉,10.61
大內鄉,11.53
佳里鎮,20.36
學甲鄉,20.34
西港鄉,12.42
七股鄉,23.39
將軍鄉,20.1
北門鄉,27.84
新化鎮,16.4
善化鎮,23.7
新市鄉,14.18
安定鄉,16.51
山上鄉,16.54
玉井鄉,13.19
楠西鄉,6.9
南化鄉,4.92
左鎮鄉,6.57
仁德鄉,29.32
歸仁鄉,20.46
關廟鄉,38.12
龍崎鄉,22.39
永康鄉,31.14
鳳山鎮,29.5
林園鄉,23.11
大寮鄉,17.28
大樹鄉,22.63
大社鄉,19.27
仁武鄉,20.5
鳥松鄉,26.32
岡山鎮,24.06
橋頭鄉,38.96
燕巢鄉,18.09
田寮鄉,15.97
阿蓮鄉,19.53
路竹鄉,20.55
湖內鄉,31.26
茄萣鄉,23.72
永安鄉,22.03
彌陀鄉,26.37
梓官鄉,25.18
旗山鎮,27.13
美濃鎮,12.04
六龜鄉,18.82
甲仙鄉,13.74
杉林鄉,10.11
內門鄉,7.53
茂林鄉,0.2
桃源鄉,0.77
三民鄉,0.11
屏東市,27.9
潮州鎮,24.14
東港鎮,18.72
恆春鎮,20.58
萬丹鄉,13.97
長治鄉,15.38
麟洛鄉,18.24
九如鄉,8.73
里港鄉,16.21
鹽埔鄉,10.49
高樹鄉,8.41
萬巒鄉,15.3
內埔鄉,15.34
竹田鄉,11.91
新埤鄉,13.62
枋寮鄉,20.78
新園鄉,9.93
崁頂鄉,17.32
林邊鄉,16.37
南州鄉,20.18
佳冬鄉,11.54
琉球鄉,5.46
車城鄉,22.49
滿州鄉,16.69
枋山鄉,23.6
三地鄉,0.37
霧臺鄉,0.12
瑪家鄉,6.63
泰武鄉,0.36
來義鄉,0.09
春日鄉,0.83
獅子鄉,1.74
牡丹鄉,1.45
臺東鎮,27.58
成功鎮,8.49
關山鎮,15.8
卑南鄉,15.81
鹿野鄉,13.76
池上鄉,19.67
東河鄉,7.08
長濱鄉,6.49
太麻里鄉,7.17
大武鄉,10.29
綠島鄉,3.54
海端鄉,1.23
延平鄉,0.47
金峰鄉,0.49
達仁鄉,0.34
蘭嶼鄉,1.2
花蓮市,26.78
鳳林鎮,11.91
玉里鎮,10.96
新城鄉,18.87
吉安鄉,15.47
壽豐鄉,7.13
光復鄉,13.05
豐濱鄉,5.92
瑞穗鄉,8.52
富里鄉,9.96
秀林鄉,6.01
萬榮鄉,0.5
卓溪鄉,0.95
馬公鎮,23.57
湖西鄉,16.58
白沙鄉,9.61
西嶼鄉,11.95
望安鄉,1.54
七美鄉,5.55
中正區,38.33
七堵區,56.62
暖暖區,45.88
仁愛區,39.24
中山區,65.27
安樂區,58.97
信義區,46.94
新竹市,31.55
香山鄉,34.91
中區,23.61
東區,39.62
南區,37.09
西區,32.64
北區,30.56
西屯區,22.46
南屯區,25.57
北屯區,22.32
嘉義市,34.74
東區,32.26
南區,34.26
西區,42.56
北區,38.58
中區,27.22
安南區,26.48
安平區,50.59
鹽埕區,37.15
鼓山區,40.02
左營區,35.14
楠梓區,35.86
三民區,44.16
新興區,38.41
前金區,41.99
苓雅區,48.7
前鎮區,58.73
旗津區,45.54
小港鄉,32.97
大安區,25.26
大同區,45.38
松山區,37.45
南港鎮,61.15
內湖鄉,43.32
中山區,30.95
北投鎮,35.09
士林鎮,33.26
城中區,22.45
延平區,28.74
建成區,32.49
古亭區,30.75
龍山區,35.01
雙園區,47.7
景美鎮,44.42
木柵鄉,31.91
