town,trav
板橋鎮,43.27
三重市,51.57
中和鄉,44.13
永和鎮,31.55
新莊鎮,43.38
新店鎮,44.24
樹林鎮,48.83
鶯歌鎮,48.91
三峽鎮,35.07
淡水鎮,27.01
汐止鎮,55.31
瑞芳鎮,66.86
土城鄉,49.03
蘆洲鄉,44.6
五股鄉,27.57
泰山鄉,32.24
林口鄉,23.44
深坑鄉,41.7
石碇鄉,44.38
坪林鄉,11.19
三芝鄉,14.21
石門鄉,23.32
八里鄉,17.53
平溪鄉,75.4
雙溪鄉,53.2
貢寮鄉,16.29
金山鄉,21.54
萬里鄉,43.81
烏來鄉,31.77
宜蘭市,28.71
羅東鎮,35.45
頭城鎮,31.33
蘇澳鎮,23.92
礁溪鄉,30.76
壯圍鄉,13.21
員山鄉,23.83
冬山鄉,28.52
五結鄉,32.89
三星鄉,23.32
大同鄉,16.61
南澳鄉,14.28
桃園鎮,38.67
中壢鎮,32.82
大溪鎮,31.37
楊梅鎮,30.55
蘆竹鄉,21.58
大園鄉,14.99
龜山鄉,29.07
八德鄉,26.01
龍潭鄉,24.79
平鎮鄉,30.98
新屋鄉,19.21
觀音鄉,16.98
復興鄉,12.6
竹北鄉,29.17
竹東鎮,41.88
新埔鎮,28.3
關西鎮,25.16
湖口鄉,26.68
新豐鄉,20.76
芎林鄉,26.04
橫山鄉,31.42
北埔鄉,28.45
寶山鄉,15.18
峨眉鄉,17.12
尖石鄉,19.81
五峰鄉,9.93
苗栗鎮,33.4
苑裡鎮,39.86
通霄鎮,35.75
竹南鎮,44.2
頭份鎮,40.67
後龍鎮,26.54
卓蘭鎮,21.2
大湖鄉,20.48
公館鄉,29.79
銅鑼鄉,26.95
南庄鄉,42.59
頭屋鄉,29.77
三義鄉,33.13
西湖鄉,23.2
造橋鄉,37.51
三灣鄉,28.32
獅潭鄉,20.86
泰安鄉,7.09
豐原鎮,38.15
東勢鎮,27.35
大甲鎮,25.24
清水鎮,28.59
沙鹿鎮,40.29
梧棲鎮,29.49
后里鄉,23.86
神岡鄉,24.93
潭子鄉,32.62
大雅鄉,19
新社鄉,11.82
石岡鄉,26.32
外埔鄉,19.07
大安鄉,18.24
烏日鄉,25.57
大肚鄉,39.25
龍井鄉,29.34
霧峰鄉,20.43
太平鄉,19.33
大里鄉,27.59
和平鄉,15.92
彰化市,31.83
鹿港鎮,31.29
和美鎮,33.61
線西鄉,18.62
伸港鄉,13.91
福興鄉,12.65
秀水鄉,17.27
花壇鄉,35.13
芬園鄉,17.74
員林鎮,26.23
溪湖鎮,14.52
田中鎮,28.66
大村鄉,26.51
埔鹽鄉,6.81
埔心鄉,18.33
永靖鄉,17.23
社頭鄉,25.65
二水鄉,28.58
北斗鎮,25.81
二林鎮,9.68
田尾鄉,12.64
埤頭鄉,9.25
芳苑鄉,9.04
大城鄉,4.3
竹塘鄉,8.52
溪州鄉,12.54
南投鎮,21.12
埔里鎮,29.5
草屯鎮,18.61
竹山鎮,24.43
集集鎮,24.86
名間鄉,12.93
鹿谷鄉,25.3
中寮鄉,10.56
魚池鄉,22.82
國姓鄉,15.79
水里鄉,31.66
信義鄉,4.35
仁愛鄉,4.37
斗六鎮,21.1
斗南鎮,18.95
虎尾鎮,24.4
西螺鎮,16.83
土庫鎮,11.54
北港鎮,23.62
古坑鄉,10.38
大埤鄉,12.61
莿桐鄉,10.29
林內鄉,16.87
二崙鄉,7.93
崙背鄉,7.36
麥寮鄉,8.78
東勢鄉,5.38
褒忠鄉,13.5
臺西鄉,4.64
元長鄉,7.37
四湖鄉,5.79
口湖鄉,8.33
水林鄉,6.86
太保市,10.52
朴子鎮,21.26
布袋鎮,27.17
大林鎮,17.41
民雄鄉,14.41
溪口鄉,10.97
新港鄉,13.11
六腳鄉,16.21
東石鄉,16.68
義竹鄉,15.07
鹿草鄉,10.82
水上鄉,20.32
中埔鄉,13.31
竹崎鄉,16.59
梅山鄉,17.59
番路鄉,14.34
大埔鄉,12.27
吳鳳鄉,16.19
新營鎮,29.74
