OBJECTID,town,work
1,板橋鎮,0.811534
2,三重市,0.858135
3,中和鄉,0.776822
4,永和鎮,0.726341
5,新莊鎮,0.809153
6,新店鎮,0.708607
7,樹林鎮,0.853955
8,鶯歌鎮,0.92271
9,三峽鎮,1.001762
10,淡水鎮,0.836997
11,汐止鎮,1.074091
12,瑞芳鎮,1.007333
13,土城鄉,0.830351
14,蘆洲鄉,0.858914
15,五股鄉,0.929128
16,泰山鄉,0.689981
17,林口鄉,0.741158
18,深坑鄉,1.040971
19,石碇鄉,1.082373
20,坪林鄉,1.077626
21,三芝鄉,0.929085
22,石門鄉,0.860334
23,八里鄉,0.964096
24,平溪鄉,1.137819
25,雙溪鄉,1.07013
26,貢寮鄉,0.955233
27,金山鄉,0.985985
28,萬里鄉,1.047911
29,烏來鄉,0.900126
30,宜蘭市,0.805627
31,羅東鎮,0.851054
32,頭城鎮,0.908488
33,蘇澳鎮,0.949303
34,礁溪鄉,0.889268
35,壯圍鄉,0.923224
36,員山鄉,0.81753
37,冬山鄉,0.932301
38,五結鄉,0.884474
39,三星鄉,0.859739
40,大同鄉,0.820714
41,南澳鄉,0.975113
42,桃園鎮,0.829309
43,中壢鎮,0.803815
44,大溪鎮,0.844519
45,楊梅鎮,0.868932
46,蘆竹鄉,0.906628
47,大園鄉,0.922995
48,龜山鄉,0.649547
49,八德鄉,0.629043
50,龍潭鄉,0.681659
51,平鎮鄉,0.739608
52,新屋鄉,0.989439
53,觀音鄉,0.958982
54,復興鄉,0.97375
55,竹北鄉,0.946399
56,竹東鎮,0.896642
57,新埔鎮,0.880856
58,關西鎮,0.972025
59,湖口鄉,0.588361
60,新豐鄉,0.990731
61,芎林鄉,0.909139
62,橫山鄉,0.976843
63,北埔鄉,0.906507
64,寶山鄉,0.878022
65,峨眉鄉,0.921809
66,尖石鄉,1.068207
67,五峰鄉,1.191961
68,苗栗鎮,0.779619
69,苑裡鎮,0.970734
70,通霄鎮,0.931195
71,竹南鎮,0.952467
72,頭份鎮,0.856729
73,後龍鎮,0.952561
74,卓蘭鎮,0.948251
75,大湖鄉,1.002747
76,公館鄉,0.882525
77,銅鑼鄉,0.947159
78,南庄鄉,1.037173
79,頭屋鄉,0.925285
80,三義鄉,1.006759
81,西湖鄉,0.98892
82,造橋鄉,0.959034
83,三灣鄉,1.022902
84,獅潭鄉,1.079864
85,泰安鄉,1.054316
86,豐原鎮,0.84918
87,東勢鎮,0.863207
88,大甲鎮,0.839311
89,清水鎮,0.885024
90,沙鹿鎮,0.895728
91,梧棲鎮,0.890192
92,后里鄉,0.701022
93,神岡鄉,0.70725
94,潭子鄉,0.743811
95,大雅鄉,0.538266
96,新社鄉,0.800587
97,石岡鄉,0.818966
98,外埔鄉,0.93712
99,大安鄉,0.922561
100,烏日鄉,0.776487
101,大肚鄉,0.915269
102,龍井鄉,0.994698
103,霧峰鄉,0.933816
104,太平鄉,0.70057
105,大里鄉,0.789692
106,和平鄉,0.737773
107,彰化市,0.853622
108,鹿港鎮,0.905588
109,和美鎮,0.930527
110,線西鄉,0.976319
111,伸港鄉,1.003396
112,福興鄉,0.966417
113,秀水鄉,0.953423
114,花壇鄉,0.949807
115,芬園鄉,0.876214
116,員林鎮,0.891669
117,溪湖鎮,0.900928
118,田中鎮,0.765544
119,大村鄉,0.924996
120,埔鹽鄉,0.914535
121,埔心鄉,0.869538
122,永靖鄉,0.885336
123,社頭鄉,0.838601
124,二水鄉,0.840473
125,北斗鎮,0.818766
126,二林鎮,0.945429
127,田尾鄉,0.86803
128,埤頭鄉,0.833295
129,芳苑鄉,0.950832
130,大城鄉,0.939218
131,竹塘鄉,0.899156
132,溪州鄉,0.81726
133,南投鎮,0.840453
134,埔里鎮,1.002399
135,草屯鎮,0.882097
136,竹山鎮,0.9059
137,集集鎮,0.879341
138,名間鄉,0.917953
139,鹿谷鄉,1.00569
140,中寮鄉,0.978317
141,魚池鄉,0.923024
142,國姓鄉,1.007167
143,水里鄉,0.95752
144,信義鄉,1.139126
145,仁愛鄉,0.99186
146,斗六鎮,0.799204
147,斗南鎮,0.886911
148,虎尾鎮,0.825786
149,西螺鎮,0.838532
150,土庫鎮,0.933375
151,北港鎮,0.89792
152,古坑鄉,0.923681
153,大埤鄉,0.942049
154,莿桐鄉,0.880039
155,林內鄉,0.944465
156,二崙鄉,0.892842
157,崙背鄉,0.959002
158,麥寮鄉,1.0261
159,東勢鄉,0.994678
160,褒忠鄉,0.995547
161,臺西鄉,1.013485
162,元長鄉,0.979656
163,四湖鄉,1.051302
164,口湖鄉,1.086909
165,水林鄉,1.002994
166,太保市,0.96724
167,朴子鎮,0.921118
168,布袋鎮,0.993466
169,大林鎮,0.715026
170,民雄鄉,0.929711
171,溪口鄉,0.950988
172,新港鄉,0.979829
