town,ratio
卑南鄉,129.2
鹿野鄉,142
池上鄉,110.1
東河鄉,181.5
長濱鄉,106.8
太麻里鄉,105.6
大武鄉,102.5
綠島鄉,135.7
海端鄉,112
延平鄉,101
金峰鄉,99.6
達仁鄉,111.2
蘭嶼鄉,123.3
花蓮市,94.2
鳳林鎮,97
玉里鎮,104.5
新城鄉,143.5
吉安鄉,102.5
壽豐鄉,120.1
光復鄉,116.6
豐濱鄉,119.8
瑞穗鄉,108.3
富里鄉,114.7
秀林鄉,110.3
萬榮鄉,96.8
卓溪鄉,100.3
中正區,113
