town,mana
玉里鎮,1.57
新城鄉,1.29
吉安鄉,0.66
壽豐鄉,0.93
光復鄉,1.52
豐濱鄉,0.55
瑞穗鄉,1.23
富里鄉,0.91
秀林鄉,0.6
萬榮鄉,0.4
卓溪鄉,0.41
馬公鎮,1.1
湖西鄉,0.48
白沙鄉,0.31
西嶼鄉,0.69
望安鄉,0.4
七美鄉,0.28
中正區,2.58
七堵區,1.14
暖暖區,1.48
仁愛區,3.94
中山區,0.75
安樂區,1.24
信義區,2.11
新竹市,2.37
香山鄉,0.67
中區,8.98
東區,3.88
南區,4.56
西區,4
北區,3.49
西屯區,0.8
南屯區,0.86
北屯區,1.03
嘉義市,3.25
東區,2.5
南區,2.08
西區,6.68
北區,3.62
中區,7.32
安南區,0.5
安平區,1.72
鹽埕區,5.3
鼓山區,2.63
左營區,0.99
楠梓區,1.39
三民區,3.12
新興區,4.16
前金區,4.16
苓雅區,1.84
前鎮區,0.86
旗津區,1.13
小港鄉,0.53
大安區,3.97
大同區,4.26
松山區,2.49
南港鎮,1.81
內湖鄉,0.94
中山區,4.61
北投鎮,2.27
士林鎮,2.43
城中區,5.4
延平區,6.82
建成區,6.84
古亭區,3.82
龍山區,7.07
雙園區,2.89
景美鎮,2.78
木柵鄉,2.58
