town,xiao
鳳林鎮,53.92
玉里鎮,60.06
新城鄉,57.34
吉安鄉,57.38
壽豐鄉,59.63
光復鄉,59.36
豐濱鄉,80.2
瑞穗鄉,59.14
富里鄉,60.92
秀林鄉,84.8
萬榮鄉,88.02
卓溪鄉,80.52
馬公鎮,54.87
湖西鄉,61.93
白沙鄉,64.79
西嶼鄉,70.96
望安鄉,78.17
七美鄉,67.58
中正區,50.74
七堵區,54.19
暖暖區,45.51
仁愛區,48.28
中山區,51.55
安樂區,52.58
信義區,41.92
中區,50.41
東區,52.69
西區,46.05
南區,49.25
北區,43.79
西屯區,50.25
南屯區,54.89
北屯區,51.79
東區,47.02
南區,54.35
西區,55.62
北區,52.42
中區,46.58
安南區,61.3
安平區,61.2
松山區,37.97
大安區,32.13
古亭區,39.47
雙園區,52.85
龍山區,47.52
城中區,32.9
建成區,47.59
延平區,45.65
大同區,50.62
中山區,38.6
內湖區,47.25
南港區,52.38
木柵區,43.28
景美區,37.82
士林區,48.14
北投區,46.76
鹽埕區,47.2
鼓山區,52.18
左營區,47.91
楠梓區,50.81
三民區,52.53
新興區,42.67
前金區,43.58
苓雅區,47.05
前鎮區,56.82
旗津區,62.27
小港區,53.68
