OBJECTID,town,widow
251,鹽埔鄉,8.54
252,高樹鄉,10.43
253,萬巒鄉,10.67
254,內埔鄉,8.3
255,竹田鄉,9.55
256,新埤鄉,10.51
257,枋寮鄉,9.63
258,新園鄉,8.85
259,崁頂鄉,10.09
260,林邊鄉,9.45
261,南州鄉,10.63
262,佳冬鄉,10.57
263,琉球鄉,10.3
264,車城鄉,12.73
265,滿州鄉,14.41
266,枋山鄉,12.13
267,三地鄉,12.05
268,霧臺鄉,13.12
269,瑪家鄉,11.02
270,泰武鄉,11.19
271,來義鄉,12.15
272,春日鄉,12.59
273,獅子鄉,12.6
274,牡丹鄉,13.25
275,臺東市,9.11
276,成功鎮,9.78
277,關山鎮,11.53
278,卑南鄉,11.97
279,鹿野鄉,11.03
280,池上鄉,11.73
281,東河鄉,12.47
282,長濱鄉,12.86
283,太麻里鄉,11.89
284,大武鄉,10.55
285,綠島鄉,7.79
286,海端鄉,16.5
287,延平鄉,12.25
288,金峰鄉,11.27
289,達仁鄉,11.92
290,蘭嶼鄉,11.14
291,花蓮市,8.07
292,鳳林鎮,11.85
293,玉里鎮,10.76
294,新城鄉,9.12
295,吉安鄉,7.71
296,壽豐鄉,11.17
297,光復鄉,11.48
298,豐濱鄉,10.84
299,瑞穗鄉,11.66
300,富里鄉,13.03
301,秀林鄉,11.91
302,萬榮鄉,13.01
303,卓溪鄉,13.15
304,馬公市,8.74
305,湖西鄉,13.98
306,白沙鄉,13.23
307,西嶼鄉,13.59
308,望安鄉,12.8
309,七美鄉,15.95
310,中正區,7.77
311,七堵區,7.56
312,暖暖區,8.83
313,仁愛區,8.73
314,中山區,8.79
315,安樂區,8.26
316,信義區,8.66
317,東區,6.81
318,北區,7.5
319,香山區,7.47
320,中區,6.06
321,東區,6.88
322,南區,5.53
323,西區,6.33
324,北區,5.99
325,西屯區,5.63
326,南屯區,5.68
327,北屯區,5.82
328,東區,8.02
329,西區,8.29
330,東區,6
331,南區,6.74
332,西區,8.74
333,北區,6.9
334,中區,8.51
335,安南區,6.92
336,安平區,7.85
337,松山區,5.14
338,信義區,5.68
339,大安區,5.82
340,中山區,5.93
341,中正區,6.05
342,大同區,7.65
343,萬華區,6.44
344,文山區,5.74
345,南港區,5.71
346,內湖區,4.93
347,士林區,5.72
348,北投區,5.66
349,鹽埕區,8.12
350,鼓山區,7.09
351,左營區,7.01
352,楠梓區,5.58
353,三民區,4.99
354,新興區,6.81
355,前金區,7.52
356,苓雅區,5.63
357,前鎮區,5.92
358,旗津區,8.78
359,小港區,5.33
