OBJECTID,town,pop_den
1,板橋市,24918.12
2,三重市,20909.84
3,中和市,19512.44
4,永和市,40348.86
5,新莊市,15261.43
6,新店市,1841.83
7,樹林市,3482.56
8,鶯歌鎮,2864.39
9,三峽鎮,304.24
10,淡水鎮,1359.61
11,汐止市,1380.34
12,瑞芳鎮,732.37
13,土城市,5097.4
14,蘆洲市,14957.77
15,五股鄉,1359.24
16,泰山鄉,3503.38
17,林口鄉,637.3
18,深坑鄉,652.48
19,石碇鄉,44.71
20,坪林鄉,32.23
21,三芝鄉,253.69
22,石門鄉,179.68
23,八里鄉,509.93
24,平溪鄉,89.48
25,雙溪鄉,73.51
26,貢寮鄉,134.84
27,金山鄉,382.81
28,萬里鄉,273.85
29,烏來鄉,9.24
30,宜蘭市,3045.21
31,羅東鎮,5416.85
32,蘇澳鎮,582.6
33,頭城鎮,376.92
34,頭城鎮,376.92
35,礁溪鄉,367.15
36,壯圍鄉,606.42
37,員山鄉,212.46
38,冬山鄉,547.26
39,五結鄉,866.63
40,三星鄉,222.22
41,大同鄉,7.67
42,南澳鄉,6.64
43,桃園市,6811.35
44,中壢市,3638.28
45,大溪鎮,726.85
46,楊梅鎮,1116.43
47,蘆竹鄉,763.2
48,大園鄉,716.37
49,龜山鄉,1410.86
50,八德市,4104.6
51,龍潭鄉,1136.16
52,平鎮市,3465.16
53,新屋鄉,512.39
54,觀音鄉,456.66
55,復興鄉,30.34
56,竹北市,1314.45
57,竹東鎮,1337.55
58,新埔鎮,475.77
59,關西鎮,273.51
60,湖口鄉,1034.49
61,新豐鄉,774.64
62,芎林鄉,420.84
63,橫山鄉,229.03
64,北埔鄉,188.44
65,寶山鄉,146.31
66,峨眉鄉,139.07
67,尖石鄉,14.89
68,五峰鄉,19.09
69,苗栗市,2367.61
70,苑裡鎮,683.69
71,通霄鎮,391.11
72,竹南鎮,1586.95
73,頭份鎮,1436.58
74,後龍鎮,550.6
75,卓蘭鎮,240.61
76,大湖鄉,201.87
77,公館鄉,442.07
78,銅鑼鄉,243.73
79,南庄鄉,84.84
80,頭屋鄉,237.63
81,三義鄉,245.18
82,西湖鄉,230.28
83,造橋鄉,289.49
84,三灣鄉,143.64
85,獅潭鄉,77.6
86,泰安鄉,4.18
87,豐原市,3544.07
88,東勢鎮,553.13
89,大甲鎮,1211.78
90,清水鎮,1087.53
91,沙鹿鎮,1780.12
92,梧棲鎮,1670.24
93,后里鄉,982.76
94,神岡鄉,1568.34
95,潭子鄉,2408
96,大雅鄉,1863.47
97,新社鄉,350.78
98,石岡鄉,840.04
99,外埔鄉,659.77
100,大安鄉,686.44
101,烏日鄉,1439.97
102,大肚鄉,1246.52
103,龍井鄉,1172.55
104,霧峰鄉,633.91
105,太平市,1051.45
106,大里市,4475.92
107,和平鄉,10.77
108,彰化市,3162.1
109,鹿港鎮,1717.79
110,和美鎮,1925.2
111,線西鄉,1112.05
112,伸港鄉,1031.82
113,福興鄉,869.19
114,秀水鄉,1128.36
115,花壇鄉,1157.04
116,芬園鄉,672.1
117,員林鎮,2944.61
118,溪湖鎮,1598.2
119,田中鎮,1343.98
120,大村鄉,1044.05
121,埔鹽鄉,845.71
122,埔心鄉,1544.75
123,永靖鄉,1864.25
124,社頭鄉,1158.58
125,二水鄉,545.31
126,北斗鎮,1525.16
127,二林鎮,588.66
128,田尾鄉,1054.51
129,埤頭鄉,773.42
130,芳苑鄉,416.72
131,大城鄉,346.88
132,竹塘鄉,404.71
133,溪州鄉,467.83
134,南投市,1325.07
135,埔里鎮,487.41
136,草屯鎮,840.86
137,竹山鎮,230.02
138,集集鎮,315.94
139,名間鄉,493.99
140,鹿谷鄉,150.82
141,中寮鄉,130.6
142,魚池鄉,142.68
143,國姓鄉,119.53
144,水里鄉,221.28
145,信義鄉,11.83
146,仁愛鄉,11.08
147,斗六市,969.85
148,斗南鎮,911.06
149,虎尾鎮,947.69
150,西螺鎮,961.05
151,土庫鎮,641.71
152,北港鎮,1148.74
153,古坑鄉,208.54
154,大埤鄉,517.56
155,莿桐鄉,523.47
156,林內鄉,403.34
157,二崙鄉,516.35
158,崙背鄉,493.15
159,麥寮鄉,332.17
160,東勢鄉,398
161,褒忠鄉,425.13
162,臺西鄉,484.73
163,元長鄉,443.99
164,四湖鄉,428.36
165,口湖鄉,454.51
166,水林鄉,467.41
167,太保市,390.5
168,朴子市,861.1
