OBJECTID,town,women
229,茄萣鄉,0.441962
230,永安鄉,0.437785
231,彌陀鄉,0.431444
232,梓官鄉,0.427709
233,旗山鎮,0.43856
234,美濃鎮,0.436656
235,六龜鄉,0.400506
236,甲仙鄉,0.400317
237,杉林鄉,0.404329
238,內門鄉,0.40677
239,茂林鄉,0.420339
240,桃源鄉,0.378953
241,三民鄉,0.402311
242,屏東市,0.470322
243,潮州鎮,0.444675
244,東港鎮,0.447594
245,恆春鎮,0.409603
246,萬丹鄉,0.445436
247,長治鄉,0.431952
248,麟洛鄉,0.447858
249,九如鄉,0.450841
250,里港鄉,0.447343
251,鹽埔鄉,0.427638
252,高樹鄉,0.426105
253,萬巒鄉,0.426424
254,內埔鄉,0.430818
255,竹田鄉,0.441054
256,新埤鄉,0.41952
257,枋寮鄉,0.434527
258,新園鄉,0.42595
259,崁頂鄉,0.439608
260,林邊鄉,0.44209
261,南州鄉,0.452352
262,佳冬鄉,0.43611
263,琉球鄉,0.423539
264,車城鄉,0.409146
265,滿州鄉,0.390089
266,枋山鄉,0.40754
267,三地鄉,0.400337
268,霧臺鄉,0.402456
269,瑪家鄉,0.401584
270,泰武鄉,0.388489
271,來義鄉,0.395083
272,春日鄉,0.407371
273,獅子鄉,0.397125
274,牡丹鄉,0.393393
275,臺東鎮,0.458876
276,成功鎮,0.405628
277,關山鎮,0.413413
278,卑南鄉,0.413667
279,鹿野鄉,0.416009
280,池上鄉,0.414221
281,東河鄉,0.402101
282,長濱鄉,0.39537
283,太麻里鄉,0.412789
284,大武鄉,0.392308
285,綠島鄉,0.420955
286,海端鄉,0.418811
287,延平鄉,0.390166
288,金峰鄉,0.398362
289,達仁鄉,0.394934
290,蘭嶼鄉,0.40614
291,花蓮市,0.468595
292,鳳林鎮,0.426599
293,玉里鎮,0.418004
294,新城鄉,0.435395
295,吉安鄉,0.433905
296,壽豐鄉,0.409294
297,光復鄉,0.425511
298,豐濱鄉,0.404768
299,瑞穗鄉,0.414372
300,富里鄉,0.402915
301,秀林鄉,0.397888
302,萬榮鄉,0.398083
303,卓溪鄉,0.39937
304,馬公鎮,0.422439
305,湖西鄉,0.390306
306,白沙鄉,0.38051
307,西嶼鄉,0.390308
308,望安鄉,0.399076
309,七美鄉,0.405229
310,中正區,0.461818
311,七堵區,0.422257
312,暖暖區,0.431046
313,仁愛區,0.460593
314,中山區,0.440168
315,安樂區,0.439562
316,信義區,0.462045
317,新竹市,0.474645
318,香山鄉,0.438322
319,中區,0.495204
320,東區,0.474295
321,南區,0.48442
322,西區,0.477656
323,北區,0.482095
324,西屯區,0.4508
325,南屯區,0.447388
326,北屯區,0.453339
327,嘉義市,0.470261
328,東區,0.491136
329,南區,0.476413
330,西區,0.485039
331,北區,0.47747
332,中區,0.498699
333,安南區,0.422161
334,安平區,0.459324
335,鹽埕區,0.483506
336,鼓山區,0.475957
337,左營區,0.483176
338,楠梓區,0.458397
339,三民區,0.478759
340,新興區,0.487196
341,前金區,0.484723
342,苓雅區,0.478728
343,前鎮區,0.464537
344,旗津區,0.446011
345,小港鄉,0.446395
346,大安區,0.52463
347,大同區,0.477596
348,松山區,0.488539
349,南港鎮,0.456269
350,內湖鄉,0.452097
351,中山區,0.502715
352,北投鎮,0.460291
353,士林鎮,0.470295
354,城中區,0.528534
355,延平區,0.489537
356,建成區,0.487012
357,古亭區,0.500963
358,龍山區,0.48764
359,雙園區,0.464004
360,景美鎮,0.469124
361,木柵鄉,0.45081
