town,m_lab
泰武鄉,81.9618
來義鄉,89.2122
春日鄉,91.1852
獅子鄉,89.7839
牡丹鄉,88.4521
臺東鎮,74.1024
成功鎮,86.4669
關山鎮,81.3167
卑南鄉,74.8145
鹿野鄉,83.7291
池上鄉,85.106
東河鄉,77.2061
長濱鄉,87.335
太麻里鄉,88.133
大武鄉,85.4637
綠島鄉,59.1469
海端鄉,88.7439
延平鄉,85.7802
金峰鄉,88.8183
達仁鄉,92.0074
蘭嶼鄉,51.8213
花蓮市,71.1188
鳳林鎮,78.9495
玉里鎮,66.5412
新城鄉,84.7608
吉安鄉,82.7698
壽豐鄉,85.622
光復鄉,79.8987
豐濱鄉,91.0744
瑞穗鄉,81.5958
富里鄉,82.3229
秀林鄉,90.4008
萬榮鄉,88.5347
卓溪鄉,76.4473
馬公鎮,84.5103
湖西鄉,90.4862
白沙鄉,86.2318
西嶼鄉,88.8951
望安鄉,85.2034
七美鄉,85.7579
中正區,76.6262
七堵區,78.3485
暖暖區,75.3915
仁愛區,73.6465
中山區,72.9475
安樂區,76.5099
信義區,71.6875
新竹市,73.6174
香山鄉,81.2587
中區,65.8631
東區,71.158
南區,72.5588
西區,73.1736
北區,73.8156
西屯區,80.286
南屯區,82.2292
北屯區,80.7761
嘉義市,71.7404
東區,71.158
南區,72.5588
西區,73.1736
北區,73.8156
中區,65.8631
安南區,80.2757
安平區,77.846
鹽埕區,75.804
鼓山區,79.3173
左營區,78.1232
楠梓區,73.1745
三民區,76.8101
新興區,71.8882
前金區,74.531
苓雅區,76.7686
前鎮區,77.9023
旗津區,84.2423
小港鄉,82.1048
大安區,66.5647
大同區,74.1257
松山區,76.3858
南港鎮,78.8516
內湖鄉,82.9839
中山區,72.9475
北投鎮,77.4382
士林鎮,77.6448
城中區,73.6693
延平區,70.5312
建成區,71.5578
古亭區,73.0197
龍山區,70.6916
雙園區,77.512
景美鎮,76.7132
木柵鄉,75.0046
