OBJECTID,town,young
1,板橋市,0.3108
2,三重市,0.2995
3,中和市,0.2819
4,永和市,0.2583
5,新莊市,0.3342
6,新店市,0.2432
7,樹林市,0.3236
8,鶯歌鎮,0.3223
9,三峽鎮,0.2797
10,淡水鎮,0.2546
11,汐止市,0.2708
12,瑞芳鎮,0.2468
13,土城市,0.3174
14,蘆洲市,0.3374
15,五股鄉,0.3015
16,泰山鄉,0.294
17,林口鄉,0.2662
18,深坑鄉,0.2691
19,石碇鄉,0.1812
20,坪林鄉,0.1883
21,三芝鄉,0.2521
22,石門鄉,0.2293
23,八里鄉,0.2936
24,平溪鄉,0.1866
25,雙溪鄉,0.1939
26,貢寮鄉,0.1986
27,金山鄉,0.2551
28,萬里鄉,0.2253
29,烏來鄉,0.2365
30,宜蘭市,0.269
31,羅東鎮,0.2795
32,蘇澳鎮,0.254
33,頭城鎮,0.2553
34,礁溪鄉,0.2707
35,壯圍鄉,0.2571
36,員山鄉,0.2457
37,冬山鄉,0.2718
38,五結鄉,0.2587
39,三星鄉,0.2335
40,大同鄉,0.2674
41,南澳鄉,0.3036
42,桃園市,0.3136
43,中壢市,0.2748
44,大溪鎮,0.2696
45,楊梅鎮,0.2834
46,蘆竹鄉,0.3063
47,大園鄉,0.2815
48,龜山鄉,0.2597
49,八德市,0.2989
50,龍潭鄉,0.2795
51,平鎮市,0.3026
52,新屋鄉,0.2612
53,觀音鄉,0.2528
54,復興鄉,0.2769
55,竹北市,0.3014
56,竹東鎮,0.2794
57,新埔鎮,0.2719
58,關西鎮,0.2239
59,湖口鄉,0.2456
60,新豐鄉,0.3002
61,芎林鄉,0.2631
62,橫山鄉,0.2333
63,北埔鄉,0.2385
64,寶山鄉,0.2416
65,峨眉鄉,0.222
66,尖石鄉,0.3192
67,五峰鄉,0.2456
68,苗栗市,0.2627
69,苑裡鎮,0.2795
70,通霄鎮,0.2751
71,竹南鎮,0.2965
72,頭份鎮,0.2901
73,後龍鎮,0.2557
74,卓蘭鎮,0.273
75,大湖鄉,0.2493
76,公館鄉,0.2625
77,銅鑼鄉,0.2518
78,南庄鄉,0.2218
79,頭屋鄉,0.2534
80,三義鄉,0.2822
81,西湖鄉,0.221
82,造橋鄉,0.2788
83,三灣鄉,0.2325
84,獅潭鄉,0.2029
85,泰安鄉,0.2161
86,豐原市,0.303
87,東勢鎮,0.2653
88,大甲鎮,0.3129
89,清水鎮,0.2976
90,沙鹿鎮,0.312
91,梧棲鎮,0.3309
92,后里鄉,0.2697
93,神岡鄉,0.2826
94,潭子鄉,0.2933
95,大雅鄉,0.2763
96,新社鄉,0.2092
97,石岡鄉,0.2463
98,外埔鄉,0.2956
99,大安鄉,0.2766
100,烏日鄉,0.2867
101,大肚鄉,0.3185
102,龍井鄉,0.3075
103,霧峰鄉,0.294
104,太平市,0.3049
105,大里市,0.3319
106,和平鄉,0.1695
107,彰化市,0.3071
108,鹿港鎮,0.3083
109,和美鎮,0.3212
110,線西鄉,0.2955
111,伸港鄉,0.315
112,福興鄉,0.3025
113,秀水鄉,0.3142
114,花壇鄉,0.3049
115,芬園鄉,0.2615
116,員林鎮,0.3116
117,溪湖鎮,0.3071
118,田中鎮,0.2495
119,大村鄉,0.2928
120,埔鹽鄉,0.279
121,埔心鄉,0.2924
122,永靖鄉,0.2928
123,社頭鄉,0.2955
124,二水鄉,0.2397
125,北斗鎮,0.2868
126,二林鎮,0.2823
127,田尾鄉,0.2595
128,埤頭鄉,0.2652
129,芳苑鄉,0.226
130,大城鄉,0.2222
131,竹塘鄉,0.236
132,溪州鄉,0.2566
133,南投市,0.277
134,埔里鎮,0.2664
135,草屯鎮,0.287
136,竹山鎮,0.2643
137,集集鎮,0.2143
138,名間鄉,0.2525
139,鹿谷鄉,0.2479
140,中寮鄉,0.2249
141,魚池鄉,0.2218
142,國姓鄉,0.2318
143,水里鄉,0.2518
144,信義鄉,0.2929
145,仁愛鄉,0.2531
146,斗六市,0.2723
147,斗南鎮,0.2674
148,虎尾鎮,0.2642
149,西螺鎮,0.2637
150,土庫鎮,0.2579
151,北港鎮,0.2559
152,古坑鄉,0.243
153,大埤鄉,0.2388
154,莿桐鄉,0.2797
155,林內鄉,0.2784
156,二崙鄉,0.2304
157,崙背鄉,0.2641
158,麥寮鄉,0.2811
159,東勢鄉,0.2529
160,褒忠鄉,0.2662
161,臺西鄉,0.2559
