town,hyga
霧臺鄉,0.0000
瑪家鄉,0.0500
泰武鄉,0.0000
來義鄉,0.0000
春日鄉,0.0000
獅子鄉,0.0000
牡丹鄉,0.0000
臺東鎮,0.8500
成功鎮,0.0500
關山鎮,0.2100
卑南鄉,0.2000
鹿野鄉,0.1100
池上鄉,0.2200
東河鄉,0.0400
長濱鄉,0.0300
太麻里鄉,0.1400
大武鄉,0.1500
綠島鄉,0.0700
海端鄉,0.1000
延平鄉,0.0000
金峰鄉,0.0000
達仁鄉,0.0600
蘭嶼鄉,0.0000
花蓮市,1.6100
鳳林鎮,0.2500
玉里鎮,0.1300
新城鄉,0.9300
吉安鄉,0.7600
壽豐鄉,0.3000
光復鄉,0.1500
豐濱鄉,0.0000
瑞穗鄉,0.2100
富里鄉,0.1900
秀林鄉,1.3800
萬榮鄉,0.0000
卓溪鄉,0.0600
馬公鎮,0.6800
湖西鄉,0.0900
白沙鄉,0.0500
西嶼鄉,0.0700
望安鄉,0.0200
七美鄉,0.0000
中正區,2.1700
七堵區,1.0300
暖暖區,2.0500
仁愛區,1.3700
中山區,0.4000
安樂區,0.8100
信義區,1.4800
新竹市,1.1400
香山鄉,0.5900
中區,0.7300
東區,0.6900
南區,0.5600
西區,0.6400
北區,1.7400
西屯區,0.3100
南屯區,0.2800
北屯區,0.4400
嘉義市,1.0800
東區,0.7700
南區,0.7000
西區,0.3700
北區,0.6700
中區,0.8700
安南區,0.0800
安平區,0.2000
鹽埕區,0.4200
鼓山區,0.7400
左營區,0.1200
楠梓區,0.3600
三民區,1.4000
新興區,0.9500
前金區,0.5600
苓雅區,0.7900
前鎮區,1.1200
旗津區,0.1700
小港鄉,0.3500
大安區,1.6300
大同區,0.5200
松山區,1.3600
南港鎮,0.9800
內湖鄉,0.7100
中山區,0.7800
北投鎮,0.4400
士林鎮,0.7100
城中區,0.6500
延平區,0.4600
建成區,0.5100
古亭區,1.7900
龍山區,0.9300
雙園區,0.7800
景美鎮,1.6800
木柵鄉,3.5000
