town,gao
板橋市,34.88
三重市,31.72
中和市,37.62
永和市,38.33
新莊市,33
新店市,37.08
樹林市,34.6
鶯歌鎮,31.65
三峽鎮,26.57
淡水鎮,29.4
汐止市,33.28
瑞芳鎮,26.93
土城市,33.97
蘆洲市,29.8
五股鄉,31.2
泰山鄉,37.31
林口鄉,36.63
深坑鄉,30.83
石碇鄉,22.24
坪林鄉,24.5
三芝鄉,23.28
石門鄉,21.09
八里鄉,23.89
平溪鄉,25.25
雙溪鄉,23.42
貢寮鄉,21.52
金山鄉,23.33
萬里鄉,22.13
烏來鄉,29.73
宜蘭市,34.59
羅東鎮,34.98
蘇澳鎮,28.39
頭城鎮,24.14
礁溪鄉,24.68
壯圍鄉,19.48
員山鄉,19.76
冬山鄉,26.6
五結鄉,26.55
三星鄉,21.46
大同鄉,15.24
南澳鄉,19.51
桃園市,36.73
中壢市,36.76
大溪鎮,28.82
楊梅鎮,38.45
蘆竹鄉,30.76
大園鄉,31.19
龜山鄉,34.73
八德市,32.46
龍潭鄉,36.3
平鎮市,37.9
新屋鄉,31.98
觀音鄉,28.35
復興鄉,21.67
竹北市,34.6
竹東鎮,34.85
新埔鎮,34.12
關西鎮,37.87
湖口鄉,38.59
新豐鄉,33.11
芎林鄉,33.21
橫山鄉,31.03
北埔鄉,30.56
寶山鄉,26.77
峨眉鄉,29.33
尖石鄉,17.93
五峰鄉,21.9
苗栗市,40.22
苑裡鎮,23.48
通霄鎮,24.89
竹南鎮,32.9
頭份鎮,36.92
後龍鎮,25.36
卓蘭鎮,28.3
大湖鄉,32.62
公館鄉,35.46
銅鑼鄉,32.63
南庄鄉,24.59
頭屋鄉,34.37
三義鄉,34.43
西湖鄉,30.67
造橋鄉,32.43
三灣鄉,29.64
獅潭鄉,27.27
泰安鄉,21.66
豐原市,34.66
東勢鎮,31.28
大甲鎮,29.27
清水鎮,28.91
沙鹿鎮,29.93
梧棲鎮,29.94
后里鄉,32
神岡鄉,32.51
潭子鄉,36.3
大雅鄉,34.25
新社鄉,30.07
石岡鄉,30.46
外埔鄉,27.12
大安鄉,21.18
烏日鄉,35.28
大肚鄉,32.2
龍井鄉,27.16
霧峰鄉,33.89
太平市,34.66
大里市,36.29
和平鄉,28.04
彰化市,34.45
鹿港鎮,24.28
和美鎮,26.2
線西鄉,21.36
伸港鄉,20.71
福興鄉,21.17
秀水鄉,26.45
花壇鄉,27.68
芬園鄉,25.28
員林鎮,34.55
溪湖鎮,26.7
田中鎮,32.81
大村鄉,26.43
埔鹽鄉,22.99
埔心鄉,24.85
永靖鄉,27.23
社頭鄉,30.62
二水鄉,32.07
北斗鎮,29
二林鎮,24.16
田尾鄉,25.62
埤頭鄉,23.93
芳苑鄉,16.87
大城鄉,15.04
竹塘鄉,19.38
溪州鄉,22.36
南投市,33.81
埔里鎮,29.26
草屯鎮,29.48
竹山鎮,26.95
集集鎮,28.03
名間鄉,26.61
鹿谷鄉,26.77
中寮鄉,23.25
魚池鄉,23.99
國姓鄉,21.65
水里鄉,27.89
信義鄉,18.46
仁愛鄉,21.1
斗六市,31.49
斗南鎮,26.29
虎尾鎮,28.33
西螺鎮,23.82
土庫鎮,23.21
北港鎮,27.19
古坑鄉,23.18
大埤鄉,21.3
莿桐鄉,22.26
林內鄉,26.27
二崙鄉,18.38
崙背鄉,17.82
麥寮鄉,17.62
東勢鄉,15.54
褒忠鄉,20.7
臺西鄉,14.76
元長鄉,16.88
四湖鄉,16.61
口湖鄉,16.22
水林鄉,17.15
太保市,22.2
朴子市,23.75
布袋鎮,21.97
大林鎮,31.7
民雄鄉,27.17
溪口鄉,19.42
新港鄉,19.58
六腳鄉,19.42
東石鄉,15.38
義竹鄉,19.69
鹿草鄉,20.35
水上鄉,30.58
中埔鄉,25.13
竹崎鄉,23.9
梅山鄉,23.59
番路鄉,22.05
大埔鄉,18.26
吳鳳鄉,26.32
新營市,35.76
鹽水鎮,27.55
白河鎮,25.28
柳營鄉,29.82
後壁鄉,29.17
東山鄉,28.5
麻豆鎮,30.18
下營鄉,28.18
六甲鄉,25.22
官田鄉,26.13
大內鄉,20.88
佳里鎮,23.13
學甲鎮,28.33
西港鄉,38.53
七股鄉,30.62
將軍鄉,23.46
北門鄉,18.03
新化鎮,19.56
善化鎮,21.73
新市鄉,32.57
安定鄉,23.53
山上鄉,25.79
玉井鄉,27.96
楠西鄉,22.15
南化鄉,19.5
左鎮鄉,16.27
仁德鄉,31.51
歸仁鄉,29.25
關廟鄉,25.84
龍崎鄉,16.49
永康市,35
鳳山市,39.24
林園鄉,30.19
大寮鄉,35.93
大樹鄉,33.04
大社鄉,33.72
仁武鄉,34.44
鳥松鄉,38.87
岡山鎮,39.92
橋頭鄉,36.65
燕巢鄉,27.52
田寮鄉,21.78
阿蓮鄉,28.18
路竹鄉,31.1
湖內鄉,35.06
茄萣鄉,19.04
永安鄉,28.64
彌陀鄉,26.02
梓官鄉,28.81
旗山鎮,32.51
美濃鎮,35.99
六龜鄉,21.57
甲仙鄉,18.77
杉林鄉,22.74
內門鄉,21.27
茂林鄉,21.08
桃源鄉,17.98
三民鄉,19.19
屏東市,37.72
潮州鎮,35.69
東港鎮,28.82
恆春鎮,27.31
萬丹鄉,30.03
長治鄉,32.21
麟洛鄉,45.23
九如鄉,26.74
里港鄉,31.18
鹽埔鄉,26.87
高樹鄉,24.67
萬巒鄉,33.7
內埔鄉,34.48
竹田鄉,35.61
新埤鄉,28.29
枋寮鄉,29.89
新園鄉,28.64
崁頂鄉,28.58
林邊鄉,28.43
南州鄉,32
佳冬鄉,29
琉球鄉,13.88
車城鄉,24.43
滿州鄉,21.18
枋山鄉,26.03
三地鄉,16.89
霧臺鄉,19.97
瑪家鄉,23.99
泰武鄉,19.28
來義鄉,11.53
春日鄉,15.38
獅子鄉,17.23
牡丹鄉,20.97
臺東市,36.44
成功鎮,17.6
關山鎮,27.99
卑南鄉,25.29
鹿野鄉,19.91
池上鄉,22.05
東河鄉,18.65
長濱鄉,15.85
太麻里鄉,26.39
大武鄉,23.55
綠島鄉,33.05
海端鄉,17.72
延平鄉,16.53
金峰鄉,15.79
達仁鄉,18.46
蘭嶼鄉,22.48
花蓮市,40.64
鳳林鎮,27.85
玉里鎮,24.65
新城鄉,36.98
吉安鄉,36.99
壽豐鄉,23.68
光復鄉,24.69
豐濱鄉,17.34
瑞穗鄉,23.69
富里鄉,21.48
秀林鄉,18.76
萬榮鄉,15.95
卓溪鄉,18.34
馬公市,37.02
湖西鄉,29.47
白沙鄉,21.8
西嶼鄉,16.19
望安鄉,15.02
七美鄉,12.47
中正區,36.67
七堵區,36.23
暖暖區,36.48
仁愛區,38.22
中山區,37.18
安樂區,37.92
信義區,40.01
東區,33.42
北區,34.28
香山區,28.89
中區,39.57
東區,35.31
南區,37.87
西區,37.2
北區,37.31
西屯區,33
南屯區,35.9
北屯區,37.78
東區,39.43
西區,33.59
東區,35.61
南區,33.61
西區,33.29
北區,34.48
中區,36.18
安南區,25.8
安平區,29.66
松山區,38.34
信義區,36.5
大安區,33.83
中山區,39.33
中正區,35.41
大同區,37.73
萬華區,35.69
文山區,35.3
南港區,37
內湖區,38.08
士林區,36.33
北投區,36.26
鹽埕區,35.28
鼓山區,35.67
左營區,41.04
楠梓區,38.57
三民區,38.48
新興區,38.82
前金區,38.07
苓雅區,39.77
前鎮區,36.24
旗津區,24.39
小港區,36.95
