town,fuwu
玉里鎮,7.78
新城鄉,31.88
吉安鄉,16.62
壽豐鄉,6.35
光復鄉,7.48
豐濱鄉,10.97
瑞穗鄉,12.62
富里鄉,7.84
秀林鄉,5.7
萬榮鄉,1.37
卓溪鄉,6.37
馬公鎮,29.52
湖西鄉,25.12
白沙鄉,23.95
西嶼鄉,18.22
望安鄉,2.5
七美鄉,1.98
中正區,14.64
七堵區,11.76
暖暖區,17.34
仁愛區,11.03
中山區,13.4
安樂區,10.38
信義區,12.99
新竹市,27.84
香山鄉,12.01
中區,11.15
東區,19.12
南區,11.17
西區,15.8
北區,20.24
西屯區,21.43
南屯區,15.9
北屯區,17.79
嘉義市,14.41
東區,23.81
南區,17.04
西區,8.06
北區,23.78
中區,10.02
安南區,7.18
安平區,11.09
鹽埕區,12.29
鼓山區,19.73
左營區,36.77
楠梓區,18.45
三民區,11.98
新興區,10.91
前金區,12.75
苓雅區,13.22
前鎮區,12.86
旗津區,10.85
小港鄉,20.63
大安區,20.59
大同區,10.82
松山區,20.2
南港鎮,10.86
內湖鄉,19.98
中山區,17.54
北投鎮,19.16
士林鎮,19.63
城中區,21.37
延平區,9.32
建成區,9.73
古亭區,19.44
龍山區,11.05
雙園區,12.73
景美鎮,20.44
木柵鄉,16.67
