OBJECTID,town,adult
1,板橋區,0.7775
2,三重區,0.776
3,中和區,0.7818
4,永和區,0.7773
5,新莊區,0.7873
6,新店區,0.7527
7,樹林區,0.7637
8,鶯歌區,0.7613
9,三峽區,0.7319
10,淡水區,0.7856
11,汐止區,0.7763
12,瑞芳區,0.6804
13,土城區,0.8027
14,蘆洲區,0.7757
15,五股區,0.7592
16,泰山區,0.7721
17,林口區,0.7578
18,深坑區,0.7521
19,石碇區,0.7133
20,坪林區,0.5898
21,三芝區,0.7267
22,石門區,0.6582
23,八里區,0.7382
24,平溪區,0.5542
25,雙溪區,0.5679
26,貢寮區,0.5892
27,金山區,0.6814
28,萬里區,0.6663
29,烏來區,0.6925
30,松山區,0.7444
31,信義區,0.757
32,大安區,0.7517
33,中山區,0.783
34,中正區,0.7562
35,大同區,0.7459
36,萬華區,0.7386
37,文山區,0.7694
38,南港區,0.7564
39,內湖區,0.781
40,士林區,0.7711
41,北投區,0.7615
42,中正區,0.7659
43,七堵區,0.7368
44,暖暖區,0.7505
45,仁愛區,0.7233
46,中山區,0.736
47,安樂區,0.7295
48,信義區,0.763
49,東區,0.7375
50,北區,0.7218
51,香山區,0.7703
52,宜蘭市,0.7167
53,羅東鎮,0.6944
54,蘇澳鎮,0.7038
55,頭城鎮,0.6769
56,礁溪鄉,0.711
57,壯圍鄉,0.6606
58,員山鄉,0.6947
59,冬山鄉,0.7031
60,五結鄉,0.679
61,三星鄉,0.7133
62,大同鄉,0.6446
63,南澳鄉,0.6211
64,桃園市,0.7405
65,中壢市,0.7553
66,大溪鎮,0.7175
67,楊梅市,0.7412
68,蘆竹鄉,0.7606
69,大園鄉,0.7315
70,龜山鄉,0.7915
71,八德市,0.7571
72,龍潭鄉,0.7531
73,平鎮市,0.7559
74,新屋鄉,0.6937
75,觀音鄉,0.7313
76,復興鄉,0.6546
77,竹北市,0.7007
78,竹東鎮,0.6974
79,新埔鎮,0.7056
80,關西鎮,0.6613
81,湖口鄉,0.7876
82,新豐鄉,0.7372
83,芎林鄉,0.6888
84,橫山鄉,0.641
85,北埔鄉,0.6263
86,寶山鄉,0.6871
87,峨眉鄉,0.6283
88,尖石鄉,0.6362
89,五峰鄉,0.6386
90,中區,0.6842
91,東區,0.7368
92,南區,0.7634
93,西區,0.744
94,北區,0.7571
95,西屯區,0.7704
96,南屯區,0.7515
97,北屯區,0.7479
98,豐原區,0.7243
99,東勢區,0.6794
100,大甲區,0.7136
101,清水區,0.7126
102,沙鹿區,0.7429
103,梧棲區,0.7455
104,后里區,0.7306
105,神岡區,0.7515
106,潭子區,0.7572
107,大雅區,0.7586
108,新社區,0.6912
109,石岡區,0.6618
110,外埔區,0.6983
111,大安區,0.6623
112,烏日區,0.7733
113,大肚區,0.7344
114,龍井區,0.7474
115,霧峰區,0.7704
116,太平區,0.7673
117,大里區,0.7665
118,和平區,0.7017
119,苗栗市,0.7061
120,苑裡鎮,0.6774
121,通霄鎮,0.6401
122,竹南鎮,0.7428
123,頭份鎮,0.724
124,後龍鎮,0.6681
125,卓蘭鎮,0.6327
126,大湖鄉,0.5998
127,公館鄉,0.6769
128,銅鑼鄉,0.6625
129,南庄鄉,0.6035
130,頭屋鄉,0.6662
131,三義鄉,0.6773
132,西湖鄉,0.5857
133,造橋鄉,0.7323
134,三灣鄉,0.6231
135,獅潭鄉,0.5272
136,泰安鄉,0.6251
137,彰化市,0.7195
138,鹿港鎮,0.7077
139,和美鎮,0.7325
140,線西鄉,0.6976
141,伸港鄉,0.7055
142,福興鄉,0.7029
143,秀水鄉,0.7053
144,花壇鄉,0.7364
145,芬園鄉,0.6833
146,員林鎮,0.7107
147,溪湖鎮,0.7007
148,田中鎮,0.6534
149,大村鄉,0.7412
150,埔鹽鄉,0.6818
151,埔心鄉,0.7162
152,永靖鄉,0.7123
153,社頭鄉,0.6987
154,二水鄉,0.6191
155,北斗鎮,0.7035
156,二林鎮,0.6797
157,田尾鄉,0.6579
158,埤頭鄉,0.6711
159,芳苑鄉,0.6064
160,大城鄉,0.5617
161,竹塘鄉,0.5902
162,溪州鄉,0.6374
163,南投市,0.731
164,埔里鎮,0.6766
165,草屯鎮,0.7263
166,竹山鎮,0.6539
167,集集鎮,0.6572
168,名間鄉,0.6491
169,鹿谷鄉,0.6002
170,中寮鄉,0.5873
171,魚池鄉,0.6164
172,國姓鄉,0.6065
173,水里鄉,0.6008
174,信義鄉,0.5934
175,仁愛鄉,0.6746
176,斗六市,0.7181
177,斗南鎮,0.6809
178,虎尾鎮,0.7053
179,西螺鎮,0.6617
180,土庫鎮,0.637
181,北港鎮,0.6688
182,古坑鄉,0.6272
183,大埤鄉,0.6121
184,莿桐鄉,0.6605
185,林內鄉,0.6465
186,二崙鄉,0.6187
187,崙背鄉,0.6429
188,麥寮鄉,0.6535
189,東勢鄉,0.5962
190,褒忠鄉,0.6231
191,臺西鄉,0.6232
192,元長鄉,0.6114
193,四湖鄉,0.5755
194,口湖鄉,0.5926
195,水林鄉,0.5679
196,東區,0.7385
197,南區,0.759
198,北區,0.7322
199,安南區,0.7675
200,安平區,0.7437
201,中西區,0.7231
202,新營區,0.7173
203,鹽水區,0.6684
204,白河區,0.631
205,柳營區,0.7105
206,後壁區,0.6111
207,東山區,0.6143
208,麻豆區,0.6925
209,下營區,0.6776
210,六甲區,0.6872
211,官田區,0.7529
212,大內區,0.6611
213,佳里區,0.7214
214,學甲區,0.6766
215,西港區,0.6916
216,七股區,0.6401
217,將軍區,0.6219
218,北門區,0.6605
219,新化區,0.7383
220,善化區,0.7103
221,新市區,0.772
222,安定區,0.7276
223,山上區,0.7154
224,玉井區,0.6295
225,楠西區,0.5976
226,南化區,0.6105
227,左鎮區,0.5977
228,仁德區,0.7832
229,歸仁區,0.796
230,關廟區,0.7275
231,龍崎區,0.5696
232,永康區,0.7784
233,鹽埕區,0.7213
234,鼓山區,0.7552
235,左營區,0.7486
236,楠梓區,0.7771
237,三民區,0.7679
238,新興區,0.7327
239,前金區,0.7105
240,苓雅區,0.7557
241,前鎮區,0.7297
242,旗津區,0.7351
243,小港區,0.7674
244,鳳山區,0.7724
245,林園區,0.748
246,大寮區,0.7765
247,大樹區,0.7281
248,大社區,0.7644
249,仁武區,0.7735
250,鳥松區,0.7687
251,岡山區,0.7536
252,橋頭區,0.7376
253,燕巢區,0.7851
254,田寮區,0.6351
255,阿蓮區,0.7413
256,路竹區,0.7492
257,湖內區,0.7286
258,茄萣區,0.7483
259,永安區,0.7252
260,彌陀區,0.695
261,梓官區,0.7475
262,旗山區,0.7151
263,美濃區,0.6184
264,六龜區,0.6099
265,甲仙區,0.625
266,杉林區,0.6071
267,內門區,0.6783
268,茂林區,0.6746
269,桃源區,0.6526
270,那瑪夏區,0.6289
271,東區,0.7181
272,西區,0.7078
273,太保市,0.6868
274,朴子市,0.6695
275,布袋鎮,0.6432
276,大林鎮,0.7053
277,民雄鄉,0.7491
278,溪口鄉,0.6133
279,新港鄉,0.6312
280,六腳鄉,0.6113
281,東石鄉,0.5972
282,義竹鄉,0.5886
283,鹿草鄉,0.668
284,水上鄉,0.7036
285,中埔鄉,0.7061
286,竹崎鄉,0.6844
287,梅山鄉,0.6413
288,番路鄉,0.6528
289,大埔鄉,0.6325
290,阿里山鄉,0.686
291,屏東市,0.7347
292,潮州鎮,0.7256
293,東港鎮,0.6946
294,恆春鎮,0.6373
295,萬丹鄉,0.6979
296,長治鄉,0.718
297,麟洛鄉,0.7033
298,九如鄉,0.7076
299,里港鄉,0.6732
300,鹽埔鄉,0.7369
301,高樹鄉,0.6156
302,萬巒鄉,0.7069
303,內埔鄉,0.726
304,竹田鄉,0.7276
305,新埤鄉,0.6583
306,枋寮鄉,0.6632
307,新園鄉,0.7041
308,崁頂鄉,0.6756
309,林邊鄉,0.6684
310,南州鄉,0.6693
