town,total
板橋市,0.45
三重市,0.31
中和市,0.38
永和市,0.24
新莊市,0.88
新店市,0.88
樹林市,2.73
鶯歌鎮,1.86
三峽鎮,1.6
淡水鎮,0.78
汐止市,1.99
瑞芳鎮,2.02
土城市,1.53
蘆洲市,0.82
五股鄉,1.61
泰山鄉,1.86
林口鄉,1.31
深坑鄉,0.78
石碇鄉,0.24
坪林鄉,0.19
三芝鄉,0.92
石門鄉,0.31
八里鄉,1.42
平溪鄉,0.35
雙溪鄉,0.13
貢寮鄉,0.5
金山鄉,0.31
萬里鄉,1.26
烏來鄉,47.3
宜蘭市,1.03
羅東鎮,1.26
蘇澳鎮,1.53
頭城鎮,0.64
礁溪鄉,0.61
壯圍鄉,0.46
員山鄉,0.61
冬山鄉,0.67
五結鄉,0.61
三星鄉,1.26
大同鄉,79.8
南澳鄉,82.98
桃園市,0.99
中壢市,1.1
大溪鎮,5.94
楊梅鎮,1.29
蘆竹鄉,1.81
大園鄉,2.68
龜山鄉,3.55
八德市,2.46
龍潭鄉,2.11
平鎮市,1.78
新屋鄉,0.51
觀音鄉,0.95
復興鄉,69.05
竹北市,0.45
竹東鎮,3.69
新埔鎮,0.54
關西鎮,1.53
湖口鄉,1.01
新豐鄉,0.7
芎林鄉,1.08
橫山鄉,2.1
北埔鄉,0.47
寶山鄉,0.55
峨眉鄉,0.25
尖石鄉,85.29
五峰鄉,92.27
苗栗市,0.66
苑裡鎮,0.1
通霄鎮,0.21
竹南鎮,0.43
頭份鎮,0.82
後龍鎮,0.44
卓蘭鎮,0.61
大湖鄉,1.07
公館鄉,0.32
銅鑼鄉,0.48
南庄鄉,16.82
頭屋鄉,0.18
三義鄉,0.45
西湖鄉,0.23
造橋鄉,0.4
三灣鄉,0.23
獅潭鄉,2.35
泰安鄉,69.93
豐原市,0.61
東勢鎮,0.83
大甲鎮,0.14
清水鎮,0.27
沙鹿鎮,0.38
梧棲鎮,1.1
后里鄉,0.66
神岡鄉,0.92
潭子鄉,1.13
大雅鄉,1.76
新社鄉,0.75
石岡鄉,0.28
外埔鄉,0.37
大安鄉,0.14
烏日鄉,0.58
大肚鄉,1.75
龍井鄉,0.74
霧峰鄉,0.51
太平市,1.01
大里市,0.57
和平鄉,31.87
彰化市,0.34
鹿港鎮,0.3
和美鎮,0.37
線西鄉,0.05
伸港鄉,0.22
福興鄉,0.25
秀水鄉,0.31
花壇鄉,1.02
芬園鄉,0.19
員林鎮,0.1
溪湖鎮,0.11
田中鎮,0.22
大村鄉,0.21
埔鹽鄉,0.3
埔心鄉,0.14
永靖鄉,0.08
社頭鄉,0.09
二水鄉,0.21
北斗鎮,0.11
二林鎮,0.15
田尾鄉,0.07
埤頭鄉,0.06
芳苑鄉,0.11
大城鄉,0.16
竹塘鄉,0.11
溪州鄉,0.11
南投市,0.56
埔里鎮,2.91
草屯鎮,0.23
竹山鎮,0.15
集集鎮,0.62
名間鄉,0.28
鹿谷鄉,0.1
中寮鄉,0.13
魚池鄉,2.74
國姓鄉,0.45
水里鄉,1.12
信義鄉,55.84
仁愛鄉,79.09
斗六市,1.43
斗南鎮,0.13
虎尾鎮,0.16
西螺鎮,0.12
土庫鎮,0.04
北港鎮,0.08
古坑鄉,0.11
大埤鄉,0.12
莿桐鄉,0.25
林內鄉,0.1
二崙鄉,0.17
崙背鄉,0.09
麥寮鄉,0.24
東勢鄉,0.06
褒忠鄉,0.11
臺西鄉,0.12
元長鄉,0.12
四湖鄉,0.08
口湖鄉,0.1
水林鄉,0.06
太保市,0.13
朴子市,0.21
布袋鎮,0.39
大林鎮,0.32
民雄鄉,0.31
溪口鄉,0.1
新港鄉,0.09
六腳鄉,0.1
東石鄉,0.14
義竹鄉,0.06
鹿草鄉,0.15
水上鄉,0.48
中埔鄉,0.25
竹崎鄉,0.18
梅山鄉,0.16
番路鄉,0.35
大埔鄉,0.37
阿里山鄉,58.18
新營市,0.13
鹽水鎮,0.13
白河鎮,0.24
柳營鄉,0.23
後壁鄉,0.13
東山鄉,0.08
麻豆鎮,0.09
下營鄉,0.08
六甲鄉,0.23
官田鄉,0.47
大內鄉,0.21
佳里鎮,0.1
學甲鎮,0.09
西港鄉,0.09
七股鄉,0.1
將軍鄉,0.09
北門鄉,0.1
新化鎮,0.31
善化鎮,0.54
新市鄉,0.18
安定鄉,0.09
山上鄉,0.11
玉井鄉,0.16
楠西鄉,0.09
南化鄉,0.02
左鎮鄉,0.07
仁德鄉,0.34
歸仁鄉,0.34
關廟鄉,0.08
龍崎鄉,0.03
永康市,0.49
鳳山市,0.56
林園鄉,0.74
大寮鄉,0.75
大樹鄉,0.63
大社鄉,0.26
仁武鄉,0.72
鳥松鄉,0.4
岡山鎮,0.74
橋頭鄉,0.28
燕巢鄉,0.54
田寮鄉,0.13
阿蓮鄉,0.41
路竹鄉,0.21
湖內鄉,0.53
茄萣鄉,0.22
永安鄉,0.17
彌陀鄉,0.27
梓官鄉,0.39
旗山鎮,0.23
美濃鎮,0.36
六龜鄉,3.75
甲仙鄉,0.92
杉林鄉,0.17
內門鄉,0.24
茂林鄉,90.25
桃源鄉,89.32
三民鄉,85.16
屏東市,2.04
潮州鎮,2.83
東港鎮,0.29
恆春鎮,1.76
萬丹鄉,0.27
長治鄉,1.41
麟洛鄉,0.43
九如鄉,0.3
里港鄉,0.24
鹽埔鄉,0.63
高樹鄉,0.76
萬巒鄉,4.23
內埔鄉,2.98
竹田鄉,0.5
新埤鄉,0.87
枋寮鄉,1.97
新園鄉,0.27
崁頂鄉,0.25
林邊鄉,0.54
南州鄉,0.29
佳冬鄉,0.4
琉球鄉,0.29
車城鄉,2.53
滿州鄉,20.97
枋山鄉,2.74
三地門鄉,92.35
霧臺鄉,97.59
瑪家鄉,91.11
泰武鄉,97.32
來義鄉,94.38
春日鄉,84.88
