town,labor
來義鄉,85.2363
春日鄉,80.0698
獅子鄉,75
牡丹鄉,80.6542
臺東鎮,50.262
成功鎮,67.0515
關山鎮,54.2152
卑南鄉,55.8687
鹿野鄉,60.7856
池上鄉,57.1514
東河鄉,64.4378
長濱鄉,72.4358
太麻里鄉,65.1005
大武鄉,59.5196
綠島鄉,53.2086
海端鄉,79.5803
延平鄉,73.4684
金峰鄉,81.002
達仁鄉,85.7415
蘭嶼鄉,52.6416
花蓮市,49.9207
鳳林鎮,59.9523
玉里鎮,50.4433
新城鄉,62.278
吉安鄉,60.5916
壽豐鄉,62.4086
光復鄉,58.4338
豐濱鄉,78.3711
瑞穗鄉,57.1653
富里鄉,57.8333
秀林鄉,79.0974
萬榮鄉,84.5831
卓溪鄉,70.0858
馬公鎮,65.4449
湖西鄉,79.6283
白沙鄉,75.6239
西嶼鄉,78.4359
望安鄉,75.2893
七美鄉,78.8423
中正區,49.9496
七堵區,50.8321
暖暖區,47.5599
仁愛區,46.2181
中山區,48.4407
安樂區,47.2767
信義區,44.9911
新竹市,50.4598
香山鄉,52.5358
中區,43.0638
東區,47.8938
南區,48.6988
西區,47.0726
北區,48.6942
西屯區,49.6323
南屯區,50.1263
北屯區,49.1448
嘉義市,46.271
東區,47.8938
南區,48.6988
西區,47.0726
北區,48.6942
中區,43.0638
安南區,57.1173
安平區,52.1092
鹽埕區,48.9508
鼓山區,52.0806
左營區,57.4434
楠梓區,47.3111
三民區,49.2437
新興區,46.2871
前金區,48.0268
苓雅區,48.7574
前鎮區,50.4024
旗津區,55.7792
小港鄉,56.2089
大安區,46.2843
大同區,48.6793
松山區,52.0819
南港鎮,54.8333
內湖鄉,55.6116
中山區,48.4407
北投鎮,51.5527
士林鎮,50.5504
城中區,52.9141
延平區,45.4664
建成區,46.1793
古亭區,48.1078
龍山區,46.0973
雙園區,50.8276
景美鎮,50.9833
木柵鄉,49.6891
