town,total
中山區,0.006
安樂區,0.005
信義區,0.08
新竹市,0.046
香山鄉,0
中區,0.003
東區,0.038
南區,0.021
西區,0.006
北區,0.137
西屯區,0.033
南屯區,0
北屯區,0
嘉義市,0.009
東區,0.003
南區,0.029
西區,0.002
北區,0.053
中區,0.009
安南區,0
安平區,0
鹽埕區,0.038
鼓山區,0.095
左營區,0.039
楠梓區,0
三民區,0.098
新興區,0.003
前金區,0.009
苓雅區,0.037
前鎮區,0.058
旗津區,0.04
小港鄉,0.006
大安區,0.037
大同區,0.01
松山區,0.079
南港鎮,0.013
內湖鄉,0
中山區,0.034
北投鎮,0.003
士林鎮,0.04
城中區,0.042
延平區,0.004
建成區,0.025
古亭區,0.036
龍山區,0.016
雙園區,0.017
景美鎮,0.013
木柵鄉,0
