OBJECTID,town,young
1,板橋市,0.3555
2,三重市,0.3461
3,永和市,0.2958
4,中和市,0.3274
5,新莊市,0.3883
6,新店市,0.2918
7,樹林鎮,0.3647
8,鶯歌鎮,0.3596
9,三峽鎮,0.3414
10,淡水鎮,0.3264
11,汐止鎮,0.3331
12,瑞芳鎮,0.3102
13,土城鄉,0.3269
14,蘆洲鄉,0.3552
15,五股鄉,0.3604
16,泰山鄉,0.3879
17,林口鄉,0.3548
18,深坑鄉,0.3198
19,石碇鄉,0.3099
20,坪林鄉,0.3444
21,三芝鄉,0.3341
22,石門鄉,0.3327
23,八里鄉,0.3488
24,平溪鄉,0.3261
25,雙溪鄉,0.3194
26,貢寮鄉,0.3422
27,金山鄉,0.3532
28,萬里鄉,0.3266
29,烏來鄉,0.2924
30,宜蘭市,0.3139
31,羅東鎮,0.309
32,蘇澳鎮,0.3288
33,頭城鎮,0.3341
34,礁溪鄉,0.3237
35,壯圍鄉,0.3188
36,員山鄉,0.3243
37,冬山鄉,0.3171
38,五結鄉,0.314
39,三星鄉,0.2967
40,大同鄉,0.3464
41,南澳鄉,0.3383
42,桃園市,0.3587
43,中壢市,0.3495
44,大溪鎮,0.3374
45,楊梅鎮,0.3152
46,蘆竹鄉,0.3511
47,大園鄉,0.3441
48,龜山鄉,0.3235
49,八德鄉,0.3591
50,龍潭鄉,0.34
51,平鎮鄉,0.3585
52,新屋鄉,0.3071
53,觀音鄉,0.3143
54,復興鄉,0.3862
55,新竹市,0.3143
56,關西鎮,0.3039
57,新埔鎮,0.3017
58,竹東鎮,0.3121
59,香山鄉,0.3446
60,竹北鄉,0.3439
61,湖口鄉,0.3194
62,橫山鄉,0.3027
63,新豐鄉,0.3432
64,芎林鄉,0.2944
65,寶山鄉,0.3038
66,北埔鄉,0.2956
67,峨眉鄉,0.2704
68,尖石鄉,0.3784
69,五峰鄉,0.3484
70,苗栗鎮,0.3085
71,苑裡鎮,0.3213
72,通霄鎮,0.3245
73,竹南鎮,0.3421
74,頭份鎮,0.3319
75,後龍鎮,0.3279
76,卓蘭鎮,0.2925
77,大湖鄉,0.2902
78,公館鄉,0.2917
79,銅鑼鄉,0.2905
80,南庄鄉,0.3083
81,頭屋鄉,0.2994
82,三義鄉,0.31
83,西湖鄉,0.299
84,造橋鄉,0.3075
85,三灣鄉,0.289
86,獅潭鄉,0.2795
87,泰安鄉,0.2774
88,豐原市,0.3344
89,東勢鎮,0.3055
90,大甲鎮,0.3353
91,清水鎮,0.3443
92,沙鹿鎮,0.3904
93,梧棲鎮,0.3597
94,后里鄉,0.3362
95,神岡鄉,0.3493
96,潭子鄉,0.3411
97,大雅鄉,0.3529
98,新社鄉,0.3144
99,石岡鄉,0.2816
100,外埔鄉,0.3402
101,大安鄉,0.3343
102,烏日鄉,0.3441
103,大肚鄉,0.3573
104,龍井鄉,0.3601
105,霧峰鄉,0.3287
106,太平鄉,0.3562
107,大里鄉,0.3582
108,和平鄉,0.2609
109,彰化市,0.3428
110,鹿港鎮,0.3386
111,和美鎮,0.3461
112,北斗鎮,0.3193
113,員林鎮,0.345
114,溪湖鎮,0.324
115,田中鎮,0.3043
116,二林鎮,0.3324
117,線西鄉,0.3313
118,伸港鄉,0.3396
119,福興鄉,0.3321
120,秀水鄉,0.3325
121,花壇鄉,0.3496
122,芬園鄉,0.3236
123,大村鄉,0.3277
124,埔鹽鄉,0.3226
125,埔心鄉,0.3225
126,永靖鄉,0.3271
127,社頭鄉,0.3336
128,二水鄉,0.3088
129,田尾鄉,0.3091
130,埤頭鄉,0.3159
131,芳苑鄉,0.3209
132,大城鄉,0.3401
133,竹塘鄉,0.2993
134,溪州鄉,0.3059
135,南投鎮,0.3045
136,埔里鎮,0.3081
137,草屯鎮,0.3201
138,竹山鎮,0.3194
139,集集鎮,0.2943
140,名間鄉,0.3104
141,鹿谷鄉,0.3029
142,中寮鄉,0.2951
143,魚池鄉,0.2937
144,國姓鄉,0.3065
145,水里鄉,0.305
146,信義鄉,0.3311
147,仁愛鄉,0.3223
148,斗六鎮,0.3057
149,斗南鎮,0.3012
150,虎尾鎮,0.3108
151,西螺鎮,0.3146
152,土庫鎮,0.3266
153,北港鎮,0.3107
154,古坑鄉,0.3012
155,大埤鄉,0.3093
156,莿桐鄉,0.3183
157,林內鄉,0.3186
158,二崙鄉,0.3021
159,崙背鄉,0.3233
160,麥寮鄉,0.3497
161,東勢鄉,0.3323
162,褒忠鄉,0.3337
163,臺西鄉,0.3412
164,元長鄉,0.3143
165,四湖鄉,0.3396
166,口湖鄉,0.353
167,水林鄉,0.3124
168,嘉義市,0.3116
169,朴子鎮,0.2999
170,布袋鎮,0.3118
171,大林鎮,0.2908
172,民雄鄉,0.3056
173,溪口鄉,0.2907
174,新港鄉,0.2961
175,六腳鄉,0.273
176,東石鄉,0.3214
177,義竹鄉,0.2767
178,鹿草鄉,0.2694
179,太保鄉,0.3085
180,水上鄉,0.2973
181,中埔鄉,0.3052
182,竹崎鄉,0.2994
183,梅山鄉,0.2919
184,番路鄉,0.2966
185,大埔鄉,0.3204
186,吳鳳鄉,0.3136
187,新營鎮,0.2865
188,鹽水鎮,0.2716
189,白河鎮,0.2589
190,麻豆鎮,0.2768
191,佳里鎮,0.3075
192,新化鎮,0.3009
193,善化鎮,0.293
194,學甲鎮,0.2945
195,柳營鄉,0.2825
196,後壁鄉,0.2633
197,東山鄉,0.281
198,下營鄉,0.2775
199,六甲鄉,0.2861
200,官田鄉,0.2808
201,大內鄉,0.289
202,西港鄉,0.2988
203,七股鄉,0.2907
204,將軍鄉,0.2857
205,北門鄉,0.3088
206,新市鄉,0.3198
207,安定鄉,0.3009
208,山上鄉,0.272
209,玉井鄉,0.2772
210,楠西鄉,0.2922
211,南化鄉,0.2767
212,左鎮鄉,0.2583
213,仁德鄉,0.3316
214,歸仁鄉,0.323
215,關廟鄉,0.3238
216,龍崎鄉,0.2753
217,永康鄉,0.3432
218,鳳山市,0.3492
219,岡山鎮,0.3137
220,旗山鎮,0.29
221,美濃鎮,0.2901
222,林園鄉,0.3652
223,大寮鄉,0.3272
224,大樹鄉,0.3322
225,仁武鄉,0.3689
226,大社鄉,0.3436
227,鳥松鄉,0.3375
228,橋頭鄉,0.3199
229,燕巢鄉,0.3005
230,田寮鄉,0.2871
231,阿蓮鄉,0.3358
232,路竹鄉,0.3417
233,湖內鄉,0.3443
234,茄萣鄉,0.3524
235,永安鄉,0.3284
236,彌陀鄉,0.352
237,梓官鄉,0.3664
238,六龜鄉,0.3237
239,甲仙鄉,0.3269
240,杉林鄉,0.3115
241,內門鄉,0.321
242,茂林鄉,0.354
243,桃源鄉,0.4124
244,三民鄉,0.4446
245,屏東市,0.3053
246,潮州鎮,0.3272
247,東港鎮,0.3486
248,恆春鎮,0.334
249,萬丹鄉,0.3299
250,長治鄉,0.2926
251,麟洛鄉,0.2748
252,九如鄉,0.312
253,里港鄉,0.3071
254,鹽埔鄉,0.3256
255,高樹鄉,0.2863
256,萬巒鄉,0.2891
257,內埔鄉,0.2964
258,竹田鄉,0.283
259,新埤鄉,0.2906
260,枋寮鄉,0.3158
261,新園鄉,0.3594
262,崁頂鄉,0.3118
263,林邊鄉,0.3369
264,南州鄉,0.3146
265,佳冬鄉,0.2952
266,琉球鄉,0.4078
267,車城鄉,0.3103
268,滿州鄉,0.3169
269,枋山鄉,0.3189
270,三地門鄉,0.3287
271,霧臺鄉,0.3186
272,瑪家鄉,0.3189
273,泰武鄉,0.344
274,來義鄉,0.3452
275,春日鄉,0.3231
276,獅子鄉,0.3035
277,牡丹鄉,0.3061
278,臺東市,0.3119
279,成功鎮,0.3574
280,關山鎮,0.3284
281,卑南鄉,0.2904
282,大武鄉,0.3253
283,太麻里鄉,0.336
284,東河鄉,0.3142
285,長濱鄉,0.3358
