town,da
板橋鎮,8.7463
三重市,3.5954
中和鄉,11.6204
永和鎮,18.9544
新莊鎮,5.689
新店鎮,11.6244
樹林鎮,4.4056
鶯歌鎮,2.1893
三峽鎮,1.4639
淡水鎮,4.2495
汐止鎮,2.5241
瑞芳鎮,2.0015
土城鄉,4.4156
蘆洲鄉,6.7791
五股鄉,3.5237
泰山鄉,5.2871
林口鄉,2.9689
深坑鄉,1.9231
石碇鄉,0.7893
坪林鄉,0.4961
三芝鄉,0.9184
石門鄉,1.5737
八里鄉,1.4178
平溪鄉,0.752
雙溪鄉,0.9511
貢寮鄉,0.7224
金山鄉,0.7879
萬里鄉,0.6135
烏來鄉,2.1091
宜蘭市,6.088
羅東鎮,4.1354
頭城鎮,2.0275
蘇澳鎮,1.475
礁溪鄉,1.7458
壯圍鄉,0.6856
員山鄉,1.3623
冬山鄉,0.6855
五結鄉,1.4386
三星鄉,1.1127
大同鄉,0.4803
南澳鄉,0.7541
桃園鎮,5.6613
中壢鎮,6.0914
大溪鎮,3.8322
楊梅鎮,4.3067
蘆竹鄉,2.3704
大園鄉,2.8955
龜山鄉,4.7825
八德鄉,4.394
龍潭鄉,5.6065
平鎮鄉,6.2043
新屋鄉,1.4985
觀音鄉,2.6872
復興鄉,0.6779
竹北鄉,1.72
竹東鎮,3.5311
新埔鎮,2.381
關西鎮,2.1158
湖口鄉,3.8392
新豐鄉,1.7697
芎林鄉,1.7518
橫山鄉,1.4419
北埔鄉,1.7012
寶山鄉,0.8653
峨眉鄉,1.0766
尖石鄉,0.796
五峰鄉,0.9633
苗栗鎮,7.2619
苑裡鎮,1.58
通霄鎮,1.3116
竹南鎮,2.9832
頭份鎮,3.601
後龍鎮,1.6477
卓蘭鎮,1.7107
大湖鄉,2.0592
公館鄉,1.7037
銅鑼鄉,1.9294
南庄鄉,0.7111
頭屋鄉,1.2543
三義鄉,1.4201
西湖鄉,1.0401
造橋鄉,1.651
三灣鄉,1.0434
獅潭鄉,0.5692
泰安鄉,0.5417
豐原鎮,4.3855
東勢鎮,2.3357
大甲鎮,2.6688
清水鎮,3.4461
沙鹿鎮,2.1135
梧棲鎮,1.8081
后里鄉,2.3244
神岡鄉,2.623
潭子鄉,2.513
大雅鄉,4.5634
新社鄉,1.7396
石岡鄉,2.3297
外埔鄉,0.9603
大安鄉,0.5338
烏日鄉,4.1275
大肚鄉,1.5835
龍井鄉,0.8392
霧峰鄉,3.6945
太平鄉,2.6179
大里鄉,2.7542
和平鄉,2.0159
彰化市,5.8333
鹿港鎮,2.129
和美鎮,1.4734
線西鄉,1.0459
伸港鄉,0.7908
福興鄉,0.916
秀水鄉,1.1931
花壇鄉,1.3571
芬園鄉,0.8948
員林鎮,3.6919
溪湖鎮,2.074
田中鎮,2.3766
大村鄉,0.5662
埔鹽鄉,0.8979
埔心鄉,0.7141
永靖鄉,1.0705
社頭鄉,1.1842
二水鄉,1.945
北斗鎮,2.9291
二林鎮,1.2658
田尾鄉,1.0118
埤頭鄉,1.3974
芳苑鄉,0.6622
大城鄉,0.6394
竹塘鄉,0.9072
溪州鄉,3.0347
南投鎮,8.3662
埔里鎮,1.8171
草屯鎮,3.2776
竹山鎮,1.816
集集鎮,2.0423
名間鄉,1.317
鹿谷鄉,0.9243
中寮鄉,0.8699
魚池鄉,1.0823
國姓鄉,0.7452
水里鄉,1.8123
信義鄉,0.7442
仁愛鄉,1.4207
斗六鎮,4.2992
斗南鎮,2.1086
虎尾鎮,4.2832
西螺鎮,2.2305
土庫鎮,1.6108
北港鎮,3.304
古坑鄉,1.0892
大埤鄉,0.8406
莿桐鄉,1.3174
林內鄉,1.2077
二崙鄉,0.9667
崙背鄉,1.269
麥寮鄉,0.758
東勢鄉,0.9786
褒忠鄉,1.3779
臺西鄉,0.7225
元長鄉,0.9434
四湖鄉,0.5384
口湖鄉,0.3204
水林鄉,0.9711
太保市,0.783
朴子鎮,3.2636
布袋鎮,1.5506
大林鎮,2.9992
民雄鄉,1.8813
溪口鄉,1.0355
新港鄉,1.6393
六腳鄉,1.2809
東石鄉,0.4872
義竹鄉,1.2384
鹿草鄉,0.8074
水上鄉,3.3699
中埔鄉,1.1316
竹崎鄉,0.8702
梅山鄉,0.9544
番路鄉,0.5489
大埔鄉,0.43
吳鳳鄉,1.0268
新營鎮,5.8537
鹽水鎮,2.554
白河鎮,1.6987
柳營鄉,1.6606
後壁鄉,2.6704
東山鄉,1.0518
麻豆鎮,3.1511
下營鄉,1.3087
六甲鄉,1.5152
官田鄉,1.9666
大內鄉,0.8827
佳里鎮,2.8311
學甲鄉,1.669
西港鄉,0.9884
七股鄉,1.0045
將軍鄉,0.8416
北門鄉,0.9249
新化鎮,2.4109
善化鎮,3.4023
新市鄉,0.9967
安定鄉,1.0246
山上鄉,1.6539
玉井鄉,2.1915
楠西鄉,0.6628
南化鄉,0.5221
左鎮鄉,0.6245
仁德鄉,2.8453
歸仁鄉,1.9098
關廟鄉,1.3861
龍崎鄉,0.559
永康鄉,3.6998
鳳山鎮,9.8176
林園鄉,1.8869
大寮鄉,2.7952
大樹鄉,1.6778
大社鄉,1.1702
仁武鄉,2.8885
鳥松鄉,2.2297
岡山鎮,11.4442
橋頭鄉,2.6343
燕巢鄉,2.4325
田寮鄉,0.7577
阿蓮鄉,1.8501
路竹鄉,2.0675
湖內鄉,1.4143
茄萣鄉,0.6333
永安鄉,1.161
彌陀鄉,1.1952
梓官鄉,1.2363
旗山鎮,3.1393
美濃鎮,2.1203
六龜鄉,1.0247
甲仙鄉,0.4404
杉林鄉,0.7964
內門鄉,0.6831
茂林鄉,0.8306
桃源鄉,0.4149
三民鄉,0.3654
屏東市,7.6303
潮州鎮,3.6044
東港鎮,4.9273
恆春鎮,1.5339
萬丹鄉,1.3818
長治鄉,1.9887
麟洛鄉,2.6002
九如鄉,1.2524
里港鄉,1.6123
鹽埔鄉,0.7762
高樹鄉,1.1284
萬巒鄉,1.9625
內埔鄉,2.1134
竹田鄉,1.7387
新埤鄉,1.3642
枋寮鄉,1.601
新園鄉,1.1219
崁頂鄉,1.5247
林邊鄉,2.4968
南州鄉,2.6775
佳冬鄉,1.7024
琉球鄉,2.1683
車城鄉,0.8233
滿州鄉,0.5638
枋山鄉,1.0704
三地鄉,0.5553
霧臺鄉,0.1392
瑪家鄉,0.5666
泰武鄉,0.2252
來義鄉,0.1058
春日鄉,0.1014
獅子鄉,0.4436
牡丹鄉,0.4174
臺東鎮,4.4856
成功鎮,0.9272
關山鎮,0.9491
卑南鄉,0.9265
鹿野鄉,0.6353
池上鄉,0.8153
東河鄉,1.1717
長濱鄉,0.5057
太麻里鄉,0.5139
大武鄉,0.9328
綠島鄉,5.1613
海端鄉,0.6057
延平鄉,0.3976
金峰鄉,0.6103
達仁鄉,0.1937
蘭嶼鄉,1.3833
花蓮市,6.5388
鳳林鎮,1.448
玉里鎮,1.3347
新城鄉,2.0079
吉安鄉,1.9103
壽豐鄉,0.771
光復鄉,1.1845
豐濱鄉,0.5763
瑞穗鄉,0.9351
富里鄉,0.7061
秀林鄉,0.79
萬榮鄉,0.5553
卓溪鄉,0.3483
馬公鎮,4.0681
湖西鄉,2.7679
白沙鄉,1.3432
西嶼鄉,1.2635
望安鄉,0.3967
七美鄉,0.2862
中正區,6.5951
七堵區,4.2617
暖暖區,6.3618
仁愛區,5.2804
中山區,5.1555
安樂區,2.8696
信義區,10.1775
新竹市,7.6268
香山鄉,1.651
中區,11.1848
東區,9.6345
南區,12.7491
西區,11.2666
北區,13.5874
西屯區,6.8721
南屯區,3.1226
北屯區,4.5504
嘉義市,7.081
東區,11.138
南區,8.5903
西區,4.2112
北區,7.3939
中區,13.7782
安南區,1.0312
安平區,3.4765
鹽埕區,5.3005
鼓山區,5.5294
左營區,8.936
楠梓區,5.4801
三民區,5.5703
新興區,9.2786
前金區,8.6178
苓雅區,5.1622
前鎮區,5.7345
旗津區,1.9675
小港鄉,2.187
大安區,32.6459
大同區,6.4824
松山區,15.4929
南港鎮,6.2573
內湖鄉,5.2236
中山區,18.058
北投鎮,11.07
士林鎮,10.8842
城中區,24.9446
延平區,8.9812
建成區,7.9302
古亭區,18.2623
龍山區,8.9312
雙園區,5.1712
景美鎮,10.9543
木柵鄉,19.6805
