OBJECTID,town,widow
1,板橋市,5.66
2,三重市,6.4
3,中和市,5.85
4,永和市,6.69
5,新莊市,4.52
6,新店市,6.98
7,樹林市,5.62
8,鶯歌鎮,6.69
9,三峽鎮,7.16
10,淡水鎮,6.4
11,汐止市,5.83
12,瑞芳鎮,13.05
13,土城市,4.75
14,蘆洲市,5.02
15,五股鄉,5.25
16,泰山鄉,5.13
17,林口鄉,5.81
18,深坑鄉,6.74
19,石碇鄉,13.61
20,坪林鄉,10.97
21,三芝鄉,8.66
22,石門鄉,10.81
23,八里鄉,6.29
24,平溪鄉,18.51
25,雙溪鄉,17.39
26,貢寮鄉,13.24
27,金山鄉,9.54
28,萬里鄉,11.59
29,烏來鄉,8.59
30,宜蘭市,8.82
31,羅東鎮,8.89
32,蘇澳鎮,10.15
33,頭城鎮,11.04
34,礁溪鄉,10.2
35,壯圍鄉,9.85
36,員山鄉,10.16
37,冬山鄉,9.35
38,五結鄉,9.45
39,三星鄉,10.61
40,大同鄉,12.03
41,南澳鄉,12.76
42,桃園市,5.55
43,中壢市,5.96
44,大溪鎮,8.39
45,楊梅鎮,6.22
46,蘆竹鄉,5.52
47,大園鄉,7.56
48,龜山鄉,5.7
49,八德市,5.97
50,龍潭鄉,6.09
51,平鎮市,5.86
52,新屋鄉,9.18
53,觀音鄉,8.15
54,復興鄉,10.53
55,竹北市,6.44
56,竹東鎮,7.85
57,新埔鎮,9.82
58,關西鎮,10.39
59,湖口鄉,6.75
60,新豐鄉,7.12
61,芎林鄉,8.47
62,橫山鄉,11.14
63,北埔鄉,11.2
64,寶山鄉,7.72
65,峨眉鄉,11.39
66,尖石鄉,11.8
67,五峰鄉,13.62
68,苗栗市,8.82
69,苑裡鎮,9.81
70,通霄鎮,10.89
71,竹南鎮,8.22
72,頭份鎮,7.87
73,後龍鎮,11.27
74,卓蘭鎮,10.26
75,大湖鄉,10.89
76,公館鄉,10.06
77,銅鑼鄉,10
78,南庄鄉,12.89
79,頭屋鄉,10.95
80,三義鄉,8.45
81,西湖鄉,12.13
82,造橋鄉,9.8
83,三灣鄉,11.68
84,獅潭鄉,12.62
85,泰安鄉,13.37
86,豐原市,7.8
87,東勢鎮,10.21
88,大甲鎮,8.71
89,清水鎮,8.65
90,沙鹿鎮,7.82
91,梧棲鎮,7.26
92,后里鄉,8.85
93,神岡鄉,7.7
94,潭子鄉,6.38
95,大雅鄉,6.34
96,新社鄉,9.66
97,石岡鄉,11.25
98,外埔鄉,8.54
99,大安鄉,9.7
100,烏日鄉,7.17
101,大肚鄉,7.07
102,龍井鄉,6.7
103,霧峰鄉,8.1
104,太平市,5.99
105,大里市,6.08
106,和平鄉,10.76
107,彰化市,7.32
108,鹿港鎮,8.5
109,和美鎮,7.53
110,線西鄉,8.96
111,伸港鄉,8.27
112,福興鄉,8.53
113,秀水鄉,8.44
114,花壇鄉,8.29
115,芬園鄉,10.76
116,員林鎮,8.2
117,溪湖鎮,8.81
118,田中鎮,10.32
119,大村鄉,9.7
120,埔鹽鄉,9.41
121,埔心鄉,10.29
122,永靖鄉,9.77
123,社頭鄉,9.26
124,二水鄉,12.2
125,北斗鎮,9.12
126,二林鎮,9.98
127,田尾鄉,11.05
128,埤頭鄉,11.17
129,芳苑鄉,11.29
130,大城鄉,11.8
131,竹塘鄉,11.71
132,溪州鄉,11.3
133,南投市,8.63
134,埔里鎮,9.94
135,草屯鎮,8.7
136,竹山鎮,10.38
137,集集鎮,10.96
138,名間鄉,9.58
139,鹿谷鄉,10.95
140,中寮鄉,13.46
141,魚池鄉,11.75
142,國姓鄉,12.46
143,水里鄉,11.64
144,信義鄉,10.88
145,仁愛鄉,13.62
146,斗六市,8.33
147,斗南鎮,10.01
148,虎尾鎮,9.72
149,西螺鎮,10.19
150,土庫鎮,10.81
151,北港鎮,10.54
152,古坑鄉,10.89
153,大埤鄉,11.94
154,莿桐鄉,10.6
155,林內鄉,11.37
156,二崙鄉,11.13
157,崙背鄉,10.63
158,麥寮鄉,10.51
159,東勢鄉,12.38
160,褒忠鄉,11.33
161,臺西鄉,13.02
162,元長鄉,12.1
163,四湖鄉,13.42
164,口湖鄉,12.73
165,水林鄉,13.06
166,太保市,8.89
167,朴子市,10.83
168,布袋鎮,12.81
169,大林鎮,10.86
170,民雄鄉,8.41
171,溪口鄉,11.62
172,新港鄉,10.79
173,六腳鄉,13.22
174,東石鄉,13.15
175,義竹鄉,13.71
176,鹿草鄉,11.61
177,水上鄉,9.13
178,中埔鄉,9.25
179,竹崎鄉,10.6
180,梅山鄉,9.6
181,番路鄉,10.4
182,大埔鄉,10.97
183,阿里山鄉,11.07
184,新營市,9.11
185,鹽水鎮,12.29
186,白河鎮,12.9
187,柳營鄉,11.03
188,後壁鄉,12.39
189,東山鄉,11.83
190,麻豆鎮,10.78
191,下營鄉,11.53
192,六甲鄉,10.4
193,官田鄉,10.49
194,大內鄉,12.73
195,佳里鎮,9.54
196,學甲鎮,12.87
197,西港鄉,9.57
198,七股鄉,13.17
199,將軍鄉,13.71
200,北門鄉,14.81
201,新化鎮,8.73
202,善化鎮,10.13
203,新市鄉,7.62
204,安定鄉,10.23
205,山上鄉,10.57
206,玉井鄉,11.64
207,楠西鄉,11.16
208,南化鄉,10.49
209,左鎮鄉,14.7
210,仁德鄉,8.12
211,歸仁鄉,7.18
212,關廟鄉,9.21
213,龍崎鄉,12.73
214,永康市,5.9
215,鳳山市,6.03
216,林園鄉,7.99
217,大寮鄉,7.39
218,大樹鄉,8.61
219,大社鄉,6.97
220,仁武鄉,6.42
221,鳥松鄉,6.48
222,岡山鎮,8.07
223,橋頭鄉,8.65
224,燕巢鄉,9.41
225,田寮鄉,12.5
226,阿蓮鄉,8.91
227,路竹鄉,8.19
228,湖內鄉,8.31
229,茄萣鄉,9.17
230,永安鄉,8.31
231,彌陀鄉,9.54
232,梓官鄉,8.94
233,旗山鎮,11.07
234,美濃鎮,10.96
235,六龜鄉,12.67
236,甲仙鄉,11.9
237,杉林鄉,12.34
238,內門鄉,11.13
239,茂林鄉,15.43
240,桃源鄉,13.51
241,三民鄉,13.7
242,屏東市,8.93
243,潮州鎮,9.45
244,東港鎮,9.37
245,恆春鎮,11.85
246,萬丹鄉,9.12
247,長治鄉,9.57
248,麟洛鄉,9.4
249,九如鄉,9.91
250,里港鄉,9.53
251,鹽埔鄉,9.66
252,高樹鄉,12.18
253,萬巒鄉,11.17
254,內埔鄉,9.72
255,竹田鄉,9.68
256,新埤鄉,11.59
257,枋寮鄉,10.78
258,新園鄉,9.69
259,崁頂鄉,10.37
260,林邊鄉,10.56
261,南州鄉,10.92
262,佳冬鄉,11.5
263,琉球鄉,10.76
264,車城鄉,13.71
265,滿州鄉,16.15
266,枋山鄉,13.92
267,三地門鄉,13.87
