OBJECTID,town,pop_den
289,蘭嶼鄉,35
290,花蓮市,1856
291,鳳林鎮,141
292,玉里鎮,103
293,新城鄉,340
294,吉安鄉,297
295,壽豐鄉,83
296,光復鄉,117
297,豐濱鄉,26
298,瑞穗鄉,99
299,富里鄉,110
300,秀林鄉,6
301,萬里鄉,7
302,卓溪鄉,5
303,馬公鎮,1066
304,湖西鄉,451
305,白沙鄉,585
306,西嶼鄉,547
307,望安鄉,571
308,七美鄉,686
309,中正區,3867
310,七堵區,266
311,暖暖區,468
312,仁愛區,12833
313,中山區,3894
314,安樂區,1448
315,信義區,1865
316,新竹市,2554
317,香山鄉,437
318,中區,37167
319,東區,4494
320,南區,3499
321,西區,6396
322,北區,6092
323,西屯區,614
324,南屯區,530
325,北屯區,461
326,嘉義市,2530
327,東區,1263
328,南區,2245
329,西區,23059
330,北區,3656
331,中區,35792
332,安南區,415
333,安平區,1757
334,鹽埕區,38939
335,鼓山區,3647
336,左營區,2615
337,楠梓區,909
338,三民區,1552
339,新興區,29059
340,前金區,18225
341,苓雅區,3296
342,前鎮區,1621
343,旗津區,13792
344,小港鄉,803
345,大安區,15945
346,大同區,23568
347,松山區,2677
348,南港鎮,1023
349,內湖鄉,519
350,中山區,7822
351,北投鎮,702
352,士林鎮,747
353,城中區,18763
354,延平區,45916
355,建成區,69442
356,古亭區,9387
357,龍山區,46645
358,雙園區,10416
359,景美鎮,2392
360,木柵鄉,597
