town,suke
玉里鎮,3.73
新城鄉,4.74
吉安鄉,4.64
壽豐鄉,2.47
光復鄉,4.11
豐濱鄉,2.19
瑞穗鄉,2.57
富里鄉,1.77
秀林鄉,1.68
萬榮鄉,1.07
卓溪鄉,0.92
馬公鎮,9.45
湖西鄉,5.33
白沙鄉,2.23
西嶼鄉,2.97
望安鄉,1.12
七美鄉,1.26
中正區,12.12
七堵區,11.36
暖暖區,16.53
仁愛區,13.58
中山區,9.42
安樂區,10.13
信義區,18.45
新竹市,10.9
香山鄉,3.84
中區,12.03
東區,12.14
南區,14.8
西區,16.06
北區,14.22
西屯區,9.33
南屯區,3.74
北屯區,6.12
嘉義市,11.15
東區,14.62
南區,10.88
西區,8.37
北區,9.54
中區,16.4
安南區,2.3
安平區,8.63
鹽埕區,10.86
鼓山區,12.27
左營區,8.69
楠梓區,9.27
三民區,11.57
新興區,16.8
前金區,16.75
苓雅區,14.51
前鎮區,12.28
旗津區,5.61
小港鄉,5.46
大安區,26.76
大同區,13.56
松山區,18.8
南港鎮,8.97
內湖鄉,6.86
中山區,23.25
北投鎮,13.3
士林鎮,13.93
城中區,24.15
延平區,18.64
建成區,16
古亭區,19.86
龍山區,15.13
雙園區,11.66
景美鎮,13.12
木柵鄉,21.01
