OBJECTID,town,old
1,板橋區,0.0809
2,三重區,0.0828
3,中和區,0.0854
4,永和區,0.0918
5,新莊區,0.0543
6,新店區,0.1164
7,樹林區,0.0608
8,鶯歌區,0.0729
9,三峽區,0.0797
10,淡水區,0.0707
11,汐止區,0.0636
12,瑞芳區,0.1698
13,土城區,0.0489
14,蘆洲區,0.0518
15,五股區,0.0739
16,泰山區,0.0445
17,林口區,0.0608
18,深坑區,0.0845
19,石碇區,0.1743
20,坪林區,0.2624
21,三芝區,0.1156
22,石門區,0.1757
23,八里區,0.0862
24,平溪區,0.3345
25,雙溪區,0.3029
26,貢寮區,0.2609
27,金山區,0.1409
28,萬里區,0.1721
29,烏來區,0.118
30,松山區,0.1284
31,信義區,0.1338
32,大安區,0.1346
33,中山區,0.1086
34,中正區,0.1306
35,大同區,0.1288
36,萬華區,0.1437
37,文山區,0.0996
38,南港區,0.1042
39,內湖區,0.0766
40,士林區,0.1051
41,北投區,0.1144
42,中正區,0.1164
43,七堵區,0.1199
44,暖暖區,0.0958
45,仁愛區,0.157
46,中山區,0.1275
47,安樂區,0.1099
48,信義區,0.0993
49,東區,0.0912
50,北區,0.1049
51,香山區,0.064
52,宜蘭市,0.1284
53,羅東鎮,0.1279
54,蘇澳鎮,0.1683
55,頭城鎮,0.1562
56,礁溪鄉,0.142
57,壯圍鄉,0.1648
58,員山鄉,0.1435
59,冬山鄉,0.1211
60,五結鄉,0.1504
61,三星鄉,0.1571
62,大同鄉,0.0992
63,南澳鄉,0.0967
64,桃園市,0.0762
65,中壢市,0.0775
66,大溪鎮,0.1094
67,楊梅市,0.0828
68,蘆竹鄉,0.0561
69,大園鄉,0.0808
70,龜山鄉,0.065
71,八德市,0.0826
72,龍潭鄉,0.0974
73,平鎮市,0.0799
74,新屋鄉,0.1328
75,觀音鄉,0.0967
76,復興鄉,0.1374
77,竹北市,0.0721
78,竹東鎮,0.1032
79,新埔鎮,0.1488
80,關西鎮,0.1862
81,湖口鄉,0.0646
82,新豐鄉,0.0881
83,芎林鄉,0.1265
84,橫山鄉,0.2012
85,北埔鄉,0.211
86,寶山鄉,0.1315
87,峨眉鄉,0.2323
88,尖石鄉,0.1013
89,五峰鄉,0.1355
90,中區,0.1824
91,東區,0.1031
92,南區,0.0733
93,西區,0.1057
94,北區,0.1032
95,西屯區,0.0638
96,南屯區,0.055
97,北屯區,0.0767
98,豐原區,0.1136
99,東勢區,0.1647
100,大甲區,0.1224
101,清水區,0.1244
102,沙鹿區,0.0734
103,梧棲區,0.0734
104,后里區,0.1088
105,神岡區,0.0901
106,潭子區,0.0737
107,大雅區,0.0621
108,新社區,0.1454
109,石岡區,0.1533
110,外埔區,0.1133
111,大安區,0.1532
112,烏日區,0.0765
113,大肚區,0.0887
114,龍井區,0.0746
115,霧峰區,0.0924
116,太平區,0.0733
117,大里區,0.0644
118,和平區,0.1553
119,苗栗市,0.1339
120,苑裡鎮,0.1479
121,通霄鎮,0.1984
122,竹南鎮,0.0814
123,頭份鎮,0.1086
124,後龍鎮,0.1628
125,卓蘭鎮,0.2078
126,大湖鄉,0.2274
127,公館鄉,0.1565
128,銅鑼鄉,0.1853
129,南庄鄉,0.2059
130,頭屋鄉,0.177
131,三義鄉,0.1517
132,西湖鄉,0.2559
133,造橋鄉,0.1274
134,三灣鄉,0.2117
135,獅潭鄉,0.3282
136,泰安鄉,0.1576
137,彰化市,0.1137
138,鹿港鎮,0.1038
139,和美鎮,0.0969
140,線西鄉,0.1277
141,伸港鄉,0.1096
142,福興鄉,0.1364
143,秀水鄉,0.1111
144,花壇鄉,0.0968
145,芬園鄉,0.143
146,員林鎮,0.1178
147,溪湖鎮,0.1125
148,田中鎮,0.1864
149,大村鄉,0.1038
150,埔鹽鄉,0.1445
151,埔心鄉,0.1105
152,永靖鄉,0.1058
153,社頭鄉,0.1256
154,二水鄉,0.2303
155,北斗鎮,0.1238
156,二林鎮,0.1742
157,田尾鄉,0.1637
158,埤頭鄉,0.1558
159,芳苑鄉,0.2465
160,大城鄉,0.2537
161,竹塘鄉,0.235
162,溪州鄉,0.1845
163,南投市,0.1149
164,埔里鎮,0.1447
165,草屯鎮,0.116
166,竹山鎮,0.1843
167,集集鎮,0.1801
168,名間鄉,0.1809
169,鹿谷鄉,0.2448
170,中寮鄉,0.2475
171,魚池鄉,0.2129
172,國姓鄉,0.2144
173,水里鄉,0.2349
174,信義鄉,0.1096
175,仁愛鄉,0.0881
176,斗六市,0.1142
177,斗南鎮,0.1484
178,虎尾鎮,0.1219
179,西螺鎮,0.1466
180,土庫鎮,0.186
181,北港鎮,0.1743
182,古坑鄉,0.2053
183,大埤鄉,0.2135
184,莿桐鄉,0.1702
185,林內鄉,0.1786
186,二崙鄉,0.2039
187,崙背鄉,0.1731
188,麥寮鄉,0.1254
189,東勢鄉,0.2435
190,褒忠鄉,0.2091
191,臺西鄉,0.1917
192,元長鄉,0.2294
193,四湖鄉,0.2607
194,口湖鄉,0.2137
195,水林鄉,0.2664
196,東區,0.1008
197,南區,0.1172
198,北區,0.1185
199,安南區,0.0782
200,安平區,0.0786
201,中西區,0.1527
202,新營區,0.1323
203,鹽水區,0.2011
204,白河區,0.2353
205,柳營區,0.1622
206,後壁區,0.2423
207,東山區,0.2345
208,麻豆區,0.1688
209,下營區,0.1769
210,六甲區,0.155
211,官田區,0.1243
212,大內區,0.1969
213,佳里區,0.1312
214,學甲區,0.1956
215,西港區,0.1586
216,七股區,0.2254
217,將軍區,0.2341
218,北門區,0.1885
219,新化區,0.125
220,善化區,0.1217
221,新市區,0.0945
222,安定區,0.1196
223,山上區,0.1697
224,玉井區,0.2175
225,楠西區,0.2549
226,南化區,0.2505
227,左鎮區,0.2854
228,仁德區,0.09
229,歸仁區,0.0684
230,關廟區,0.1409
231,龍崎區,0.3442
232,永康區,0.0729
