town,ping
板橋市,3.33
三重市,3.3
中和市,3.12
永和市,2.94
新莊市,3.49
新店市,3.04
樹林市,3.58
鶯歌鎮,3.83
三峽鎮,3.62
淡水鎮,3.16
汐止市,2.91
瑞芳鎮,3.31
土城市,3.39
蘆洲市,3.5
五股鄉,3.54
泰山鄉,3.85
林口鄉,3.61
深坑鄉,3.27
石碇鄉,3.28
坪林鄉,2.71
三芝鄉,3.43
石門鄉,3.55
八里鄉,3.46
平溪鄉,2.71
雙溪鄉,2.89
貢寮鄉,3.34
金山鄉,3.67
萬里鄉,3.43
烏來鄉,3.02
宜蘭市,3.56
羅東鎮,3.32
蘇澳鎮,4.04
頭城鎮,4.15
礁溪鄉,3.65
壯圍鄉,3.78
員山鄉,3.98
冬山鄉,3.71
五結鄉,3.59
三星鄉,3.99
大同鄉,3.38
南澳鄉,3.56
桃園市,3.43
中壢市,3.74
大溪鎮,3.98
楊梅鎮,3.9
蘆竹鄉,3.96
大園鄉,4.22
龜山鄉,4.17
八德市,3.74
龍潭鄉,4.05
平鎮市,3.91
新屋鄉,4.08
觀音鄉,4.14
復興鄉,3.15
竹北市,3.92
竹東鎮,3.74
新埔鎮,4.23
關西鎮,4.56
湖口鄉,4.45
新豐鄉,4.33
芎林鄉,4.19
橫山鄉,4.09
北埔鄉,4.02
寶山鄉,3.67
峨眉鄉,3.7
尖石鄉,3.68
五峰鄉,3.11
苗栗市,3.65
苑裡鎮,3.93
通霄鎮,3.85
竹南鎮,3.93
頭份鎮,4.13
後龍鎮,4.22
卓蘭鎮,3.62
大湖鄉,3.49
公館鄉,4.1
銅鑼鄉,3.89
南庄鄉,3.39
頭屋鄉,3.72
三義鄉,3.97
西湖鄉,3.88
造橋鄉,4.5
三灣鄉,3.72
獅潭鄉,3.55
泰安鄉,3.23
豐原市,3.87
東勢鎮,3.61
大甲鎮,4.12
清水鎮,4
沙鹿鎮,4.26
梧棲鎮,3.88
后里鄉,4.31
神岡鄉,4.34
潭子鄉,3.74
大雅鄉,4.22
新社鄉,4.57
