town,ping
石岡鄉,3.85
外埔鄉,4.13
大安鄉,4.36
烏日鄉,4.23
大肚鄉,4.04
龍井鄉,3.98
霧峰鄉,4.03
太平市,3.67
大里市,3.75
和平鄉,2.61
彰化市,3.83
鹿港鎮,4.31
和美鎮,4.27
線西鄉,4.37
伸港鄉,4.44
福興鄉,4.53
秀水鄉,4.33
花壇鄉,4.12
芬園鄉,4.02
員林鎮,3.77
溪湖鎮,3.93
田中鎮,3.97
大村鄉,4.4
埔鹽鄉,3.93
埔心鄉,3.98
永靖鄉,4.04
社頭鄉,4.05
二水鄉,3.57
北斗鎮,3.65
二林鎮,4.26
田尾鄉,3.97
埤頭鄉,4.06
芳苑鄉,4.08
大城鄉,3.75
竹塘鄉,3.68
溪州鄉,3.91
南投市,3.59
埔里鎮,3.59
草屯鎮,3.72
竹山鎮,3.53
集集鎮,3.56
名間鄉,3.82
鹿谷鄉,3.41
中寮鄉,3.47
魚池鄉,3.52
國姓鄉,3.39
水里鄉,3.16
信義鄉,3.55
仁愛鄉,3.52
斗六市,3.72
斗南鎮,3.56
虎尾鎮,3.82
西螺鎮,3.81
土庫鎮,3.9
北港鎮,3.36
古坑鄉,3.6
大埤鄉,3.9
莿桐鄉,3.83
林內鄉,3.9
二崙鄉,3.68
崙背鄉,3.88
麥寮鄉,4.12
東勢鄉,3.38
褒忠鄉,3.91
臺西鄉,3.63
元長鄉,3.46
四湖鄉,3.38
口湖鄉,3.65
水林鄉,3.32
太保市,3.94
朴子市,3.59
布袋鎮,3.36
大林鎮,3.81
民雄鄉,3.98
溪口鄉,3.51
新港鄉,3.76
六腳鄉,3.34
東石鄉,3.4
義竹鄉,3.18
鹿草鄉,3.89
水上鄉,3.73
中埔鄉,3.71
竹崎鄉,3.96
梅山鄉,3.88
番路鄉,3.47
大埔鄉,2.48
阿里山鄉,3.38
新營市,3.3
鹽水鎮,3.27
白河鎮,3.51
柳營鄉,3.57
後壁鄉,3.5
東山鄉,3.11
麻豆鎮,3.53
下營鄉,3.32
六甲鄉,3.61
官田鄉,3.98
大內鄉,3.37
佳里鎮,3.5
學甲鎮,3.34
西港鄉,3.7
七股鄉,3.42
將軍鄉,3.25
北門鄉,3.27
新化鎮,4.05
善化鎮,3.45
新市鄉,3.92
安定鄉,3.77
山上鄉,3.76
玉井鄉,3.41
楠西鄉,3.09
南化鄉,3.19
左鎮鄉,3.18
仁德鄉,3.74
歸仁鄉,4.26
關廟鄉,3.86
龍崎鄉,2.9
永康市,3.52
鳳山市,3.27
林園鄉,3.66
大寮鄉,3.64
大樹鄉,4.33
大社鄉,3.39
仁武鄉,3.56
鳥松鄉,3.18
岡山鎮,3.68
橋頭鄉,3.47
燕巢鄉,4.64
田寮鄉,2.61
阿蓮鄉,4.21
路竹鄉,3.97
湖內鄉,3.74
茄萣鄉,3.53
永安鄉,3.01
彌陀鄉,3.57
梓官鄉,3.75
旗山鎮,3.44
美濃鎮,3.43
六龜鄉,3.01
甲仙鄉,3.36
杉林鄉,3.18
內門鄉,3.97
茂林鄉,3.46
桃源鄉,4.06
三民鄉,4.17
屏東市,3.5
潮州鎮,3.69
東港鎮,3.81
恆春鎮,3.39
萬丹鄉,4.25
長治鄉,3.66
麟洛鄉,4
九如鄉,3.99
里港鄉,3.55
鹽埔鄉,3.98
高樹鄉,3.07
萬巒鄉,4.32
內埔鄉,4.03
竹田鄉,4.43
新埤鄉,3.61
枋寮鄉,3.61
新園鄉,4.05
崁頂鄉,4.09
林邊鄉,3.68
南州鄉,3.78
佳冬鄉,3.5
琉球鄉,3.65
車城鄉,3.38
滿州鄉,3.23
枋山鄉,3.3
三地門鄉,3.9
霧臺鄉,3.18
瑪家鄉,3.85
泰武鄉,4.97
來義鄉,3.87
春日鄉,4.3
獅子鄉,3.65
牡丹鄉,2.95
臺東市,3.33
成功鎮,3.32
關山鎮,3.28
卑南鄉,3.66
鹿野鄉,3.26
池上鄉,3
東河鄉,3.57
長濱鄉,3.06
太麻里鄉,2.94
大武鄉,2.76
綠島鄉,4.49
海端鄉,3.95
延平鄉,3.43
金峰鄉,3.39
達仁鄉,2.63
蘭嶼鄉,3.39
花蓮市,3.27
鳳林鎮,3.13
玉里鎮,3.88
新城鄉,4.5
吉安鄉,3.55
壽豐鄉,3.75
光復鄉,3.36
豐濱鄉,3.18
瑞穗鄉,3.33
富里鄉,3.26
秀林鄉,3.9
萬榮鄉,3.64
卓溪鄉,4.25
馬公市,3.69
湖西鄉,4.8
白沙鄉,3.13
西嶼鄉,3.17
望安鄉,2.77
七美鄉,2.89
中正區,2.96
七堵區,3.3
暖暖區,3.04
仁愛區,3.1
中山區,2.82
安樂區,3.2
信義區,3.04
東區,3.12
北區,3.09
香山區,3.88
中區,3.01
東區,3.12
南區,3.39
西區,3.03
北區,3.09
西屯區,3.25
南屯區,3.49
北屯區,3.25
東區,3.12
西區,3.03
東區,3.12
南區,3.39
西區,3.03
北區,3.09
中區,3.01
安南區,3.75
安平區,2.91
松山區,3.03
信義區,3.04
大安區,3.12
中山區,2.82
中正區,2.96
大同區,3.1
萬華區,2.96
文山區,3.16
南港區,3.22
內湖區,3.19
士林區,3.31
北投區,3.35
鹽埕區,2.79
鼓山區,3.29
左營區,3.19
楠梓區,3.35
三民區,3.11
新興區,2.75
前金區,2.79
苓雅區,3.03
前鎮區,3.11
旗津區,2.98
小港區,2.99
