OBJECTID,town,adult
1,板橋鎮,0.552018
2,三重市,0.538174
3,中和鄉,0.562803
4,永和鎮,0.57926
5,新莊鎮,0.552745
6,新店鎮,0.585272
7,樹林鎮,0.539387
8,鶯歌鎮,0.520099
9,三峽鎮,0.49956
10,淡水鎮,0.544367
11,汐止鎮,0.482139
12,瑞芳鎮,0.498173
13,土城鄉,0.546343
14,蘆洲鄉,0.537949
15,五股鄉,0.518369
16,泰山鄉,0.591723
17,林口鄉,0.57433
18,深坑鄉,0.489963
19,石碇鄉,0.480221
20,坪林鄉,0.481319
21,三芝鄉,0.518381
22,石門鄉,0.537538
23,八里鄉,0.50914
24,平溪鄉,0.467766
25,雙溪鄉,0.483062
26,貢寮鄉,0.511448
27,金山鄉,0.503528
28,萬里鄉,0.488303
29,烏來鄉,0.526281
30,宜蘭市,0.553824
31,羅東鎮,0.540233
32,頭城鎮,0.523975
33,蘇澳鎮,0.513004
34,礁溪鄉,0.529305
35,壯圍鄉,0.51996
36,員山鄉,0.550197
37,冬山鄉,0.517518
38,五結鄉,0.530652
39,三星鄉,0.53771
40,大同鄉,0.549235
41,南澳鄉,0.5063
42,桃園鎮,0.546655
43,中壢鎮,0.554381
44,大溪鎮,0.542147
45,楊梅鎮,0.535065
46,蘆竹鄉,0.524486
47,大園鄉,0.520022
48,龜山鄉,0.606227
49,八德鄉,0.613857
50,龍潭鄉,0.594651
51,平鎮鄉,0.574842
52,新屋鄉,0.502654
53,觀音鄉,0.510469
54,復興鄉,0.50665
55,竹北鄉,0.513769
56,竹東鎮,0.527248
57,新埔鎮,0.531673
58,關西鎮,0.507093
59,湖口鄉,0.62958
60,新豐鄉,0.502328
61,芎林鄉,0.523796
62,橫山鄉,0.505857
63,北埔鄉,0.52452
64,寶山鄉,0.532475
65,峨眉鄉,0.520343
66,尖石鄉,0.483511
67,五峰鄉,0.456213
68,苗栗鎮,0.561918
69,苑裡鎮,0.507425
70,通霄鎮,0.517814
71,竹南鎮,0.512173
72,頭份鎮,0.538582
73,後龍鎮,0.512148
74,卓蘭鎮,0.513281
75,大湖鄉,0.499314
76,公館鄉,0.531201
77,銅鑼鄉,0.513569
78,南庄鄉,0.490876
79,頭屋鄉,0.519404
80,三義鄉,0.498316
81,西湖鄉,0.502785
82,造橋鄉,0.510456
83,三灣鄉,0.494339
84,獅潭鄉,0.480801
85,泰安鄉,0.48678
86,豐原鎮,0.54078
87,東勢鎮,0.536709
88,大甲鎮,0.543682
89,清水鎮,0.530497
90,沙鹿鎮,0.527502
91,梧棲鎮,0.529047
92,后里鄉,0.587882
93,神岡鄉,0.585737
94,潭子鄉,0.573457
95,大雅鄉,0.650083
96,新社鄉,0.555374
97,石岡鄉,0.549763
98,外埔鄉,0.51623
99,大安鄉,0.52014
100,烏日鄉,0.562909
101,大肚鄉,0.52212
102,龍井鄉,0.501329
103,霧峰鄉,0.517112
104,太平鄉,0.588038
105,大里鄉,0.558755
106,和平鄉,0.575449
107,彰化市,0.539484
108,鹿港鎮,0.524772
109,和美鎮,0.517993
110,線西鄉,0.505991
111,伸港鄉,0.499152
112,福興鄉,0.508539
113,秀水鄉,0.511922
114,花壇鄉,0.512871
115,芬園鄉,0.532988
116,員林鎮,0.528634
117,溪湖鎮,0.526059
118,田中鎮,0.566398
119,大村鄉,0.519481
120,埔鹽鄉,0.52232
121,埔心鄉,0.534891
122,永靖鄉,0.530409
123,社頭鄉,0.543892
124,二水鄉,0.543339
125,北斗鎮,0.549823
126,二林鎮,0.514026
127,田尾鄉,0.535323
128,埤頭鄉,0.545466
129,芳苑鄉,0.512602
130,大城鄉,0.515672
