town,use
板橋市,95.79
三重市,93.61
中和市,96.53
永和市,96.74
新莊市,93.76
新店市,96.94
樹林市,91.94
鶯歌鎮,91.29
三峽鎮,93.8
淡水鎮,95.99
汐止市,96.98
瑞芳鎮,94.55
土城市,96.49
蘆洲市,96.27
五股鄉,91.49
泰山鄉,93.64
林口鄉,93.68
深坑鄉,95.7
石碇鄉,91.46
坪林鄉,74.24
三芝鄉,94.23
石門鄉,96.16
八里鄉,96.67
平溪鄉,95.79
雙溪鄉,94.94
貢寮鄉,92.44
金山鄉,91.57
萬里鄉,96.38
烏來鄉,93.03
宜蘭市,88.68
羅東鎮,85.67
蘇澳鎮,90.42
頭城鎮,92.06
礁溪鄉,94.42
壯圍鄉,92.42
員山鄉,92.71
冬山鄉,93.56
五結鄉,93.62
三星鄉,91.66
大同鄉,95.53
南澳鄉,96.71
桃園市,91.66
中壢市,92.44
大溪鎮,89.8
楊梅鎮,92.08
蘆竹鄉,92.98
大園鄉,91.11
龜山鄉,94.32
八德市,93.63
龍潭鄉,92.31
平鎮市,93.33
新屋鄉,87.6
觀音鄉,92.5
復興鄉,92.68
竹北市,90.95
竹東鎮,91.81
新埔鎮,90.57
關西鎮,91.23
湖口鄉,92.78
新豐鄉,91.85
芎林鄉,92.26
橫山鄉,94.12
北埔鄉,91.28
寶山鄉,93.67
峨眉鄉,93.89
尖石鄉,96.6
五峰鄉,92.28
苗栗市,90.88
苑裡鎮,91.44
通霄鎮,93.94
竹南鎮,90.87
頭份鎮,92.47
後龍鎮,92.73
卓蘭鎮,90.73
大湖鄉,84.92
公館鄉,90.44
銅鑼鄉,91.9
南庄鄉,93.96
頭屋鄉,94.71
三義鄉,88.55
西湖鄉,90.72
造橋鄉,95.08
三灣鄉,86.65
獅潭鄉,95.06
泰安鄉,95.04
豐原市,84.29
東勢鎮,89.58
大甲鎮,88.41
清水鎮,91.58
沙鹿鎮,85.94
梧棲鎮,89.48
后里鄉,93.05
神岡鄉,84.98
潭子鄉,89.41
大雅鄉,87.74
新社鄉,92.55
石岡鄉,92.68
外埔鄉,89.67
大安鄉,92.22
烏日鄉,88.11
大肚鄉,89.83
龍井鄉,92.61
霧峰鄉,89.31
太平市,87.92
大里市,86.56
和平鄉,87.21
彰化市,85.16
鹿港鎮,86.05
和美鎮,84.31
線西鄉,87.32
伸港鄉,88.24
福興鄉,91.33
秀水鄉,86.45
花壇鄉,86.74
芬園鄉,91.41
員林鎮,87.78
溪湖鎮,87.1
田中鎮,86.63
大村鄉,90.23
埔鹽鄉,92.12
埔心鄉,90.41
永靖鄉,89.54
社頭鄉,85.36
二水鄉,92.08
北斗鎮,88.09
二林鎮,90.21
田尾鄉,90.94
埤頭鄉,90.29
芳苑鄉,92.96
大城鄉,92.22
竹塘鄉,93.28
溪州鄉,94.88
南投市,92.24
埔里鎮,90.55
草屯鎮,89.76
竹山鎮,91.76
集集鎮,92.87
名間鄉,92.02
鹿谷鄉,89.5
中寮鄉,96.59
魚池鄉,91.11
國姓鄉,94.44
水里鄉,90.26
信義鄉,94.67
仁愛鄉,92.61
斗六市,91.44
斗南鎮,90.43
虎尾鎮,91.08
西螺鎮,91.73
土庫鎮,91.58
北港鎮,88.17
古坑鄉,94.47
大埤鄉,95.33
莿桐鄉,89.62
林內鄉,92.4
二崙鄉,89.62
崙背鄉,92.06
麥寮鄉,91.86
東勢鄉,89.63
褒忠鄉,88.92
臺西鄉,93.69
元長鄉,93.85
四湖鄉,95.95
口湖鄉,95.29
水林鄉,94.12
太保市,93.78
朴子市,91.73
布袋鎮,93.65
大林鎮,91.9
民雄鄉,93.45
溪口鄉,93.76
新港鄉,90.25
六腳鄉,93.97
東石鄉,96.02
義竹鄉,94.5
鹿草鄉,95.68
水上鄉,92.43
中埔鄉,92.32
竹崎鄉,92.11
梅山鄉,90.78
番路鄉,89.4
大埔鄉,91.85
阿里山鄉,91.2
新營市,90.1
鹽水鎮,91.85
白河鎮,89.93
柳營鄉,94.67
後壁鄉,95.64
東山鄉,94.57
麻豆鎮,92.76
下營鄉,92.9
六甲鄉,92.16
官田鄉,95.9
大內鄉,95.11
佳里鎮,89.48
學甲鎮,91.7
西港鄉,90.33
七股鄉,93.57
將軍鄉,95.79
北門鄉,96.57
新化鎮,90.66
善化鎮,91.46
新市鄉,92.02
安定鄉,90.04
山上鄉,96.34
玉井鄉,87.07
楠西鄉,92.01
南化鄉,91.04
左鎮鄉,87.57
仁德鄉,90.33
歸仁鄉,92.39
關廟鄉,92.95
龍崎鄉,91.5
永康市,89.34
鳳山市,93.26
林園鄉,93.4
大寮鄉,94.98
大樹鄉,94.19
大社鄉,93.57
仁武鄉,93.24
鳥松鄉,95.63
岡山鎮,90.64
橋頭鄉,92.83
燕巢鄉,94.32
田寮鄉,96.97
阿蓮鄉,90.95
路竹鄉,92.37
湖內鄉,92.39
茄萣鄉,93.59
永安鄉,96.27
彌陀鄉,95.02
梓官鄉,92.72
旗山鎮,90.73
美濃鎮,93.47
六龜鄉,88.68
甲仙鄉,89.44
杉林鄉,93.54
內門鄉,96.18
茂林鄉,97.21
桃源鄉,95.72
三民鄉,96.52
屏東市,90.16
潮州鎮,88.22
東港鎮,90.08
恆春鎮,88.14
萬丹鄉,92.4
長治鄉,92.57
麟洛鄉,89.08
九如鄉,94.11
里港鄉,90.62
鹽埔鄉,94.75
高樹鄉,89.01
萬巒鄉,94.33
內埔鄉,90.75
竹田鄉,94.52
新埤鄉,93.83
枋寮鄉,91.53
新園鄉,93.96
崁頂鄉,93.62
林邊鄉,89.96
南州鄉,89.42
佳冬鄉,93.92
琉球鄉,94.51
車城鄉,91.93
滿州鄉,95.8
枋山鄉,91.05
三地門鄉,95.84
霧臺鄉,98.16
瑪家鄉,97.56
泰武鄉,96.97
來義鄉,96.37
春日鄉,98.05
