town,ping
梧棲鎮,6.6557
后里鄉,6.654
神岡鄉,7.1675
潭子鄉,6.3766
大雅鄉,7.7412
新社鄉,6.4065
石岡鄉,6.3196
外埔鄉,6.4887
大安鄉,6.156
烏日鄉,6.5216
大肚鄉,6.4223
龍井鄉,6.6898
霧峰鄉,5.8236
太平鄉,6.6791
大里鄉,6.2746
和平鄉,5.1632
彰化市,5.7451
鹿港鎮,6.2928
和美鎮,6.3052
線西鄉,6.1942
伸港鄉,6.5828
福興鄉,6.1328
秀水鄉,6.083
花壇鄉,6.1447
芬園鄉,6.1343
員林鎮,5.9631
溪湖鎮,6.0707
田中鎮,6.5711
大村鄉,6.3921
埔鹽鄉,6.3537
埔心鄉,6.0622
永靖鄉,6.3065
社頭鄉,6.4926
二水鄉,6.0666
北斗鎮,6.2746
二林鎮,6.3824
田尾鄉,6.4204
埤頭鄉,6.2875
芳苑鄉,6.8996
大城鄉,6.7698
竹塘鄉,5.896
溪州鄉,6.3222
南投鎮,5.7856
埔里鎮,5.8773
草屯鎮,6.0531
竹山鎮,6.1098
集集鎮,5.838
名間鄉,6.4814
鹿谷鄉,6.4072
中寮鄉,6.2342
魚池鄉,6.1594
國姓鄉,6.0861
水里鄉,5.7198
信義鄉,6.1719
仁愛鄉,5.1567
斗六鎮,6.0008
斗南鎮,6.181
虎尾鎮,6.0873
西螺鎮,6.364
土庫鎮,6.375
北港鎮,6.0802
古坑鄉,6.6257
大埤鄉,6.9128
莿桐鄉,6.3502
林內鄉,6.3157
二崙鄉,6.3179
崙背鄉,6.7151
麥寮鄉,6.7905
東勢鄉,6.3143
褒忠鄉,6.1243
臺西鄉,6.5881
元長鄉,6.4688
四湖鄉,6.4823
口湖鄉,6.6052
水林鄉,6.4992
太保市,6.6302
朴子鎮,6.5891
布袋鎮,6.3689
大林鎮,7.0477
民雄鄉,6.4362
溪口鄉,6.5089
新港鄉,6.1923
六腳鄉,6.3484
東石鄉,6.7862
義竹鄉,6.56
鹿草鄉,6.4612
水上鄉,6.3781
中埔鄉,6.3214
竹崎鄉,6.4989
梅山鄉,6.3465
番路鄉,6.3796
大埔鄉,5.0081
吳鳳鄉,5.4962
新營鎮,5.7131
鹽水鎮,6.1376
白河鎮,6.5547
柳營鄉,6.2203
後壁鄉,6.2113
東山鄉,6.528
麻豆鎮,6.061
下營鄉,6.6132
六甲鄉,6.2739
官田鄉,6.9811
大內鄉,5.9728
佳里鎮,6.2568
學甲鄉,6.2501
西港鄉,6.5126
七股鄉,6.6654
將軍鄉,6.4919
北門鄉,5.9529
新化鎮,7.3258
善化鎮,6.6766
新市鄉,6.0188
安定鄉,6.4257
山上鄉,5.7786
玉井鄉,6.1728
楠西鄉,5.827
南化鄉,6.2985
左鎮鄉,5.981
仁德鄉,6.324
歸仁鄉,6.3455
關廟鄉,6.6443
龍崎鄉,6.7758
永康鄉,6.2473
鳳山鎮,5.7504
林園鄉,6.9536
大寮鄉,5.8574
大樹鄉,6.8516
大社鄉,5.8237
仁武鄉,8.144
鳥松鄉,6.4457
岡山鎮,5.904
橋頭鄉,6.26
燕巢鄉,7.4305
田寮鄉,6.9735
阿蓮鄉,6.9402
路竹鄉,6.3797
湖內鄉,5.9913
茄萣鄉,6.2148
永安鄉,6.1725
彌陀鄉,6.1279
梓官鄉,6.4534
旗山鎮,6.0884
美濃鎮,6.7168
六龜鄉,5.5645
甲仙鄉,5.5926
杉林鄉,6.5329
內門鄉,6.6529
茂林鄉,4.5591
桃源鄉,5.7033
三民鄉,5.7168
屏東市,5.6911
潮州鎮,6.0739
東港鎮,6.2683
恆春鎮,6.4505
萬丹鄉,6.258
長治鄉,6.0455
麟洛鄉,6.3091
九如鄉,6.551
里港鄉,6.1603
鹽埔鄉,6.3649
高樹鄉,6.1228
萬巒鄉,6.2505
內埔鄉,6.6799
竹田鄉,6.4237
新埤鄉,6.3915
枋寮鄉,6.4384
新園鄉,6.6595
崁頂鄉,6.5129
林邊鄉,6.4849
南州鄉,6.1049
佳冬鄉,6.4124
琉球鄉,7.4605
車城鄉,6.2169
滿州鄉,5.7178
枋山鄉,5.9949
三地鄉,5.699
霧臺鄉,5.446
瑪家鄉,6.5
泰武鄉,6.3066
來義鄉,5.7545
春日鄉,5.5507
獅子鄉,6.0534
牡丹鄉,5.6733
臺東鎮,5.4254
成功鎮,5.9203
關山鎮,5.6334
卑南鄉,5.5191
鹿野鄉,6.0395
池上鄉,5.4922
東河鄉,6.1211
長濱鄉,6.2239
太麻里鄉,5.0837
大武鄉,5.1105
綠島鄉,8.4545
海端鄉,5.5886
延平鄉,5.9438
金峰鄉,5.4754
達仁鄉,5.2615
蘭嶼鄉,5.3199
花蓮市,5.2764
鳳林鎮,6.093
玉里鎮,5.9091
新城鄉,6.051
吉安鄉,5.9558
壽豐鄉,4.9468
光復鄉,5.9079
豐濱鄉,6.3614
瑞穗鄉,6.2704
富里鄉,6.1422
秀林鄉,5.4989
萬榮鄉,6.3049
卓溪鄉,6.536
馬公鎮,6.6138
湖西鄉,7.7868
白沙鄉,6.7796
西嶼鄉,6.4413
望安鄉,6.0539
七美鄉,6.4765
中正區,4.8666
七堵區,5.7448
暖暖區,5.346
仁愛區,5.1002
中山區,4.583
安樂區,5.074
信義區,4.6236
新竹市,5.6524
香山鄉,6.3316
中區,5.451
東區,5.3276
南區,5.7881
西區,5.5498
北區,5.1134
西屯區,6.0045
南屯區,6.1573
北屯區,5.9881
嘉義市,5.507
東區,5.3276
南區,5.7881
西區,5.5498
北區,5.1134
中區,5.451
安南區,6.6755
安平區,5.6365
鹽埕區,4.8186
鼓山區,5.1674
左營區,6.2409
楠梓區,5.7171
三民區,5.265
新興區,5.013
前金區,4.9363
苓雅區,5.0376
前鎮區,4.9991
旗津區,5.9339
小港鄉,6.2906
大安區,4.6914
大同區,5.3684
松山區,4.9605
南港鎮,5.2994
內湖鄉,5.3693
中山區,4.583
北投鎮,5.4322
士林鎮,5.5448
城中區,5.112
延平區,5.2773
建成區,5.164
古亭區,4.4766
龍山區,5.1297
雙園區,5.1083
景美鎮,4.8178
木柵鄉,4.95
