town,ping
板橋鎮,5.3155
三重市,5.2184
中和鄉,5.0052
永和鎮,4.3336
新莊鎮,5.7981
新店鎮,5.5682
樹林鎮,6.1038
鶯歌鎮,6.2624
三峽鎮,6.5015
淡水鎮,6.1633
汐止鎮,6.0234
瑞芳鎮,5.674
土城鄉,5.9958
蘆洲鄉,6.0846
五股鄉,5.4949
泰山鄉,6.4382
林口鄉,6.5938
深坑鄉,6.0098
石碇鄉,6.2316
坪林鄉,6.7067
三芝鄉,5.8465
石門鄉,6.6071
八里鄉,6.8104
平溪鄉,6.2987
雙溪鄉,6.5384
貢寮鄉,6.4159
金山鄉,6.3347
萬里鄉,5.8831
烏來鄉,4.8839
宜蘭市,5.3443
羅東鎮,5.3905
頭城鎮,6.0262
蘇澳鎮,5.9344
礁溪鄉,5.8782
壯圍鄉,6.4725
員山鄉,6.2987
冬山鄉,6.1373
五結鄉,6.031
三星鄉,6.1011
大同鄉,4.9351
南澳鄉,5.3286
桃園鎮,5.7744
中壢鎮,5.7183
大溪鎮,6.6496
楊梅鎮,6.1714
蘆竹鄉,7.0406
大園鄉,6.8554
龜山鄉,6.4745
八德鄉,6.7875
龍潭鄉,6.7803
平鎮鄉,5.9489
新屋鄉,6.8795
觀音鄉,6.5486
復興鄉,6.2659
竹北鄉,6.7354
竹東鎮,6.1223
新埔鎮,6.8357
關西鎮,7.1738
湖口鄉,7.4826
新豐鄉,6.7005
芎林鄉,6.8101
橫山鄉,6.4843
北埔鄉,6.441
寶山鄉,7.7426
峨眉鄉,6.8598
尖石鄉,5.7251
五峰鄉,6.0521
苗栗鎮,5.6381
苑裡鎮,6.6591
通霄鎮,7.0977
竹南鎮,6.0651
頭份鎮,6.6606
後龍鎮,6.6946
卓蘭鎮,6.5454
大湖鄉,6.9322
公館鄉,6.7191
銅鑼鄉,6.811
南庄鄉,6.3844
頭屋鄉,6.3958
三義鄉,6.7654
西湖鄉,6.9397
造橋鄉,6.8503
三灣鄉,7.1901
獅潭鄉,7.1714
泰安鄉,5.9378
豐原鎮,5.768
東勢鎮,6.1508
大甲鎮,6.2982
清水鎮,6.2386
沙鹿鎮,6.552
