town,gao
板橋市,37.2
三重市,35.78
中和市,37.99
永和市,36.3
新莊市,39.27
新店市,36.36
樹林市,39.66
鶯歌鎮,37.12
三峽鎮,37.22
淡水鎮,31.68
汐止市,36
瑞芳鎮,30.52
土城市,39.76
蘆洲市,38.64
五股鄉,36.85
泰山鄉,41.14
林口鄉,38.24
深坑鄉,34.68
石碇鄉,23.49
坪林鄉,24.68
三芝鄉,30.6
石門鄉,27.91
八里鄉,36.1
平溪鄉,22.79
雙溪鄉,23.3
貢寮鄉,22.21
金山鄉,28.35
萬里鄉,28.76
烏來鄉,36.05
宜蘭市,36.26
羅東鎮,38.25
蘇澳鎮,31.74
頭城鎮,27.45
礁溪鄉,28.54
壯圍鄉,26.7
員山鄉,27.39
冬山鄉,31.63
五結鄉,31.55
三星鄉,28.41
大同鄉,24.94
南澳鄉,28.6
桃園市,39.11
中壢市,37.93
大溪鎮,33.16
楊梅鎮,40.09
蘆竹鄉,34.62
大園鄉,35.71
龜山鄉,35.13
八德市,38.3
龍潭鄉,37.75
平鎮市,40.99
新屋鄉,35.9
觀音鄉,31.91
復興鄉,24
竹北市,36.44
竹東鎮,36.09
新埔鎮,35.29
關西鎮,35.43
湖口鄉,38.48
新豐鄉,37.25
芎林鄉,34.26
橫山鄉,32.58
北埔鄉,32.68
寶山鄉,27.21
峨眉鄉,31.6
尖石鄉,23.25
五峰鄉,24.49
苗栗市,40.59
苑裡鎮,30.09
通霄鎮,29.33
竹南鎮,36.51
頭份鎮,41.2
後龍鎮,34
卓蘭鎮,33.13
大湖鄉,35.4
公館鄉,39.44
銅鑼鄉,37.67
南庄鄉,25.19
頭屋鄉,37.23
三義鄉,37.76
西湖鄉,29.66
造橋鄉,33.03
三灣鄉,31.34
獅潭鄉,30.16
泰安鄉,23.09
豐原市,39.69
東勢鎮,36.37
大甲鎮,35.41
清水鎮,34.33
沙鹿鎮,33.71
梧棲鎮,36.19
后里鄉,36.2
神岡鄉,36.9
潭子鄉,41
大雅鄉,41.02
新社鄉,34.56
石岡鄉,35.91
外埔鄉,35.34
大安鄉,31.11
烏日鄉,37.8
大肚鄉,36.96
龍井鄉,35.25
霧峰鄉,37.11
太平市,40.54
大里市,41.86
和平鄉,31.1
彰化市,37.37
鹿港鎮,30.79
和美鎮,33.9
線西鄉,29.33
伸港鄉,29.93
福興鄉,28.9
秀水鄉,34.2
花壇鄉,34.28
芬園鄉,30.63
員林鎮,37.86
溪湖鎮,34.78
田中鎮,35.97
大村鄉,29.88
埔鹽鄉,31.17
埔心鄉,33.41
永靖鄉,32.94
社頭鄉,36.08
二水鄉,33.76
北斗鎮,34.4
二林鎮,29.79
田尾鄉,32.52
埤頭鄉,29.05
芳苑鄉,23.78
大城鄉,18.28
竹塘鄉,24.83
溪州鄉,27.92
南投市,36.84
埔里鎮,32.13
草屯鎮,35.67
竹山鎮,29.94
集集鎮,29.03
名間鄉,30.43
鹿谷鄉,28.51
中寮鄉,25.38
魚池鄉,27.47
國姓鄉,25.93
水里鄉,31.04
信義鄉,25.17
仁愛鄉,33.4
斗六市,34.15
斗南鎮,31.96
虎尾鎮,35.66
西螺鎮,30.69
土庫鎮,28.54
北港鎮,31.55
古坑鄉,27.38
大埤鄉,30.96
莿桐鄉,29.98
林內鄉,31.68
二崙鄉,24.13
崙背鄉,23.43
麥寮鄉,22.06
東勢鄉,20.94
褒忠鄉,26.8
臺西鄉,20.75
元長鄉,23.84
四湖鄉,20.74
口湖鄉,22.51
水林鄉,20.05
太保市,31.87
朴子市,29.81
布袋鎮,25.21
大林鎮,31.35
民雄鄉,32.05
溪口鄉,24.69
新港鄉,27.5
六腳鄉,24.59
東石鄉,21.15
義竹鄉,22.78
鹿草鄉,25.11
水上鄉,36.09
中埔鄉,33.45
竹崎鄉,30.85
梅山鄉,27.69
番路鄉,29.65
大埔鄉,19.14
阿里山鄉,28.75
新營市,38.5
鹽水鎮,29.83
白河鎮,29.11
柳營鄉,37.93
後壁鄉,29.79
東山鄉,25.16
麻豆鎮,33.93
下營鄉,29.65
六甲鄉,32.8
官田鄉,35.43
大內鄉,34.41
佳里鎮,36.48
學甲鎮,32.89
西港鄉,31.7
七股鄉,24.39
將軍鄉,25.45
北門鄉,27.3
新化鎮,32.78
善化鎮,34.03
新市鄉,38.09
安定鄉,31.85
山上鄉,28.1
玉井鄉,31.22
楠西鄉,26.17
南化鄉,23.62
左鎮鄉,20.24
仁德鄉,34.47
歸仁鄉,34.17
關廟鄉,31.2
龍崎鄉,20.08
永康市,37.52
鳳山市,41.6
林園鄉,40.71
大寮鄉,41.34
大樹鄉,35.69
大社鄉,39.43
仁武鄉,39.9
鳥松鄉,38.49
岡山鎮,42.42
橋頭鄉,39.97
燕巢鄉,30.66
田寮鄉,24.31
阿蓮鄉,35.09
路竹鄉,35.07
湖內鄉,36.16
茄萣鄉,26.88
永安鄉,33.79
彌陀鄉,34.92
梓官鄉,35.84
旗山鎮,36.37
美濃鎮,38.51
六龜鄉,25.22
甲仙鄉,21.59
杉林鄉,22.75
內門鄉,23.01
茂林鄉,27.76
桃源鄉,28.89
三民鄉,30.39
屏東市,40.03
潮州鎮,39.95
東港鎮,34.66
恆春鎮,30.58
萬丹鄉,38.34
長治鄉,38.64
麟洛鄉,44.14
九如鄉,35.01
里港鄉,37.35
鹽埔鄉,34.19
高樹鄉,30.06
萬巒鄉,37.13
內埔鄉,35.8
竹田鄉,37.97
新埤鄉,33.26
枋寮鄉,29.88
新園鄉,33.34
崁頂鄉,35.73
林邊鄉,33.46
南州鄉,36.39
佳冬鄉,34.37
琉球鄉,16.14
車城鄉,25.89
滿州鄉,22.57
枋山鄉,28.22
三地門鄉,25.57
霧臺鄉,25.29
瑪家鄉,32.9
泰武鄉,28.07
來義鄉,19.87
春日鄉,21.25
獅子鄉,20.93
牡丹鄉,27.1
臺東市,40.21
成功鎮,21.78
關山鎮,34.33
卑南鄉,32.96
鹿野鄉,26.52
池上鄉,26.92
東河鄉,23.72
長濱鄉,15.64
太麻里鄉,26.64
大武鄉,21.53
綠島鄉,30.05
海端鄉,25.83
延平鄉,26.16
金峰鄉,26.73
達仁鄉,16.95
蘭嶼鄉,24.62
花蓮市,40.06
鳳林鎮,27.94
玉里鎮,25.83
新城鄉,35.6
吉安鄉,40.52
壽豐鄉,23.31
光復鄉,30.45
豐濱鄉,23.39
瑞穗鄉,25.58
富里鄉,23.05
秀林鄉,27.69
萬榮鄉,26.22
卓溪鄉,23.8
馬公市,38.76
湖西鄉,31.05
白沙鄉,23.73
西嶼鄉,19.87
望安鄉,15.06
七美鄉,10.67
中正區,37.24
七堵區,38.59
暖暖區,41.28
仁愛區,38.09
中山區,38.74
安樂區,42.32
信義區,42.27
東區,29.26
北區,35.73
香山區,32.91
中區,39.84
東區,38.04
南區,36.72
西區,37.34
北區,39.45
西屯區,36.22
南屯區,39.16
北屯區,40.82
東區,38.25
西區,38.09
東區,36.73
南區,36.39
西區,35.8
北區,36.07
中區,34.85
安南區,35.08
安平區,39.46
松山區,30.74
信義區,32.58
大安區,26.17
中山區,33.37
中正區,30.75
大同區,35.88
萬華區,35.04
文山區,31.08
南港區,35.59
內湖區,35.79
士林區,33.12
北投區,34.1
鹽埕區,36.96
鼓山區,36.76
左營區,40.57
楠梓區,39.82
三民區,40.42
新興區,38.73
前金區,36.43
苓雅區,38.99
前鎮區,38.91
旗津區,29.86
小港區,42.08
