OBJECTID,town,adult
1,板橋市,0.7362
2,三重市,0.7345
3,中和市,0.7398
4,永和市,0.7294
5,新莊市,0.7286
6,新店市,0.7227
7,樹林市,0.7093
8,鶯歌鎮,0.7064
9,三峽鎮,0.6698
10,淡水鎮,0.7466
11,汐止市,0.7261
12,瑞芳鎮,0.6752
13,土城市,0.7172
14,蘆洲市,0.7072
15,五股鄉,0.7079
16,泰山鄉,0.744
17,林口鄉,0.6978
18,深坑鄉,0.7207
19,石碇鄉,0.7386
20,坪林鄉,0.6501
21,三芝鄉,0.6932
22,石門鄉,0.6911
23,八里鄉,0.7028
24,平溪鄉,0.6657
25,雙溪鄉,0.671
26,貢寮鄉,0.6724
27,金山鄉,0.6768
28,萬里鄉,0.6828
29,烏來鄉,0.7026
30,宜蘭市,0.6977
31,羅東鎮,0.6761
32,蘇澳鎮,0.7023
33,頭城鎮,0.6945
34,礁溪鄉,0.6619
35,壯圍鄉,0.6576
36,員山鄉,0.6494
37,冬山鄉,0.6808
38,五結鄉,0.6719
39,三星鄉,0.6871
40,大同鄉,0.6669
41,南澳鄉,0.6428
42,桃園市,0.7032
43,中壢市,0.7136
44,大溪鎮,0.6815
45,楊梅鎮,0.6872
46,蘆竹鄉,0.7095
47,大園鄉,0.6948
48,龜山鄉,0.7627
49,八德市,0.6911
50,龍潭鄉,0.6944
51,平鎮市,0.7033
52,新屋鄉,0.6576
53,觀音鄉,0.683
54,復興鄉,0.6648
55,竹北市,0.6797
56,竹東鎮,0.6659
57,新埔鎮,0.665
58,關西鎮,0.6725
59,湖口鄉,0.71
60,新豐鄉,0.6924
61,芎林鄉,0.6651
62,橫山鄉,0.6319
63,北埔鄉,0.6292
64,寶山鄉,0.6371
65,峨眉鄉,0.6223
66,尖石鄉,0.6606
67,五峰鄉,0.6946
68,苗栗市,0.6891
69,苑裡鎮,0.6541
70,通霄鎮,0.6475
71,竹南鎮,0.6927
72,頭份鎮,0.6946
73,後龍鎮,0.6757
74,卓蘭鎮,0.6644
75,大湖鄉,0.628
76,公館鄉,0.6406
77,銅鑼鄉,0.6445
78,南庄鄉,0.6419
79,頭屋鄉,0.6579
80,三義鄉,0.6585
81,西湖鄉,0.6192
82,造橋鄉,0.6935
83,三灣鄉,0.6264
84,獅潭鄉,0.6102
85,泰安鄉,0.663
86,豐原市,0.696
87,東勢鎮,0.6803
88,大甲鎮,0.6786
89,清水鎮,0.6907
90,沙鹿鎮,0.7056
91,梧棲鎮,0.697
92,后里鄉,0.7026
93,神岡鄉,0.6968
94,潭子鄉,0.6996
95,大雅鄉,0.7034
96,新社鄉,0.7169
97,石岡鄉,0.6816
98,外埔鄉,0.6731
99,大安鄉,0.6693
100,烏日鄉,0.7125
101,大肚鄉,0.6888
102,龍井鄉,0.6867
103,霧峰鄉,0.7
104,太平市,0.7038
105,大里市,0.7135
106,和平鄉,0.6889
107,彰化市,0.6985
108,鹿港鎮,0.6757
109,和美鎮,0.6938
110,線西鄉,0.6743
111,伸港鄉,0.68
112,福興鄉,0.6778
113,秀水鄉,0.6677
114,花壇鄉,0.6836
115,芬園鄉,0.6686
116,員林鎮,0.693
117,溪湖鎮,0.6623
