town,illiterate
板橋鎮,15.3037
三重市,17.5095
中和鄉,14.9922
永和鎮,12.4733
新莊鎮,18.7482
新店鎮,16.5912
樹林鎮,18.4572
鶯歌鎮,24.317
三峽鎮,30.6459
淡水鎮,24.9813
汐止鎮,24.1485
瑞芳鎮,29.1557
土城鄉,20.7589
蘆洲鄉,21.9656
五股鄉,21.4183
泰山鄉,14.6516
林口鄉,28.1796
深坑鄉,27.7969
石碇鄉,35.3949
坪林鄉,34.906
三芝鄉,41.7248
石門鄉,43.0657
八里鄉,32.9267
平溪鄉,33.7472
雙溪鄉,40.0198
貢寮鄉,41.972
金山鄉,42.5065
萬里鄉,43.8614
烏來鄉,20.0622
宜蘭市,22.3528
羅東鎮,19.9512
頭城鎮,32.4817
蘇澳鎮,42.8488
礁溪鄉,38.1314
壯圍鄉,43.0454
員山鄉,47.0671
冬山鄉,35.0933
五結鄉,25.57
三星鄉,35.3204
大同鄉,21.2858
南澳鄉,16.7614
桃園鎮,21.9172
中壢鎮,17.6945
大溪鎮,26.5988
楊梅鎮,20.3025
蘆竹鄉,31.3988
大園鄉,34.5892
龜山鄉,21.682
八德鄉,18.4311
龍潭鄉,15.6216
平鎮鄉,17.0129
新屋鄉,31.2886
觀音鄉,32.7549
復興鄉,25.2774
竹北鄉,26.6071
竹東鎮,16.4998
新埔鎮,19.7029
關西鎮,17.0944
湖口鄉,18.0238
新豐鄉,33.1073
芎林鄉,22.7758
橫山鄉,19.641
北埔鄉,24.6159
寶山鄉,24.7128
峨眉鄉,25.0884
尖石鄉,24.936
五峰鄉,20.349
苗栗鎮,12.8263
苑裡鎮,32.8876
通霄鎮,35.212
竹南鎮,28.1892
頭份鎮,17.697
後龍鎮,34.0422
卓蘭鎮,24.1861
大湖鄉,20.1094
公館鄉,17.8306
銅鑼鄉,19.4798
南庄鄉,23.0568
頭屋鄉,19.6226
三義鄉,20.8258
西湖鄉,24.1989
造橋鄉,22.1154
三灣鄉,23.0885
獅潭鄉,23.0549
泰安鄉,21.006
豐原鎮,17.9272
東勢鎮,20.0617
大甲鎮,28.1582
清水鎮,29.7327
沙鹿鎮,35.3972
梧棲鎮,34.3094
后里鄉,24.0775
神岡鄉,22.2667
潭子鄉,20.0715
大雅鄉,17.3135
新社鄉,25.5067
石岡鄉,17.9759
外埔鄉,34.867
大安鄉,26.9505
烏日鄉,25.8711
大肚鄉,31.317
龍井鄉,37.0088
