OBJECTID,ratio,town
249,108.78,萬丹鄉
250,113.738,長治鄉
251,110.23,麟洛鄉
252,113.603,九如鄉
253,109.604,里港鄉
254,112.691,鹽埔鄉
255,114.997,高樹鄉
256,111.698,萬巒鄉
257,122.889,內埔鄉
258,111.274,竹田鄉
259,113.208,新埤鄉
260,114.019,枋寮鄉
261,107.088,新園鄉
262,111.276,崁頂鄉
263,108.469,林邊鄉
264,105.244,南州鄉
265,111.07,佳冬鄉
266,110.192,琉球鄉
267,114.148,車城鄉
268,116.878,滿州鄉
269,114.053,枋山鄉
270,114.849,三地門鄉
271,120.04,霧臺鄉
272,123.137,瑪家鄉
273,118.944,泰武鄉
274,118.817,來義鄉
275,120.181,春日鄉
276,128.91,獅子鄉
277,116.395,牡丹鄉
278,119.418,臺東市
279,115.958,成功鎮
280,114.558,關山鎮
281,137.72,卑南鄉
282,120.058,大武鄉
283,120.606,太麻里鄉
284,133.826,東河鄉
285,116.497,長濱鄉
286,122.338,鹿野鄉
287,118.458,池上鄉
288,216.667,綠島鄉
289,120.14,延平鄉
290,117.979,海端鄉
291,121.517,達仁鄉
292,121.89,金峰鄉
293,117.669,蘭嶼鄉
294,116.769,花蓮市
295,123.402,鳳林鎮
296,139.649,玉里鎮
297,129.025,新城鄉
298,114.561,吉安鄉
299,129.581,壽豐鄉
300,118.13,光復鄉
301,125.185,豐濱鄉
302,114.401,瑞穗鄉
303,115.693,富里鄉
304,122.18,秀林鄉
305,115.372,萬榮鄉
306,119.265,卓溪鄉
307,113.998,馬公鎮
308,106.74,湖西鄉
309,103.167,白沙鄉
310,104.743,西嶼鄉
311,109.918,望安鄉
312,105.179,七美鄉
313,114.757,中正區
314,107.895,七堵區
315,112.572,暖暖區
316,108.486,仁愛區
317,113.351,中山區
318,111.797,安樂區
319,111.618,信義區
320,97.6988,中區
321,108.527,東區
322,107.675,西區
323,105.519,南區
324,104.74,北區
325,107.442,西屯區
326,108.688,南屯區
327,106.883,北屯區
328,110.075,東區
329,110.119,南區
330,103.776,西區
331,105.709,北區
332,100.906,中區
333,107.147,安南區
334,109.513,安平區
335,105.059,松山區
336,106.827,大安區
337,111.884,古亭區
338,107.002,雙園區
339,107.162,龍山區
340,121.902,城中區
341,103.164,建成區
342,103.728,延平區
343,107.312,大同區
344,102.34,中山區
345,109.116,內湖區
346,110.201,南港區
347,108.772,木柵區
348,106.485,景美區
349,104.117,士林區
350,103.947,北投區
351,106.495,鹽埕區
352,110.963,鼓山區
353,116.237,左營區
354,108.89,楠梓區
355,106.004,三民區
356,103.254,新興區
357,105.293,前金區
358,104.852,苓雅區
359,106.5,前鎮區
360,113.219,旗津區
361,108.758,小港區
