town,serv
霧臺鄉,7.1700
瑪家鄉,29.2200
泰武鄉,5.9200
來義鄉,2.9700
春日鄉,3.3300
獅子鄉,12.0300
牡丹鄉,6.4400
臺東鎮,26.8000
成功鎮,11.2600
關山鎮,12.9900
卑南鄉,14.3500
鹿野鄉,7.2100
池上鄉,8.4400
東河鄉,9.1200
長濱鄉,7.6000
太麻里鄉,8.3200
大武鄉,17.2900
綠島鄉,33.1100
海端鄉,7.6300
延平鄉,8.0500
金峰鄉,8.4400
達仁鄉,6.4000
蘭嶼鄉,10.4600
花蓮市,41.1700
鳳林鎮,35.0100
玉里鎮,16.6800
新城鄉,48.1000
吉安鄉,27.4800
壽豐鄉,11.3100
光復鄉,13.4900
豐濱鄉,17.4900
瑞穗鄉,18.0300
富里鄉,12.7700
秀林鄉,9.5500
萬榮鄉,4.1700
卓溪鄉,10.5600
馬公鎮,57.7500
湖西鄉,49.9800
白沙鄉,34.0600
西嶼鄉,32.6200
望安鄉,4.8500
七美鄉,4.2900
中正區,31.8500
七堵區,23.7000
暖暖區,32.8600
仁愛區,24.0200
中山區,41.0800
安樂區,27.2300
信義區,29.4400
新竹市,46.7300
香山鄉,21.3100
中區,25.8000
東區,36.3600
南區,29.5500
西區,35.9700
北區,40.5700
西屯區,40.6400
南屯區,21.9700
北屯區,30.2900
嘉義市,32.4200
東區,50.4400
南區,34.1200
西區,19.1800
北區,38.1400
中區,29.8900
安南區,10.9800
安平區,22.1300
鹽埕區,22.3900
鼓山區,31.0500
左營區,74.9200
楠梓區,29.1400
三民區,25.6500
新興區,28.6800
前金區,27.8700
苓雅區,26.7800
前鎮區,16.4500
旗津區,32.5800
小港鄉,29.3200
大安區,48.7200
大同區,23.8800
松山區,41.2000
南港鎮,18.0400
內湖鄉,37.4300
中山區,36.1200
北投鎮,40.0900
士林鎮,35.4000
城中區,51.5400
延平區,21.5700
建成區,21.8200
古亭區,38.9100
龍山區,24.3000
雙園區,22.9300
景美鎮,36.5100
木柵鄉,43.0900
