OBJECTID,town,pop_den
316,寶山鄉,197
317,峨眉鄉,98
318,尖石鄉,9
319,五峰鄉,10
320,中區,11280
321,東區,8118
322,南區,18188
323,西區,20342
324,北區,21539
325,西屯區,6070
326,南屯區,5531
327,北屯區,4136
328,豐原區,3707
329,東勢區,421
330,大甲區,1233
331,清水區,1332
332,清水區,1332
333,沙鹿區,2114
334,梧棲區,3512
335,后里區,937
336,神岡區,1954
337,潭子區,4236
338,大雅區,2881
339,新社區,361
340,石岡區,700
341,外埔區,672
342,大安區,624
343,大安區,624
344,大安區,624
345,烏日區,1769
346,大肚區,1381
347,龍井區,1689
348,霧峰區,760
349,太平區,1544
350,大里區,7281
351,和平區,7
352,苗栗市,2361
353,苑裡鎮,673
354,通霄鎮,270
355,通霄鎮,270
356,通霄鎮,270
357,竹南鎮,2268
358,頭份鎮,1985
359,後龍鎮,490
360,後龍鎮,490
361,卓蘭鎮,176
362,大湖鄉,130
363,公館鄉,448
364,銅鑼鄉,211
365,南庄鄉,56
366,頭屋鄉,174
367,三義鄉,209
368,西湖鄉,136
369,造橋鄉,282
370,三灣鄉,99
371,獅潭鄉,37
372,泰安鄉,6
373,彰化市,3506
374,鹿港鎮,2243
375,和美鎮,2296
376,線西鄉,820
377,伸港鄉,1676
378,福興鄉,928
379,秀水鄉,1279
380,花壇鄉,1248
381,芬園鄉,644
382,員林鎮,2761
383,溪湖鎮,1604
384,田中鎮,1153
385,大村鄉,1254
386,埔鹽鄉,858
387,埔心鄉,1579
388,永靖鄉,1804
389,社頭鄉,1130
390,二水鄉,408
391,北斗鎮,1677
392,二林鎮,507
393,田尾鄉,1086
394,埤頭鄉,660
395,芳苑鄉,311
396,大城鄉,197
397,竹塘鄉,264
398,溪州鄉,367
399,南投市,1459
400,埔里鎮,474
401,草屯鎮,953
402,竹山鎮,200
403,集集鎮,183
404,名間鄉,410
405,鹿谷鄉,89
406,中寮鄉,68
407,魚池鄉,103
408,國姓鄉,74
409,水里鄉,121
410,信義鄉,10
411,仁愛鄉,10
412,斗六市,1150
413,斗南鎮,903
414,虎尾鎮,1087
415,西螺鎮,864
416,土庫鎮,548
417,北港鎮,931
418,古坑鄉,162
419,大埤鄉,345
420,莿桐鄉,526
421,林內鄉,411
422,二崙鄉,409
423,崙背鄉,378
424,麥寮鄉,359
425,麥寮鄉,359
426,麥寮鄉,359
427,麥寮鄉,359
428,麥寮鄉,359
429,麥寮鄉,359
430,麥寮鄉,359
431,麥寮鄉,359
432,麥寮鄉,359
433,麥寮鄉,359
434,麥寮鄉,359
435,麥寮鄉,359
436,東勢鄉,220
437,褒忠鄉,271
438,臺西鄉,365
439,臺西鄉,365
440,臺西鄉,365
441,臺西鄉,365
442,臺西鄉,365
443,元長鄉,333
444,四湖鄉,231
445,口湖鄉,268
446,水林鄉,278
447,東區,14558
448,南區,4998
449,北區,12395
450,安南區,1747
451,安平區,5787
452,中西區,11949
453,新營區,1891
454,鹽水區,428
455,白河區,207
456,柳營區,363
457,後壁區,308
458,東山區,122
459,麻豆區,768
460,下營區,698
461,六甲區,282
462,官田區,323
463,大內區,130
464,佳里區,1312
465,學甲區,415
466,西港區,709
467,七股區,159
468,七股區,159
469,將軍區,338
470,將軍區,338
471,北門區,207
472,北門區,207
473,新化區,719
474,善化區,757
475,新市區,793
476,安定區,979
477,山上區,248
478,玉井區,159
479,楠西區,60
480,南化區,31
481,左鎮區,48
482,仁德區,1448
483,歸仁區,1372
484,關廟區,647
485,龍崎區,36
486,永康區,5989
487,鹽埕區,15405
488,鼓山區,8765
489,左營區,11052
490,楠梓區,7692
491,三民區,17673
492,新興區,22594
493,前金區,13167
494,苓雅區,20272
495,前鎮區,10180
496,旗津區,5760
497,小港區,3672
498,小港區,3672
499,鳳山區,14046
500,林園區,2149
501,大寮區,1658
502,大樹區,713
503,大社區,1232
504,仁武區,2144
505,鳥松區,1716
506,岡山區,2156
507,橋頭區,1291
508,燕巢區,596
509,田寮區,63
510,阿蓮區,868
511,路竹區,1138
512,湖內區,1383
513,茄萣區,1842
514,永安區,476
515,彌陀區,1234
516,梓官區,2868
517,旗山區,426
518,美濃區,268
519,六龜區,48
520,甲仙區,33
521,杉林區,83
522,內門區,141
523,茂林區,6
524,桃源區,3
525,桃源區,3
526,那瑪夏區,7
527,東區,4577
528,西區,4351
529,太保市,518
530,朴子市,799
531,布袋鎮,372
532,布袋鎮,372
533,布袋鎮,372
534,大林鎮,578
535,民雄鄉,991
536,溪口鄉,367
537,新港鄉,439
538,六腳鄉,345
539,東石鄉,246
540,東石鄉,246
541,東石鄉,246
542,東石鄉,246
543,東石鄉,246
544,東石鄉,246
545,東石鄉,246
546,東石鄉,246
547,東石鄉,246
548,東石鄉,246
549,東石鄉,246
550,東石鄉,246
551,東石鄉,246
552,東石鄉,246
553,東石鄉,246
554,東石鄉,246
555,義竹鄉,186
556,鹿草鄉,292
557,水上鄉,749
558,中埔鄉,352
559,竹崎鄉,194
560,梅山鄉,140
561,番路鄉,77
562,大埔鄉,9
563,阿里山鄉,10
564,屏東市,3054
565,潮州鎮,1165
566,東港鎮,1595
567,恆春鎮,199
568,萬丹鄉,888
569,長治鄉,791
570,麟洛鄉,598
571,九如鄉,515
572,里港鄉,337
573,鹽埔鄉,435
574,高樹鄉,229
575,萬巒鄉,382
576,內埔鄉,758
577,竹田鄉,663
578,新埤鄉,142
579,枋寮鄉,446
580,枋寮鄉,446
581,新園鄉,1016
582,崁頂鄉,404
583,林邊鄉,1203
584,南州鄉,493
585,佳冬鄉,633
586,佳冬鄉,633
587,佳冬鄉,633
588,佳冬鄉,633
589,佳冬鄉,633
590,佳冬鄉,633
591,佳冬鄉,633
592,佳冬鄉,633
593,佳冬鄉,633
594,佳冬鄉,633
595,佳冬鄉,633
596,佳冬鄉,633
597,佳冬鄉,633
598,佳冬鄉,633
599,佳冬鄉,633
600,佳冬鄉,633
601,佳冬鄉,633
602,佳冬鄉,633
603,佳冬鄉,633
604,佳冬鄉,633
605,佳冬鄉,633
606,佳冬鄉,633
607,琉球鄉,1160
608,車城鄉,139
609,滿州鄉,38
610,枋山鄉,297
611,三地門鄉,32
612,霧臺鄉,4
613,瑪家鄉,68
614,瑪家鄉,68
615,泰武鄉,25
616,來義鄉,28
617,春日鄉,20
618,獅子鄉,9
619,牡丹鄉,16
620,牡丹鄉,16
621,牡丹鄉,16
622,牡丹鄉,16
623,牡丹鄉,16
624,牡丹鄉,16
625,牡丹鄉,16
626,牡丹鄉,16
627,牡丹鄉,16
628,牡丹鄉,16
629,牡丹鄉,16
630,牡丹鄉,16
631,牡丹鄉,16
632,牡丹鄉,16
633,馬公市,1666
634,馬公市,1666
635,馬公市,1666
636,湖西鄉,431
637,白沙鄉,306
638,白沙鄉,306
639,白沙鄉,306
640,白沙鄉,306
641,白沙鄉,306
642,白沙鄉,306
643,西嶼鄉,334
644,西嶼鄉,334
645,望安鄉,134
646,望安鄉,134
647,望安鄉,134
648,望安鄉,134
649,望安鄉,134
650,望安鄉,134
651,七美鄉,259
652,臺東市,1010
653,成功鎮,86
654,成功鎮,86
655,成功鎮,86
656,成功鎮,86
657,成功鎮,86
658,成功鎮,86
659,成功鎮,86
660,成功鎮,86
661,成功鎮,86
662,成功鎮,86
663,成功鎮,86
664,成功鎮,86
665,成功鎮,86
666,成功鎮,86
667,成功鎮,86
668,成功鎮,86
669,成功鎮,86
670,成功鎮,86
671,成功鎮,86
672,成功鎮,86
673,成功鎮,86
674,成功鎮,86
675,成功鎮,86
676,成功鎮,86
677,成功鎮,86
678,成功鎮,86
679,成功鎮,86
680,成功鎮,86
681,成功鎮,86
682,成功鎮,86
683,成功鎮,86
684,成功鎮,86
685,成功鎮,86
686,成功鎮,86
687,成功鎮,86
688,成功鎮,86
689,成功鎮,86
690,成功鎮,86
691,成功鎮,86
692,成功鎮,86
693,成功鎮,86
694,成功鎮,86
695,成功鎮,86
696,成功鎮,86
697,成功鎮,86
698,成功鎮,86
699,成功鎮,86
700,成功鎮,86
701,成功鎮,86
702,成功鎮,86
703,成功鎮,86
704,成功鎮,86
705,成功鎮,86
706,成功鎮,86
707,成功鎮,86
708,成功鎮,86
709,成功鎮,86
710,成功鎮,86
711,成功鎮,86
712,成功鎮,86
713,成功鎮,86
714,成功鎮,86
715,成功鎮,86
716,成功鎮,86
717,成功鎮,86
718,成功鎮,86
719,成功鎮,86
720,成功鎮,86
721,成功鎮,86
722,成功鎮,86
723,成功鎮,86
724,成功鎮,86
725,成功鎮,86
726,成功鎮,86
727,成功鎮,86
728,成功鎮,86
729,成功鎮,86
730,成功鎮,86
731,成功鎮,86
732,成功鎮,86
733,成功鎮,86
734,成功鎮,86
735,成功鎮,86
736,成功鎮,86
737,成功鎮,86
738,成功鎮,86
739,成功鎮,86
740,成功鎮,86
741,成功鎮,86
742,成功鎮,86
743,成功鎮,86
744,成功鎮,86
745,成功鎮,86
746,成功鎮,86
747,成功鎮,86
748,成功鎮,86
749,成功鎮,86
750,成功鎮,86
751,成功鎮,86
752,成功鎮,86
753,成功鎮,86
754,成功鎮,86
755,成功鎮,86
756,成功鎮,86
757,成功鎮,86
758,成功鎮,86
759,成功鎮,86
760,成功鎮,86
761,成功鎮,86
762,成功鎮,86
763,成功鎮,86
764,成功鎮,86
765,成功鎮,86
766,成功鎮,86
767,成功鎮,86
768,成功鎮,86
769,成功鎮,86
770,成功鎮,86
771,成功鎮,86
772,成功鎮,86
773,成功鎮,86
774,成功鎮,86
775,成功鎮,86
776,成功鎮,86
777,成功鎮,86
778,成功鎮,86
779,成功鎮,86
780,成功鎮,86
781,成功鎮,86
782,成功鎮,86
783,成功鎮,86
784,成功鎮,86
785,成功鎮,86
786,成功鎮,86
787,成功鎮,86
788,成功鎮,86
789,成功鎮,86
790,成功鎮,86
791,成功鎮,86
792,成功鎮,86
793,成功鎮,86
794,關山鎮,118
795,卑南鄉,47
796,鹿野鄉,74
797,池上鄉,75
798,東河鄉,38
799,東河鄉,38
800,東河鄉,38
801,東河鄉,38
802,東河鄉,38
803,東河鄉,38
804,東河鄉,38
805,東河鄉,38
806,東河鄉,38
807,東河鄉,38
808,長濱鄉,35
809,長濱鄉,35
810,長濱鄉,35
811,長濱鄉,35
812,長濱鄉,35
813,長濱鄉,35
814,長濱鄉,35
815,長濱鄉,35
816,長濱鄉,35
817,長濱鄉,35
818,長濱鄉,35
819,長濱鄉,35
820,長濱鄉,35
821,長濱鄉,35
822,長濱鄉,35
823,長濱鄉,35
824,長濱鄉,35
825,長濱鄉,35
826,長濱鄉,35
827,長濱鄉,35
828,長濱鄉,35
829,長濱鄉,35
830,長濱鄉,35
831,長濱鄉,35
832,長濱鄉,35
833,長濱鄉,35
834,長濱鄉,35
835,長濱鄉,35
836,長濱鄉,35
837,長濱鄉,35
838,長濱鄉,35
839,長濱鄉,35
840,長濱鄉,35
841,長濱鄉,35
842,長濱鄉,35
843,長濱鄉,35
844,長濱鄉,35
845,太麻里鄉,86
846,大武鄉,55
847,綠島鄉,116
848,綠島鄉,116
849,綠島鄉,116
850,綠島鄉,116
851,綠島鄉,116
852,綠島鄉,116
853,綠島鄉,116
854,綠島鄉,116
855,綠島鄉,116
856,綠島鄉,116
857,綠島鄉,116
858,綠島鄉,116
859,綠島鄉,116
860,綠島鄉,116
861,綠島鄉,116
862,綠島鄉,116
863,綠島鄉,116
864,綠島鄉,116
865,海端鄉,3
866,延平鄉,4
867,金峰鄉,5
868,金峰鄉,5
869,金峰鄉,5
870,達仁鄉,7
871,蘭嶼鄉,50
872,蘭嶼鄉,50
873,蘭嶼鄉,50
874,蘭嶼鄉,50
875,蘭嶼鄉,50
876,蘭嶼鄉,50
877,蘭嶼鄉,50
878,蘭嶼鄉,50
879,蘭嶼鄉,50
880,蘭嶼鄉,50
881,蘭嶼鄉,50
882,蘭嶼鄉,50
883,蘭嶼鄉,50
884,蘭嶼鄉,50
885,蘭嶼鄉,50
886,蘭嶼鄉,50
887,蘭嶼鄉,50
888,蘭嶼鄉,50
889,蘭嶼鄉,50
