town,da
板橋市,12
三重市,7.39
永和市,27.45
中和市,17.6
新莊市,8.28
新店市,26.05
樹林鎮,7.85
鶯歌鎮,6.31
三峽鎮,4.45
淡水鎮,11.12
汐止鎮,9.25
瑞芳鎮,5.39
土城鄉,7.63
蘆洲鄉,7.65
五股鄉,6.74
泰山鄉,8.27
林口鄉,6.31
深坑鄉,6.72
石碇鄉,3.19
坪林鄉,2.64
三芝鄉,2.95
石門鄉,2.36
八里鄉,3.43
平溪鄉,3.35
雙溪鄉,4.13
貢寮鄉,2.53
金山鄉,3.45
萬里鄉,2.8
烏來鄉,7.49
宜蘭市,12.63
羅東鎮,12.56
蘇澳鎮,5.45
頭城鎮,5.47
礁溪鄉,4.65
壯圍鄉,2.44
員山鄉,2.77
冬山鄉,4.94
五結鄉,5.62
三星鄉,3.54
大同鄉,2.44
南澳鄉,3.51
桃園市,13.39
中壢市,12.44
大溪鎮,7.55
楊梅鎮,10.85
蘆竹鄉,6.89
大園鄉,5.44
龜山鄉,12.03
八德鄉,5.76
龍潭鄉,8.97
平鎮鄉,9.13
新屋鄉,5.65
觀音鄉,4.89
復興鄉,2.78
新竹市,15.28
關西鎮,6.73
新埔鎮,7.57
竹東鎮,10.42
香山鄉,4.82
竹北鄉,7.79
湖口鄉,8.25
橫山鄉,5.84
新豐鄉,6.38
芎林鄉,6.74
寶山鄉,2.87
北埔鄉,6.05
峨眉鄉,4.27
尖石鄉,3.33
五峰鄉,2.37
苗栗鎮,14.6
苑裡鎮,5.4
通霄鎮,4.67
竹南鎮,8.7
頭份鎮,8.62
後龍鎮,4.89
卓蘭鎮,4.97
大湖鄉,5.41
公館鄉,7.07
銅鑼鄉,6.67
南庄鄉,4.82
頭屋鄉,5.9
三義鄉,5.62
西湖鄉,4.5
造橋鄉,5.93
三灣鄉,4.02
獅潭鄉,3.56
泰安鄉,3.54
豐原市,10.92
東勢鎮,8.06
大甲鎮,7.78
清水鎮,8.33
沙鹿鎮,6.51
梧棲鎮,5.61
后里鄉,5.3
神岡鄉,4.63
潭子鄉,8.57
大雅鄉,5.39
新社鄉,4.86
石岡鄉,6.51
外埔鄉,3.95
大安鄉,3.23
烏日鄉,7.07
大肚鄉,6.64
龍井鄉,6.5
霧峰鄉,9.77
太平鄉,8.77
大里鄉,9.53
和平鄉,5.82
彰化市,13.1
鹿港鎮,6.19
和美鎮,5.2
北斗鎮,7.99
員林鎮,10.39
溪湖鎮,6.47
田中鎮,6.5
二林鎮,5.31
線西鄉,3.54
伸港鄉,3.89
福興鄉,3.73
秀水鄉,4.99
花壇鄉,5.18
芬園鄉,3.51
大村鄉,3.27
埔鹽鄉,3.62
埔心鄉,3.54
永靖鄉,4.16
社頭鄉,4.92
二水鄉,5.94
田尾鄉,4.1
埤頭鄉,4.42
芳苑鄉,2.43
大城鄉,2.14
竹塘鄉,3.47
溪州鄉,4.93
南投鎮,16.01
埔里鎮,7.59
草屯鎮,9.41
竹山鎮,7.09
集集鎮,6.69
名間鄉,4.8
鹿谷鄉,5.29
中寮鄉,3.48
魚池鄉,4.62
國姓鄉,3.08
水里鄉,7.51
信義鄉,2.84
仁愛鄉,4.23
斗六鎮,11.17
斗南鎮,7.73
虎尾鎮,9.03
西螺鎮,5.66
土庫鎮,4.76
北港鎮,8.66
古坑鄉,4.79
大埤鄉,3.89
莿桐鄉,4.31
林內鄉,5.19
二崙鄉,3.53
崙背鄉,3.73
麥寮鄉,2.96
東勢鄉,2.82
褒忠鄉,4.26
臺西鄉,3.02
元長鄉,2.94
四湖鄉,2.99
口湖鄉,2.05
水林鄉,3.4
嘉義市,15.69
朴子鎮,8.3
布袋鎮,5.84
大林鎮,7.49
民雄鄉,6.14
溪口鄉,4.19
新港鄉,5.25
六腳鄉,4.1
東石鄉,2.23
義竹鄉,5.11
鹿草鄉,3.71
太保鄉,3.55
水上鄉,6.54
中埔鄉,4.68
竹崎鄉,4.08
梅山鄉,5.21
番路鄉,3.09
大埔鄉,2.49
吳鳳鄉,3.6
新營鎮,15.17
鹽水鎮,8.23
白河鎮,5.64
麻豆鎮,8.53
佳里鎮,9.39
新化鎮,7.44
善化鎮,8.81
學甲鎮,6.89
柳營鄉,6.31
後壁鄉,6.79
東山鄉,4.36
下營鄉,5.68
六甲鄉,6.63
官田鄉,4.92
大內鄉,3.92
西港鄉,5.06
七股鄉,4.08
將軍鄉,4.19
北門鄉,4.22
新市鄉,5.79
安定鄉,4.21
山上鄉,5.38
玉井鄉,7.13
楠西鄉,5.09
南化鄉,3.41
左鎮鄉,3.96
仁德鄉,8.74
歸仁鄉,6.09
關廟鄉,5.21
龍崎鄉,3.48
永康鄉,8.62
鳳山市,12.78
岡山鎮,15.28
旗山鎮,7.4
美濃鎮,7.31
林園鄉,4.1
大寮鄉,6.96
大樹鄉,4.61
仁武鄉,5.8
大社鄉,5.18
鳥松鄉,9
橋頭鄉,8.61
燕巢鄉,4.12
田寮鄉,2.5
阿蓮鄉,4.71
路竹鄉,6.36
湖內鄉,5.38
茄萣鄉,2.85
永安鄉,4.01
彌陀鄉,3.79
梓官鄉,4.41
六龜鄉,3.04
甲仙鄉,2.76
杉林鄉,3.68
內門鄉,2.24
茂林鄉,3.55
桃源鄉,2.42
三民鄉,2.75
屏東市,15.18
潮州鎮,9.94
東港鎮,6.95
恆春鎮,4.62
萬丹鄉,5.04
長治鄉,6.36
麟洛鄉,8.97
九如鄉,4.55
里港鄉,5.31
鹽埔鄉,3.27
高樹鄉,4.25
萬巒鄉,6.62
內埔鄉,6.24
竹田鄉,6.54
新埤鄉,5.12
枋寮鄉,4.93
新園鄉,4.47
崁頂鄉,4.54
林邊鄉,6.97
南州鄉,6.69
佳冬鄉,5.62
琉球鄉,2.49
車城鄉,3.61
滿州鄉,2.24
枋山鄉,2.9
三地門鄉,2.41
霧臺鄉,2.54
瑪家鄉,3.34
泰武鄉,3.07
來義鄉,1.1
春日鄉,1.28
獅子鄉,1.92
牡丹鄉,3.15
臺東市,9.24
成功鎮,2.2
關山鎮,4.96
卑南鄉,3.23
大武鄉,2.89
太麻里鄉,2.65
東河鄉,2.05
長濱鄉,1.35
鹿野鄉,3.69
池上鄉,3.72
綠島鄉,5.83
延平鄉,3.23
海端鄉,2.89
達仁鄉,2.79
金峰鄉,2.7
蘭嶼鄉,3.17
花蓮市,14.03
鳳林鎮,6.45
玉里鎮,5.31
新城鄉,5.22
吉安鄉,6.64
壽豐鄉,3.54
光復鄉,4.84
豐濱鄉,1.71
瑞穗鄉,4.29
富里鄉,3.58
秀林鄉,2.17
萬榮鄉,2.57
卓溪鄉,1.68
馬公鎮,8.12
湖西鄉,3.16
白沙鄉,2.88
西嶼鄉,2.25
望安鄉,1.49
七美鄉,0.93
中正區,11
七堵區,9
暖暖區,11.82
仁愛區,11.12
中山區,7.37
安樂區,6.87
信義區,15.29
中區,20.21
東區,14.04
西區,22.14
南區,18.7
北區,23.07
西屯區,20.19
南屯區,11.77
北屯區,14.77
東區,19.44
南區,12.97
西區,11.46
北區,15.01
中區,22.71
安南區,4.13
安平區,8.8
松山區,30.84
大安區,40.75
古亭區,27.18
雙園區,12.02
龍山區,17.8
城中區,38.19
建成區,17.1
延平區,19.37
大同區,14.05
中山區,27.14
內湖區,19.36
南港區,14.48
木柵區,27.22
景美區,31.62
士林區,21.47
北投區,21.82
鹽埕區,16.01
鼓山區,11.27
左營區,15.14
楠梓區,12.82
三民區,14
新興區,22.02
前金區,20.78
苓雅區,17.48
前鎮區,9.47
旗津區,4.05
小港區,7.98
