town,gao
來義鄉,1.2709
春日鄉,1.661
獅子鄉,3.1651
牡丹鄉,3.753
臺東鎮,16.8382
成功鎮,4.5704
關山鎮,6.1567
卑南鄉,5.8456
鹿野鄉,4.8746
池上鄉,4.9008
東河鄉,4.309
長濱鄉,3.5964
太麻里鄉,3.5685
大武鄉,5.4715
綠島鄉,6.1785
海端鄉,5.4716
延平鄉,4.2553
金峰鄉,4.8617
達仁鄉,4.5232
蘭嶼鄉,5.5525
花蓮市,20.871
鳳林鎮,7.2621
玉里鎮,6.7865
新城鄉,8.1869
吉安鄉,9.393
壽豐鄉,5.2365
光復鄉,6.5553
豐濱鄉,2.5794
瑞穗鄉,5.9692
富里鄉,4.6299
秀林鄉,5.0045
萬榮鄉,3.2909
卓溪鄉,3.7386
馬公鎮,12.3322
湖西鄉,7.1891
白沙鄉,5.8619
西嶼鄉,3.2059
望安鄉,1.6573
七美鄉,1.2039
中正區,16.2058
七堵區,10.7364
暖暖區,16.2183
仁愛區,15.5365
中山區,11.965
安樂區,10.244
信義區,20.6104
新竹市,19.2914
香山鄉,6.8954
中區,23.6713
東區,17.9477
南區,17.8755
西區,20.6969
北區,22.1323
西屯區,12.6926
南屯區,9.0478
北屯區,11.0085
嘉義市,18.1258
東區,19.8811
南區,15.0178
西區,12.4847
北區,16.7633
中區,23.9851
安南區,3.7265
安平區,9.3599
鹽埕區,16.4836
鼓山區,13.4985
左營區,19.8706
楠梓區,13.1407
三民區,15.0692
新興區,21.1397
前金區,19.1119
苓雅區,16.7589
前鎮區,14.4175
旗津區,6.9091
小港鄉,7.9998
大安區,25.3305
大同區,16.049
松山區,20.9048
南港鎮,13.1473
內湖鄉,13.4728
中山區,24.8267
北投鎮,16.0786
士林鎮,16.4843
城中區,28.3793
延平區,22.2088
建成區,19.4437
古亭區,21.6191
龍山區,20.1567
雙園區,13.2088
景美鎮,16.7285
木柵鄉,17.6651
