OBJECTID,town,adult
235,六龜鄉,0.6878
236,甲仙鄉,0.6753
237,杉林鄉,0.704
238,內門鄉,0.6987
239,茂林鄉,0.7013
240,桃源鄉,0.6002
241,三民鄉,0.6071
242,屏東市,0.6728
243,潮州鎮,0.6675
244,東港鎮,0.6654
245,恆春鎮,0.6861
246,萬丹鄉,0.6534
247,長治鄉,0.6677
248,麟洛鄉,0.6968
249,九如鄉,0.6654
250,里港鄉,0.6723
251,鹽埔鄉,0.6619
252,高樹鄉,0.6955
253,萬巒鄉,0.7096
254,內埔鄉,0.6628
255,竹田鄉,0.6885
256,新埤鄉,0.6879
257,枋寮鄉,0.6913
258,新園鄉,0.6562
259,崁頂鄉,0.6687
260,林邊鄉,0.6697
261,南州鄉,0.6714
262,佳冬鄉,0.6799
263,琉球鄉,0.6483
264,車城鄉,0.6903
265,滿州鄉,0.6935
266,枋山鄉,0.7136
267,三地鄉,0.6775
268,霧臺鄉,0.7442
269,瑪家鄉,0.6848
270,泰武鄉,0.6618
271,來義鄉,0.6594
272,春日鄉,0.6701
273,獅子鄉,0.6694
274,牡丹鄉,0.683
275,臺東市,0.6851
276,成功鎮,0.6567
277,關山鎮,0.6471
278,卑南鄉,0.6569
279,鹿野鄉,0.653
280,池上鄉,0.6578
281,東河鄉,0.6702
282,長濱鄉,0.6895
283,太麻里鄉,0.6866
284,大武鄉,0.6473
285,綠島鄉,0.7957
286,海端鄉,0.6309
287,延平鄉,0.6288
288,金峰鄉,0.6879
289,達仁鄉,0.6485
290,蘭嶼鄉,0.6421
291,花蓮市,0.6662
292,鳳林鎮,0.6559
293,玉里鎮,0.6771
294,新城鄉,0.7026
295,吉安鄉,0.6775
296,壽豐鄉,0.6866
297,光復鄉,0.6774
298,豐濱鄉,0.6822
299,瑞穗鄉,0.6635
300,富里鄉,0.6749
301,秀林鄉,0.654
302,萬榮鄉,0.6162
303,卓溪鄉,0.6388
304,馬公市,0.7104
305,湖西鄉,0.74
306,白沙鄉,0.6873
307,西嶼鄉,0.689
308,望安鄉,0.6793
309,七美鄉,0.654
310,中正區,0.697
311,七堵區,0.6763
312,暖暖區,0.6702
313,仁愛區,0.6784
314,中山區,0.6996
315,安樂區,0.6651
316,信義區,0.6819
317,東區,0.6916
318,北區,0.6551
319,香山區,0.6435
320,中區,0.6176
321,東區,0.6565
322,南區,0.6721
323,西區,0.685
324,北區,0.6725
325,西屯區,0.685
326,南屯區,0.665
327,北屯區,0.6573
328,東區,0.6805
329,西區,0.6686
330,東區,0.683
331,南區,0.6736
332,西區,0.6794
333,北區,0.6732
334,中區,0.6511
335,安南區,0.6305
336,安平區,0.6866
337,松山區,0.6974
338,信義區,0.6947
339,大安區,0.7065
340,中山區,0.7233
341,中正區,0.6874
342,大同區,0.689
343,萬華區,0.6894
344,文山區,0.699
345,南港區,0.6825
346,內湖區,0.6659
347,士林區,0.6886
348,北投區,0.6854
349,鹽埕區,0.6982
350,鼓山區,0.701
351,左營區,0.7442
352,楠梓區,0.6703
353,三民區,0.6723
354,新興區,0.6862
355,前金區,0.6977
356,苓雅區,0.6817
357,前鎮區,0.6828
358,旗津區,0.6818
359,小港區,0.6506
