town,nian
板橋鎮,28.45
三重市,28.84
中和鄉,40.71
永和鎮,36.76
新莊鎮,30.79
新店鎮,23.2
樹林鎮,26.95
鶯歌鎮,13.29
三峽鎮,14.72
淡水鎮,17.4
汐止鎮,18.5
瑞芳鎮,15.24
土城鄉,22.45
蘆洲鄉,21.39
五股鄉,45.72
泰山鄉,34.65
林口鄉,26.54
深坑鄉,7.86
石碇鄉,17.19
坪林鄉,6.28
三芝鄉,8.64
石門鄉,12.69
八里鄉,16.25
平溪鄉,10.89
雙溪鄉,12.96
貢寮鄉,8.9
金山鄉,16.87
萬里鄉,19.45
烏來鄉,18.71
宜蘭市,19.59
羅東鎮,15.85
頭城鎮,21.89
蘇澳鎮,13.33
礁溪鄉,16.68
壯圍鄉,24.9
員山鄉,19.81
冬山鄉,21.97
五結鄉,18.77
三星鄉,21.44
大同鄉,26.82
南澳鄉,43.13
桃園鎮,15.17
中壢鎮,20.34
大溪鎮,12.73
楊梅鎮,13.66
蘆竹鄉,13.68
大園鄉,13.29
龜山鄉,36.87
八德鄉,27.92
龍潭鄉,19.8
平鎮鄉,19.92
新屋鄉,7.93
觀音鄉,9.88
復興鄉,39.57
竹北鄉,14.55
竹東鎮,14.48
新埔鎮,6.65
關西鎮,7.75
湖口鄉,13.33
新豐鄉,12.39
芎林鄉,9.02
橫山鄉,11.62
北埔鄉,8.9
寶山鄉,7.24
峨眉鄉,8.51
尖石鄉,35.36
五峰鄉,36.81
苗栗鎮,18.1
苑裡鎮,10.91
通霄鎮,9.86
竹南鎮,12.91
頭份鎮,17.84
後龍鎮,11.53
卓蘭鎮,14.39
大湖鄉,17.02
公館鄉,10.92
銅鑼鄉,8.98
南庄鄉,20.25
頭屋鄉,15.09
三義鄉,15.24
西湖鄉,8.51
造橋鄉,14.92
三灣鄉,13.65
獅潭鄉,21.84
泰安鄉,36.91
豐原鎮,14.91
東勢鎮,12.84
大甲鎮,15.74
清水鎮,8.84
沙鹿鎮,6.76
梧棲鎮,9.32
后里鄉,14.73
神岡鄉,10.49
潭子鄉,10.58
大雅鄉,15.26
新社鄉,14.58
石岡鄉,7.24
外埔鄉,14.39
大安鄉,13.09
烏日鄉,15.34
大肚鄉,8.6
龍井鄉,12.67
霧峰鄉,12.96
太平鄉,16.79
大里鄉,13.1
和平鄉,48.95
彰化市,14.99
鹿港鎮,9.29
和美鎮,11.24
線西鄉,10.04
伸港鄉,8.7
福興鄉,13.25
秀水鄉,13.89
花壇鄉,10.81
芬園鄉,6.23
員林鎮,16.8
溪湖鎮,14.77
田中鎮,14.58
大村鄉,12.25
埔鹽鄉,13.8
埔心鄉,9.6
永靖鄉,12.65
社頭鄉,9.49
二水鄉,11.69
北斗鎮,10.14
二林鎮,15.97
田尾鄉,11.6
埤頭鄉,13.18
芳苑鄉,15.05
大城鄉,18.31
竹塘鄉,14.4
溪州鄉,11.95
南投鎮,13.24
埔里鎮,12.22
草屯鎮,10.67
竹山鎮,13.59
集集鎮,12.89
名間鄉,8.2
鹿谷鄉,12.39
中寮鄉,19.18
魚池鄉,9.54
國姓鄉,24
水里鄉,16.36
信義鄉,21.05
仁愛鄉,29.12
斗六鎮,17.93
斗南鎮,16.34
虎尾鎮,18.25
西螺鎮,13.28
土庫鎮,21.06
北港鎮,11.99
古坑鄉,14.54
大埤鄉,16.32
莿桐鄉,16.06
林內鄉,15.66
二崙鄉,16.02
崙背鄉,19.43
麥寮鄉,21.14
東勢鄉,16.73
褒忠鄉,16.5
臺西鄉,18.31
元長鄉,15.78
四湖鄉,17.19
口湖鄉,12.04
水林鄉,13.81
太保市,12.98
朴子鎮,11.39
布袋鎮,8.56
大林鎮,17
民雄鄉,17.29
溪口鄉,15.8
新港鄉,13.53
六腳鄉,12.06
東石鄉,10.02
義竹鄉,13.02
鹿草鄉,15.34
水上鄉,21.31
中埔鄉,19.86
竹崎鄉,15.26
梅山鄉,10.26
番路鄉,19.03
大埔鄉,38.29
吳鳳鄉,20.97
新營鎮,14.98
鹽水鎮,14.2
白河鎮,23.2
柳營鄉,16.96
後壁鄉,14.41
東山鄉,21.84
麻豆鎮,12.72
下營鄉,12.1
六甲鄉,17.96
官田鄉,20.13
大內鄉,23.79
佳里鎮,13.79
學甲鄉,9.5
西港鄉,16.73
七股鄉,13.79
將軍鄉,10.56
北門鄉,8.73
新化鎮,18.48
善化鎮,16.03
新市鄉,23.19
安定鄉,15.82
山上鄉,29.36
玉井鄉,24.48
楠西鄉,32.7
南化鄉,23.02
左鎮鄉,20.65
仁德鄉,17.15
歸仁鄉,11.55
關廟鄉,13.31
龍崎鄉,14.79
永康鄉,23.14
鳳山鎮,19.45
林園鄉,17.2
大寮鄉,31.99
大樹鄉,14.65
大社鄉,14.72
仁武鄉,22.3
鳥松鄉,16.99
岡山鎮,18.62
橋頭鄉,14.29
燕巢鄉,16.1
田寮鄉,9.09
阿蓮鄉,12.26
路竹鄉,13.81
湖內鄉,10.71
茄萣鄉,12.91
永安鄉,11.72
彌陀鄉,12.02
梓官鄉,13.02
旗山鎮,17.6
美濃鎮,11.28
六龜鄉,28.83
甲仙鄉,37.35
杉林鄉,22.48
內門鄉,14.28
茂林鄉,32.97
桃源鄉,20.89
三民鄉,45.72
屏東市,19.16
潮州鎮,23.16
東港鎮,16.38
恆春鎮,18.64
萬丹鄉,17.23
長治鄉,23.11
麟洛鄉,22.4
九如鄉,18.79
里港鄉,27.51
鹽埔鄉,20.49
高樹鄉,20.33
萬巒鄉,16.4
內埔鄉,21.69
竹田鄉,17.92
新埤鄉,19.46
枋寮鄉,18.58
新園鄉,19.96
崁頂鄉,17.57
林邊鄉,21.5
南州鄉,20.61
佳冬鄉,17.04
琉球鄉,10.72
車城鄉,14.01
滿州鄉,25
枋山鄉,22.82
三地鄉,17.47
霧臺鄉,12.02
瑪家鄉,26.5
泰武鄉,40.72
來義鄉,16.93
春日鄉,40.67
獅子鄉,29.77
牡丹鄉,25.74
臺東鎮,29.07
成功鎮,34.28
關山鎮,33.63
卑南鄉,43.69
鹿野鄉,40.83
池上鄉,32.47
東河鄉,46.49
長濱鄉,36.7
太麻里鄉,44.16
大武鄉,32.72
綠島鄉,8.14
海端鄉,31.75
延平鄉,47.74
金峰鄉,34.97
達仁鄉,32.18
蘭嶼鄉,28.85
花蓮市,16.03
鳳林鎮,24.38
玉里鎮,29.03
新城鄉,23.6
吉安鄉,27.04
壽豐鄉,35.37
光復鄉,31.55
豐濱鄉,51.28
瑞穗鄉,28.77
富里鄉,23.78
秀林鄉,30.89
萬榮鄉,18.43
卓溪鄉,28.27
馬公鎮,21.23
湖西鄉,13.52
白沙鄉,6.77
西嶼鄉,8.8
望安鄉,10.18
七美鄉,10.45
中正區,17.28
七堵區,25.16
暖暖區,28.06
仁愛區,15.85
中山區,20.41
安樂區,20.54
信義區,22.09
新竹市,16.54
香山鄉,14.81
中區,13.3
東區,29.39
南區,17.18
西區,17.65
北區,19.27
西屯區,24.7
南屯區,28.3
北屯區,23.98
嘉義市,18.64
東區,29.39
南區,17.18
西區,17.65
北區,19.27
中區,13.3
安南區,12.3
安平區,10.94
鹽埕區,9.2
鼓山區,14.41
左營區,24.59
楠梓區,26.32
三民區,34.29
新興區,22.5
前金區,18.86
苓雅區,29.67
前鎮區,25.21
旗津區,17.96
小港鄉,18.71
大安區,18.39
大同區,13.25
松山區,29.79
南港鎮,20.59
內湖鄉,38.78
中山區,20.41
北投鎮,19.72
士林鎮,32.79
城中區,13.44
延平區,7.32
建成區,8.33
古亭區,14.45
龍山區,7.07
雙園區,16.79
景美鎮,17.92
木柵鄉,24.52
