town,priv
板橋市,74.1
三重市,72.2
中和市,75.8
永和市,76.2
新莊市,73.7
新店市,77.6
樹林市,77.4
鶯歌鎮,81.6
三峽鎮,80.1
淡水鎮,76.5
汐止市,82.4
瑞芳鎮,83.7
土城市,74.6
蘆洲市,76.8
五股鄉,69.4
泰山鄉,70.8
林口鄉,77.7
深坑鄉,81.1
石碇鄉,91.1
坪林鄉,89.1
三芝鄉,87.9
石門鄉,90
八里鄉,87.2
平溪鄉,81.2
雙溪鄉,80.9
貢寮鄉,92.3
金山鄉,90
萬里鄉,86.4
烏來鄉,76.8
宜蘭市,79.2
羅東鎮,78.2
蘇澳鎮,82.6
頭城鎮,91.3
礁溪鄉,89.7
壯圍鄉,93.6
員山鄉,89.5
冬山鄉,90.5
五結鄉,90.6
三星鄉,91.8
大同鄉,88.4
南澳鄉,93.5
桃園市,73.2
中壢市,77.1
大溪鎮,79.5
楊梅鎮,80.3
蘆竹鄉,81.4
大園鄉,82.1
龜山鄉,71.6
八德市,81.3
龍潭鄉,80.5
平鎮市,80
新屋鄉,89
觀音鄉,91.7
復興鄉,91.8
竹北市,89.4
竹東鎮,91.8
新埔鎮,87.6
關西鎮,83.4
湖口鄉,85.3
新豐鄉,89.7
芎林鄉,86.8
橫山鄉,91.9
北埔鄉,95.4
寶山鄉,90.8
峨眉鄉,93
尖石鄉,93.5
五峰鄉,95.1
苗栗市,82.3
苑裡鎮,90.7
通霄鎮,91.3
竹南鎮,84.3
頭份鎮,88.1
後龍鎮,88.7
卓蘭鎮,92.7
大湖鄉,88
公館鄉,90.7
銅鑼鄉,93.8
南庄鄉,95.7
頭屋鄉,92
三義鄉,89.7
西湖鄉,97.8
造橋鄉,93
三灣鄉,95.4
獅潭鄉,95.1
泰安鄉,93.5
豐原市,75.1
東勢鎮,81.8
大甲鎮,83
清水鎮,77.4
沙鹿鎮,82.9
梧棲鎮,80.6
后里鄉,80.2
神岡鄉,84.3
潭子鄉,76.7
大雅鄉,80
新社鄉,90.6
石岡鄉,85.4
外埔鄉,79.4
大安鄉,63.6
烏日鄉,78.3
大肚鄉,85.3
龍井鄉,84.2
霧峰鄉,76.7
太平市,78.6
大里市,77.4
和平鄉,92.1
彰化市,76.3
鹿港鎮,91.6
和美鎮,90.7
線西鄉,92.1
伸港鄉,81.9
福興鄉,89.9
秀水鄉,89.8
花壇鄉,94.2
芬園鄉,94.3
員林鎮,96.4
溪湖鎮,94.8
田中鎮,89.5
大村鄉,88.8
埔鹽鄉,93.4
埔心鄉,93.3
永靖鄉,97.9
社頭鄉,91.1
二水鄉,93.9
北斗鎮,93.6
二林鎮,93
田尾鄉,98
埤頭鄉,95.5
芳苑鄉,98.2
大城鄉,94
竹塘鄉,96.8
溪州鄉,95.8
南投市,75.7
埔里鎮,83.4
草屯鎮,84.4
竹山鎮,85.5
集集鎮,87.6
名間鄉,95.2
鹿谷鄉,94.8
中寮鄉,90.7
魚池鄉,93.4
國姓鄉,91.2
水里鄉,79.6
信義鄉,96.3
仁愛鄉,91.3
斗六市,82.7
斗南鎮,89.3
虎尾鎮,86.2
西螺鎮,93.7
土庫鎮,96.9
北港鎮,86.9
古坑鄉,96
大埤鄉,97
莿桐鄉,96.1
林內鄉,92
二崙鄉,97.3
崙背鄉,95.5
麥寮鄉,94.8
東勢鄉,96.7
褒忠鄉,95.6
臺西鄉,98.3
元長鄉,98.3
四湖鄉,98.4
口湖鄉,97.6
水林鄉,98.6
太保市,88.3
朴子市,90.7
布袋鎮,89.2
大林鎮,86.5
民雄鄉,96.4
溪口鄉,95.4
新港鄉,95.9
六腳鄉,96.1
東石鄉,95.5
義竹鄉,97.9
鹿草鄉,87.4
水上鄉,86
中埔鄉,86.8
竹崎鄉,92
梅山鄉,92.4
番路鄉,94.6
大埔鄉,75.6
吳鳳鄉,73
新營市,81.3
鹽水鎮,91.5
白河鎮,92.2
柳營鄉,90.8
後壁鄉,88.1
東山鄉,84.7
麻豆鎮,88.9
下營鄉,91.3
六甲鄉,94.3
官田鄉,95.5
大內鄉,93.5
佳里鎮,94.7
學甲鎮,92.6
西港鄉,91.2
七股鄉,94.5
將軍鄉,92.7
北門鄉,93.3
新化鎮,93.8
善化鎮,92.9
新市鄉,90.2
安定鄉,95.7
山上鄉,93.1
玉井鄉,85.6
楠西鄉,92.1
南化鄉,94.9
左鎮鄉,92.4
仁德鄉,78
歸仁鄉,87.7
關廟鄉,92
龍崎鄉,94.8
永康市,75.4
鳳山市,74.4
林園鄉,71.5
大寮鄉,87.7
大樹鄉,95
大社鄉,87.8
仁武鄉,75.1
鳥松鄉,89.7
岡山鎮,80.6
橋頭鄉,89.8
燕巢鄉,78.9
田寮鄉,85.6
阿蓮鄉,86.4
路竹鄉,95.5
湖內鄉,91.2
茄萣鄉,85.7
永安鄉,91.5
