town,nian
板橋市,12.75
三重市,13.95
中和市,17.79
永和市,12.05
新莊市,12.48
新店市,17.9
樹林市,13.77
鶯歌鎮,15.37
三峽鎮,16.03
淡水鎮,26.43
汐止市,40.28
瑞芳鎮,10.88
土城市,10.95
蘆洲市,19.1
五股鄉,24.39
泰山鄉,13.38
林口鄉,8.86
深坑鄉,22.43
石碇鄉,6.42
坪林鄉,4.51
三芝鄉,69.8
石門鄉,7.72
八里鄉,20.19
平溪鄉,2.37
雙溪鄉,6.25
貢寮鄉,9.52
金山鄉,16.66
萬里鄉,19.78
烏來鄉,4.53
宜蘭市,12.8
羅東鎮,16.15
蘇澳鎮,4.02
頭城鎮,11.39
礁溪鄉,29.85
壯圍鄉,9.25
員山鄉,10.71
冬山鄉,8.9
五結鄉,18.93
三星鄉,10.68
大同鄉,10.36
南澳鄉,7.13
桃園市,22.24
中壢市,14.7
大溪鎮,10.88
楊梅鎮,25.5
蘆竹鄉,37.65
大園鄉,12.26
龜山鄉,21.4
八德市,16.4
龍潭鄉,25.56
平鎮市,12.75
新屋鄉,15.26
觀音鄉,19.2
復興鄉,3.35
竹北市,19.82
竹東鎮,18.25
新埔鎮,7.05
關西鎮,9.74
湖口鄉,11.18
新豐鄉,13.3
芎林鄉,14.13
橫山鄉,5.96
北埔鄉,7.33
寶山鄉,8.34
峨眉鄉,6.18
尖石鄉,3.1
五峰鄉,4.29
苗栗市,12
苑裡鎮,11.3
通霄鎮,5.73
竹南鎮,14.24
頭份鎮,16.28
後龍鎮,6.86
卓蘭鎮,10.59
大湖鄉,7.95
公館鄉,10.14
銅鑼鄉,9.41
南庄鄉,4.86
頭屋鄉,4.77
三義鄉,7.38
西湖鄉,3.34
造橋鄉,7.97
三灣鄉,4.82
獅潭鄉,7.37
泰安鄉,4.15
豐原市,10.49
東勢鎮,8.56
大甲鎮,7.04
清水鎮,11.46
沙鹿鎮,11.15
梧棲鎮,12.05
后里鄉,8.46
神岡鄉,10.06
潭子鄉,13.82
大雅鄉,11.78
新社鄉,7.94
石岡鄉,10.11
外埔鄉,9.6
大安鄉,12.84
烏日鄉,6.62
大肚鄉,8.18
龍井鄉,9.2
霧峰鄉,7.73
太平市,10.6
大里市,11.49
和平鄉,6.08
彰化市,10.19
鹿港鎮,13.57
和美鎮,12.91
線西鄉,13.62
伸港鄉,10.69
福興鄉,12.88
秀水鄉,12.19
花壇鄉,9.88
芬園鄉,7.26
員林鎮,9.47
溪湖鎮,11.15
田中鎮,7.39
大村鄉,19.91
埔鹽鄉,11.34
埔心鄉,13.33
永靖鄉,13.37
社頭鄉,11.74
二水鄉,3.69
北斗鎮,8.76
二林鎮,10.44
田尾鄉,15.91
埤頭鄉,8.2
芳苑鄉,7.39
大城鄉,6.93
竹塘鄉,3.45
溪州鄉,7.74
南投市,9.78
