town,nian
埔里鎮,9.28
草屯鎮,10.69
竹山鎮,7.06
集集鎮,8.92
名間鄉,7.77
鹿谷鄉,8.95
中寮鄉,4.45
魚池鄉,5.98
國姓鄉,5.83
水里鄉,5.6
信義鄉,6.58
仁愛鄉,5.89
斗六市,11.95
斗南鎮,8.24
虎尾鎮,13.24
西螺鎮,7.3
土庫鎮,8.52
北港鎮,7.26
古坑鄉,6.96
大埤鄉,6.74
莿桐鄉,8.68
林內鄉,8.06
二崙鄉,7.59
崙背鄉,8.58
麥寮鄉,12.57
東勢鄉,7.55
褒忠鄉,7.88
臺西鄉,6.33
元長鄉,6.66
四湖鄉,6.77
口湖鄉,4.37
水林鄉,6.2
太保市,21.05
朴子市,10.33
布袋鎮,3.84
大林鎮,8.68
民雄鄉,10.96
溪口鄉,4.37
新港鄉,8.24
六腳鄉,5.13
東石鄉,3.36
義竹鄉,4.33
鹿草鄉,3.3
水上鄉,8.28
中埔鄉,6.56
竹崎鄉,5.27
梅山鄉,3.83
番路鄉,4.6
大埔鄉,2.64
阿里山鄉,2.07
新營市,9.69
鹽水鎮,7.94
白河鎮,6.52
柳營鄉,7.14
後壁鄉,5.86
東山鄉,5.3
麻豆鎮,6.37
下營鄉,7.52
六甲鄉,6.78
官田鄉,6.74
大內鄉,3.96
佳里鎮,8.54
學甲鎮,4.66
西港鄉,9.4
七股鄉,5.31
將軍鄉,6.9
北門鄉,2.89
新化鎮,7.89
善化鎮,7.32
新市鄉,15.82
安定鄉,10.02
山上鄉,6.43
玉井鄉,6.59
楠西鄉,9.63
南化鄉,5.81
左鎮鄉,3.77
仁德鄉,9.49
歸仁鄉,9.66
關廟鄉,3.4
龍崎鄉,3.16
永康市,14.45
鳳山市,11.94
林園鄉,2.43
大寮鄉,9.49
大樹鄉,6.38
大社鄉,8.26
仁武鄉,17.67
鳥松鄉,16.94
岡山鎮,9.97
橋頭鄉,10.17
燕巢鄉,7.21
田寮鄉,1.55
阿蓮鄉,6.02
路竹鄉,6
湖內鄉,10.99
茄萣鄉,3.06
永安鄉,3.88
彌陀鄉,3.96
梓官鄉,8.69
旗山鎮,5.93
美濃鎮,5.94
六龜鄉,9.7
甲仙鄉,5.55
杉林鄉,6.68
內門鄉,4.99
茂林鄉,15.35
桃源鄉,9.65
三民鄉,5.7
屏東市,8.78
潮州鎮,5.4
東港鎮,6.92
恆春鎮,5.48
萬丹鄉,7.27
長治鄉,8.18
麟洛鄉,7.78
九如鄉,8.82
里港鄉,6.91
鹽埔鄉,5.46
高樹鄉,4.25
萬巒鄉,6.34
內埔鄉,6.89
竹田鄉,6.11
新埤鄉,4.97
枋寮鄉,5.63
新園鄉,5.97
崁頂鄉,6.11
林邊鄉,4.78
南州鄉,7.05
佳冬鄉,11.47
琉球鄉,4.64
車城鄉,2.35
滿州鄉,2.7
枋山鄉,4.24
三地門鄉,10.43
霧臺鄉,3.69
瑪家鄉,8.41
泰武鄉,7.75
來義鄉,5.29
春日鄉,4.67
獅子鄉,6.38
牡丹鄉,4.88
臺東市,10.04
成功鎮,6.07
關山鎮,6.44
卑南鄉,7.36
鹿野鄉,8.39
池上鄉,4.9
東河鄉,7.55
長濱鄉,6.25
太麻里鄉,6.31
大武鄉,7.08
綠島鄉,6.84
海端鄉,8.62
延平鄉,7.03
金峰鄉,7.77
達仁鄉,5.29
蘭嶼鄉,3.48
花蓮市,11.83
鳳林鎮,4.49
玉里鎮,7.59
新城鄉,7.54
吉安鄉,11.56
壽豐鄉,12.37
光復鄉,5.55
豐濱鄉,8.17
瑞穗鄉,4.13
富里鄉,5.8
秀林鄉,9.01
萬榮鄉,5.51
卓溪鄉,7.08
馬公市,11.48
湖西鄉,9.65
白沙鄉,5.95
西嶼鄉,5.79
望安鄉,0.48
七美鄉,0.91
中正區,4.15
七堵區,10.75
暖暖區,16.62
仁愛區,13.04
中山區,6.06
安樂區,25.53
信義區,4.36
東區,12.66
北區,10.06
香山區,20.07
中區,8.44
東區,12.66
南區,8.18
西區,15.16
北區,10.06
西屯區,29.69
南屯區,36.24
北屯區,22.44
東區,12.66
西區,15.16
東區,12.66
南區,8.18
西區,15.16
北區,10.06
中區,8.44
安南區,10.48
安平區,21.92
松山區,2.96
信義區,4.36
大安區,2.52
中山區,6.06
中正區,4.15
大同區,4.06
萬華區,3.54
文山區,11.86
南港區,7.77
內湖區,11.6
士林區,3.45
北投區,5.84
鹽埕區,5.92
鼓山區,7.46
左營區,33.43
楠梓區,9.6
三民區,12.75
新興區,7.14
前金區,5.87
苓雅區,8
前鎮區,11.16
旗津區,3.62
小港區,11.18
