town,da
板橋市,28.34
三重市,22.88
中和市,31.9
永和市,42.49
新莊市,25.7
新店市,39.12
樹林市,20.61
鶯歌鎮,18.2
三峽鎮,17.49
淡水鎮,40.6
汐止市,34.54
瑞芳鎮,13.2
土城市,22.56
蘆洲市,20.5
五股鄉,20.29
泰山鄉,27.7
林口鄉,26.42
深坑鄉,33.34
石碇鄉,27.94
坪林鄉,9.14
三芝鄉,16.4
石門鄉,11.14
八里鄉,22.19
平溪鄉,8.67
雙溪鄉,9.05
貢寮鄉,9.73
金山鄉,12.76
萬里鄉,11.17
烏來鄉,14.18
宜蘭市,28.22
羅東鎮,22.57
蘇澳鎮,15.12
頭城鎮,16.88
礁溪鄉,12.35
壯圍鄉,11.97
員山鄉,12.36
冬山鄉,13.82
五結鄉,14.55
三星鄉,8.12
大同鄉,4.98
南澳鄉,6.15
桃園市,31.13
中壢市,34.47
大溪鎮,20.03
楊梅鎮,23.23
蘆竹鄉,22.61
大園鄉,16.5
龜山鄉,31.17
八德市,20.77
龍潭鄉,26.99
平鎮市,25.6
新屋鄉,14.3
觀音鄉,13.22
復興鄉,6.13
竹北市,28.95
竹東鎮,27.51
新埔鎮,19.61
關西鎮,21.23
湖口鄉,23.49
新豐鄉,27.46
芎林鄉,30.02
橫山鄉,15.23
北埔鄉,14.93
寶山鄉,27.79
峨眉鄉,11.59
尖石鄉,6.38
五峰鄉,4.15
苗栗市,28.37
苑裡鎮,12.32
通霄鎮,11
竹南鎮,21.97
頭份鎮,21.25
後龍鎮,14.63
卓蘭鎮,11.49
大湖鄉,10.2
公館鄉,15.71
銅鑼鄉,13.28
南庄鄉,8.61
頭屋鄉,15.18
三義鄉,13.76
西湖鄉,10.34
造橋鄉,27.31
三灣鄉,11.57
獅潭鄉,6.65
泰安鄉,5.17
豐原市,23.61
東勢鎮,16.15
大甲鎮,17.65
清水鎮,18.15
沙鹿鎮,27.13
梧棲鎮,17.91
后里鄉,17.77
神岡鄉,16.82
潭子鄉,21.32
大雅鄉,21.43
新社鄉,18.7
石岡鄉,14.62
外埔鄉,12.73
大安鄉,10.15
烏日鄉,24.56
大肚鄉,19.24
龍井鄉,21.52
霧峰鄉,24.82
太平市,22
大里市,23.99
和平鄉,10.7
彰化市,28.71
鹿港鎮,14.97
和美鎮,16.22
線西鄉,11.83
伸港鄉,11.23
福興鄉,11.96
秀水鄉,15.9
花壇鄉,16.44
芬園鄉,12.92
員林鎮,23.98
溪湖鎮,16.31
田中鎮,17.24
大村鄉,24.86
埔鹽鄉,10.94
埔心鄉,13.41
永靖鄉,15.26
社頭鄉,15.09
二水鄉,13.7
北斗鎮,17.37
二林鎮,12.39
田尾鄉,12.74
埤頭鄉,12.11
芳苑鄉,7.27
大城鄉,6.72
竹塘鄉,9.2
溪州鄉,9.82
南投市,24.61
埔里鎮,17.95
草屯鎮,21.89
竹山鎮,12.21
集集鎮,14.55
名間鄉,12.12
鹿谷鄉,9.43
中寮鄉,8.03
魚池鄉,8.39
國姓鄉,7.6
水里鄉,10.75
信義鄉,5.47
仁愛鄉,5.52
斗六市,27.9
斗南鎮,18.2
虎尾鎮,20.82
西螺鎮,13.58
土庫鎮,11.69
北港鎮,18.68
古坑鄉,11.79
大埤鄉,10.92
莿桐鄉,11.96
林內鄉,12.69
二崙鄉,10.21
崙背鄉,12.51
麥寮鄉,7.65
東勢鄉,7.6
褒忠鄉,9.82
臺西鄉,7.62
元長鄉,8.95
四湖鄉,7.11
口湖鄉,7.23
水林鄉,7.94
太保市,12.32
朴子市,17.6
布袋鎮,11.43
大林鎮,24.09
民雄鄉,29.26
溪口鄉,10.21
新港鄉,12.04
六腳鄉,9.04
東石鄉,8.33
義竹鄉,10.84
鹿草鄉,8.28
水上鄉,17.09
中埔鄉,14.68
竹崎鄉,11.1
梅山鄉,10.67
番路鄉,10.27
大埔鄉,7.38
阿里山鄉,9.69
新營市,28.22
鹽水鎮,16.89
白河鎮,13.89
柳營鄉,14.57
後壁鄉,14.96
東山鄉,9.23
麻豆鎮,21.15
下營鄉,13.33
六甲鄉,17.08
官田鄉,18.64
大內鄉,13.35
佳里鎮,19.22
學甲鎮,15.07
西港鄉,14.23
七股鄉,9.25
將軍鄉,9.17
北門鄉,9.44
新化鎮,22.19
善化鎮,20.56
新市鄉,21.24
安定鄉,13.31
山上鄉,11.51
玉井鄉,13.04
楠西鄉,9.63
南化鄉,7.56
左鎮鄉,7.58
仁德鄉,24.59
歸仁鄉,24.33
關廟鄉,13.76
龍崎鄉,7.01
永康市,30.56
鳳山市,28.23
林園鄉,14.87
大寮鄉,17.52
大樹鄉,25.05
大社鄉,21.41
仁武鄉,20.9
鳥松鄉,30.48
岡山鎮,26.57
橋頭鄉,22.05
燕巢鄉,27.3
田寮鄉,7.95
阿蓮鄉,17.63
路竹鄉,21.07
湖內鄉,20.11
茄萣鄉,10.85
永安鄉,13.49
彌陀鄉,12.28
梓官鄉,17.06
旗山鎮,18.15
美濃鎮,12.51
六龜鄉,6.77
甲仙鄉,6.93
杉林鄉,6.1
內門鄉,19.74
茂林鄉,6.7
桃源鄉,6.15
三民鄉,7.85
屏東市,29.06
潮州鎮,19.47
東港鎮,13.92
恆春鎮,9.95
萬丹鄉,13.44
長治鄉,16.59
麟洛鄉,27.67
九如鄉,12.4
里港鄉,12.91
鹽埔鄉,12.36
高樹鄉,8.58
萬巒鄉,14.01
內埔鄉,24.82
竹田鄉,11.9
新埤鄉,7.91
枋寮鄉,10.65
新園鄉,11.93
崁頂鄉,11.44
林邊鄉,13.26
南州鄉,12.52
佳冬鄉,11.22
琉球鄉,6.12
車城鄉,8.24
滿州鄉,8.58
枋山鄉,8.83
三地門鄉,4.17
霧臺鄉,6.72
瑪家鄉,7.39
泰武鄉,5.4
來義鄉,4.24
春日鄉,8.16
獅子鄉,5.79
牡丹鄉,7.09
臺東市,18.92
成功鎮,6.09
關山鎮,10.38
卑南鄉,9.96
鹿野鄉,6.22
池上鄉,7.59
東河鄉,4.59
長濱鄉,4.35
太麻里鄉,5.24
大武鄉,6.95
綠島鄉,6.82
海端鄉,6.23
延平鄉,6.16
金峰鄉,5.62
達仁鄉,4.84
蘭嶼鄉,6.64
花蓮市,31.05
鳳林鎮,11.19
玉里鎮,9.67
新城鄉,32.04
吉安鄉,23.77
壽豐鄉,39.44
光復鄉,8.23
豐濱鄉,5.09
瑞穗鄉,8.37
富里鄉,5.58
秀林鄉,8.48
萬榮鄉,6.12
卓溪鄉,4.9
馬公市,21.27
湖西鄉,14.66
白沙鄉,8.18
西嶼鄉,7.24
望安鄉,10.41
七美鄉,6.46
中正區,27.43
七堵區,22.34
暖暖區,24.05
仁愛區,21.56
中山區,21.31
安樂區,24.86
信義區,27.36
東區,46.35
北區,31.12
香山區,28.95
中區,30.88
東區,26.3
南區,42.99
西區,42.17
北區,38.33
西屯區,43.83
南屯區,35.32
北屯區,33.2
東區,35.7
西區,24.77
東區,41.08
南區,22.71
西區,26.7
北區,29.2
中區,42.53
安南區,17.3
安平區,25.52
松山區,53.36
信義區,44.77
大安區,62.46
中山區,44.95
中正區,50.97
大同區,31.56
萬華區,28.88
文山區,51.46
南港區,34.53
內湖區,44.39
士林區,42.87
北投區,40.18
鹽埕區,27.38
鼓山區,32.24
左營區,32.89
楠梓區,28.31
三民區,33.04
新興區,37.3
前金區,36.16
苓雅區,35.78
前鎮區,24.38
旗津區,10.73
小港區,20.4
