town,cons
霧臺鄉,0.0000
瑪家鄉,0.1400
泰武鄉,0.0000
來義鄉,0.0600
春日鄉,0.0000
獅子鄉,0.6800
牡丹鄉,0.1200
臺東鎮,3.2100
成功鎮,0.5200
關山鎮,0.9800
卑南鄉,0.6000
鹿野鄉,0.6500
池上鄉,3.3900
東河鄉,0.4600
長濱鄉,0.3300
太麻里鄉,0.5800
大武鄉,1.1700
綠島鄉,0.2700
海端鄉,0.0000
延平鄉,0.0700
金峰鄉,0.2500
達仁鄉,0.2300
蘭嶼鄉,0.8300
花蓮市,4.0500
鳳林鎮,1.8100
玉里鎮,2.1500
新城鄉,3.8300
吉安鄉,1.2300
壽豐鄉,1.3900
光復鄉,1.8500
豐濱鄉,0.3100
瑞穗鄉,1.0100
富里鄉,0.7700
秀林鄉,1.6900
萬榮鄉,0.0300
卓溪鄉,0.1600
馬公鎮,1.7100
湖西鄉,2.1700
白沙鄉,0.8400
西嶼鄉,0.4100
望安鄉,0.1200
七美鄉,3.4400
中正區,2.7900
七堵區,2.0400
暖暖區,2.6200
仁愛區,4.9300
中山區,2.2100
安樂區,3.4200
信義區,3.1900
新竹市,2.8900
香山鄉,2.9500
中區,4.2600
東區,3.9700
南區,4.0100
西區,6.3900
北區,6.7300
西屯區,1.5700
南屯區,1.8500
北屯區,1.9100
嘉義市,4.0400
東區,2.8600
南區,3.0600
西區,4.9400
北區,3.4700
中區,2.8100
安南區,1.3100
安平區,4.9600
鹽埕區,4.0600
鼓山區,2.7000
左營區,1.7800
楠梓區,2.4200
三民區,4.0400
新興區,9.2000
前金區,7.3400
苓雅區,4.2700
前鎮區,2.0100
旗津區,2.4500
小港鄉,0.8800
大安區,4.7100
大同區,7.2100
松山區,3.7600
南港鎮,2.6700
內湖鄉,2.3200
中山區,4.9000
北投鎮,3.2000
士林鎮,3.4100
城中區,2.6100
延平區,3.3600
建成區,5.9300
古亭區,6.9200
龍山區,5.8200
雙園區,10.8400
景美鎮,4.7800
木柵鄉,2.1900
