OBJECTID,town,ratio
231,彌陀鄉,106.9027
232,梓官鄉,103.4774
233,旗山鎮,115.3098
234,美濃鎮,98.382
235,六龜鄉,112.2858
236,甲仙鄉,115.1467
237,杉林鄉,102.9832
238,內門鄉,100.3661
239,茂林鄉,117.0455
240,桃源鄉,110.929
241,三民鄉,102.0258
242,屏東市,121.7363
243,潮州鎮,117.6785
244,東港鎮,107.4023
245,恆春鎮,120
246,萬丹鄉,100.3928
247,長治鄉,115.339
248,麟洛鄉,110.5582
249,九如鄉,103.2998
250,里港鄉,99.1981
251,鹽埔鄉,101.1925
252,高樹鄉,105.6604
253,萬巒鄉,100.8556
254,內埔鄉,141.6446
255,竹田鄉,99.356
256,新埤鄉,103.8311
257,枋寮鄉,119.6099
258,新園鄉,104.1503
259,崁頂鄉,101.6247
260,林邊鄉,98.2134
261,南州鄉,96.4344
262,佳冬鄉,100.7795
263,琉球鄉,133.8718
264,車城鄉,116.4574
265,滿州鄉,91.9096
266,枋山鄉,117.2429
267,三地鄉,104.7079
268,霧臺鄉,112.3894
269,瑪家鄉,147.8178
270,泰武鄉,105.1573
271,來義鄉,112.4083
272,春日鄉,109.8454
273,獅子鄉,116.6539
274,牡丹鄉,102.9077
275,臺東鎮,110.0885
276,成功鎮,109.4707
277,關山鎮,110.9944
278,卑南鄉,142.9819
279,鹿野鄉,122.1237
280,池上鄉,125.9933
281,東河鄉,137.2878
282,長濱鄉,103.5943
283,太麻里鄉,119.858
284,大武鄉,122.1785
285,綠島鄉,212.9162
286,海端鄉,97.9233
287,延平鄉,104.2348
288,金峰鄉,104.9333
289,達仁鄉,105.3869
290,蘭嶼鄉,225.2322
291,花蓮市,133.1135
292,鳳林鎮,151.6997
293,玉里鎮,143.1502
294,新城鄉,180.7633
295,吉安鄉,138.1886
296,壽豐鄉,127.8454
297,光復鄉,109.5023
298,豐濱鄉,141.0914
299,瑞穗鄉,106.5962
300,富里鄉,111.4972
301,秀林鄉,120.8951
302,萬榮鄉,100.112
303,卓溪鄉,124.7897
304,馬公鎮,172.4077
305,湖西鄉,185.4576
306,白沙鄉,131.4884
307,西嶼鄉,130.7393
308,望安鄉,98.7366
309,七美鄉,89.9395
310,中正區,136.329
311,七堵區,113.4079
312,暖暖區,110.4934
313,仁愛區,106.0656
314,中山區,154.0219
315,安樂區,109.3589
316,信義區,110.8414
317,新竹市,128.8517
318,香山鄉,113.2514
319,中區,95.8062
320,東區,115.8051
321,南區,103.9433
322,西區,114.7752
323,北區,105.0525
324,西屯區,119.7135
325,南屯區,99.9317
326,北屯區,107.2971
327,嘉義市,104.4287
328,東區,126.4272
329,南區,117.0397
330,西區,95.249
331,北區,120.7429
332,中區,101.6581
333,安南區,96.0922
334,安平區,112.7044
335,鹽埕區,108.486
336,鼓山區,120.4202
337,左營區,210.4783
338,楠梓區,117.7163
339,三民區,111.8677
340,新興區,108.6767
341,前金區,108.3589
342,苓雅區,110.1846
343,前鎮區,116.4165
344,旗津區,131.2344
345,小港鄉,126.7971
346,大安區,134.2968
347,大同區,101.6882
348,松山區,129.6373
349,南港鎮,121.5778
350,內湖鄉,125.6303
351,中山區,117.851
352,北投鎮,117.8227
353,士林鎮,120.4375
354,城中區,162.903
355,延平區,100.1001
356,建成區,97.1319
357,古亭區,123.1652
358,龍山區,104.6191
359,雙園區,109.8646
360,景美鎮,126.0906
361,木柵鄉,126.5572
