town,busi
霧臺鄉,0.3100
瑪家鄉,0.8700
泰武鄉,0.3600
來義鄉,0.4700
春日鄉,0.8800
獅子鄉,1.0100
牡丹鄉,1.2100
臺東鎮,15.2000
成功鎮,5.0300
關山鎮,6.9600
卑南鄉,3.9200
鹿野鄉,4.9900
池上鄉,6.4000
東河鄉,2.9400
長濱鄉,3.7000
太麻里鄉,4.1300
大武鄉,5.9800
綠島鄉,1.8000
海端鄉,1.2800
延平鄉,1.0100
金峰鄉,2.3800
達仁鄉,1.4200
蘭嶼鄉,0.2800
花蓮市,14.6500
鳳林鎮,5.8800
玉里鎮,7.6200
新城鄉,5.3800
吉安鄉,3.3700
壽豐鄉,4.1800
光復鄉,5.5800
豐濱鄉,2.6600
瑞穗鄉,6.6600
富里鄉,4.7300
秀林鄉,1.9100
萬榮鄉,1.1700
卓溪鄉,1.4000
馬公鎮,7.5800
湖西鄉,1.7400
白沙鄉,2.6600
西嶼鄉,4.3000
望安鄉,1.6400
七美鄉,2.0700
中正區,11.3500
七堵區,6.3500
暖暖區,7.9600
仁愛區,24.4400
中山區,6.4100
安樂區,10.4500
信義區,9.2500
新竹市,10.2500
香山鄉,5.1400
中區,37.0000
東區,14.7300
南區,11.8900
西區,14.2400
北區,15.9300
西屯區,4.5900
南屯區,5.3400
北屯區,5.9400
嘉義市,18.0700
東區,10.3700
南區,11.6200
西區,26.7300
北區,14.8000
中區,25.3700
安南區,4.6800
安平區,5.8800
鹽埕區,29.8300
鼓山區,11.0300
左營區,5.8200
楠梓區,9.5300
三民區,13.9200
新興區,17.5300
前金區,14.5900
苓雅區,11.2900
前鎮區,5.4200
旗津區,6.1300
小港鄉,4.2600
大安區,10.6300
大同區,20.1700
松山區,8.6900
南港鎮,7.5300
內湖鄉,6.3700
中山區,16.0800
北投鎮,9.5100
士林鎮,10.0000
城中區,17.0600
延平區,31.4000
建成區,30.5100
古亭區,17.7900
龍山區,28.0200
雙園區,20.0300
景美鎮,9.2700
木柵鄉,7.1000
