OBJECTID,unmarried,town
233,120.4753,湖內鄉
234,118.0837,茄萣鄉
235,131.9968,永安鄉
236,123.9074,彌陀鄉
237,123.0009,梓官鄉
238,136.6706,六龜鄉
239,128.4064,甲仙鄉
240,133.2842,杉林鄉
241,129.5699,內門鄉
242,138.6842,茂林鄉
243,124.9235,桃源鄉
244,129.1785,三民鄉
245,122.8977,屏東市
246,124.854,潮州鎮
247,120.9781,東港鎮
248,128.6103,恆春鎮
249,123.745,萬丹鄉
250,132.8991,長治鄉
251,128.0492,麟洛鄉
252,133.1971,九如鄉
253,127.2454,里港鄉
254,130.2238,鹽埔鄉
255,136.7254,高樹鄉
256,132.4681,萬巒鄉
257,148.5952,內埔鄉
258,130.4285,竹田鄉
259,134.7239,新埤鄉
260,134.9378,枋寮鄉
261,121.0829,新園鄉
262,128.2336,崁頂鄉
263,125.6674,林邊鄉
264,118.4737,南州鄉
265,130.5776,佳冬鄉
266,127.3155,琉球鄉
267,134.8226,車城鄉
268,138.0935,滿州鄉
269,133.5422,枋山鄉
270,135.4064,三地門鄉
271,141.0026,霧臺鄉
272,149.1085,瑪家鄉
273,137.7093,泰武鄉
274,142.9254,來義鄉
275,151.2621,春日鄉
276,169.1617,獅子鄉
277,140.0616,牡丹鄉
278,140.3946,臺東市
279,135.3079,成功鎮
280,131.5362,關山鎮
281,168.4733,卑南鄉
282,140.15,大武鄉
283,140.2501,太麻里鄉
284,161.906,東河鄉
285,137.3824,長濱鄉
286,139.0551,鹿野鄉
287,138.0017,池上鄉
288,278.1991,綠島鄉
289,138.4615,延平鄉
290,132.6687,海端鄉
291,144.007,達仁鄉
292,147.3819,金峰鄉
293,124.9027,蘭嶼鄉
294,136.2506,花蓮市
295,148.0296,鳳林鎮
296,173.8095,玉里鎮
297,157.16,新城鄉
298,133.4759,吉安鄉
299,158.7425,壽豐鄉
300,143.2626,光復鄉
301,151.7341,豐濱鄉
302,133.125,瑞穗鄉
303,130.9859,富里鄉
304,142.2159,秀林鄉
305,133.7624,萬榮鄉
306,138.1428,卓溪鄉
307,131.7936,馬公鎮
308,125.8304,湖西鄉
309,117.7298,白沙鄉
310,124.6107,西嶼鄉
311,124.0506,望安鄉
312,122.0044,七美鄉
313,133.3417,中正區
314,121.9345,七堵區
315,130.9203,暖暖區
316,126.5861,仁愛區
317,130.6719,中山區
318,128.853,安樂區
319,127.9469,信義區
320,111.4397,中區
321,123.0762,東區
322,121.7402,西區
323,118.739,南區
324,119.4651,北區
325,118.2534,西屯區
326,120.5817,南屯區
327,118.8707,北屯區
328,126.2626,東區
329,124.9437,南區
330,118.3136,西區
331,119.0926,北區
