OBJECTID,town,pop_den
1,板橋市,19363.67
2,三重市,19409
3,永和市,11280.66
4,中和市,49793.94
5,新莊市,8484.53
6,新店市,1496.39
7,樹林鎮,2388.86
8,鶯歌鎮,2116.09
9,三峽鎮,271.12
10,淡水鎮,1010.65
11,汐止鎮,996.24
12,瑞芳鎮,941.04
13,土城鄉,2022.29
14,蘆洲鄉,6906.82
15,五股鄉,1000.93
16,泰山鄉,2373.35
17,林口鄉,460.64
18,深坑鄉,468.73
19,石碇鄉,63.99
20,坪林鄉,31.42
21,三芝鄉,244.85
22,石門鄉,201.2
23,八里鄉,451.66
24,平溪鄉,147.27
25,雙溪鄉,111.74
26,貢寮鄉,170.97
27,金山鄉,429.64
28,萬里鄉,297.77
29,烏來鄉,9.99
30,宜蘭市,2861.72
31,羅東鎮,5124.13
32,蘇澳鎮,636.54
33,頭城鎮,385.45
34,礁溪鄉,376.86
35,壯圍鄉,631.88
36,員山鄉,222.56
37,冬山鄉,524.05
38,五結鄉,878.04
39,三星鄉,259.2
40,大同鄉,8.93
41,南澳鄉,6.69
42,桃園市,5297.25
43,中壢市,2758.13
44,大溪鎮,634.55
45,楊梅鎮,940.74
46,蘆竹鄉,651.23
47,大園鄉,605.6
48,龜山鄉,1009.36
49,八德鄉,2700.76
50,龍潭鄉,789.14
51,平鎮鄉,2246.55
52,新屋鄉,530.23
53,觀音鄉,500.2
54,復興鄉,36.19
55,新竹市,4253.93
56,關西鎮,299.43
57,新埔鎮,483.13
58,竹東鎮,1266.58
59,香山鄉,825.68
60,竹北鄉,1162.77
61,湖口鄉,796.06
62,橫山鄉,298.55
63,新豐鄉,670.32
64,芎林鄉,447.19
65,寶山鄉,186.15
66,北埔鄉,216.52
67,峨眉鄉,171.71
68,尖石鄉,17.97
69,五峰鄉,22.51
70,苗栗鎮,2194.95
71,苑裡鎮,717.63
72,通霄鎮,413.03
73,竹南鎮,1434.73
74,頭份鎮,1246.22
75,後龍鎮,604.17
76,卓蘭鎮,250.39
77,大湖鄉,242.98
78,公館鄉,454.3
79,銅鑼鄉,277.12
80,南庄鄉,122.92
81,頭屋鄉,241.39
82,三義鄉,245.51
83,西湖鄉,286.44
84,造橋鄉,294.61
85,三灣鄉,202.01
86,獅潭鄉,106.83
87,泰安鄉,10.37
88,豐原市,3053.4
89,東勢鎮,570.16
90,大甲鎮,1102.23
91,清水鎮,1020.49
92,沙鹿鎮,1409.1
93,梧棲鎮,1325.66
94,后里鄉,848.03
95,神岡鄉,1226
96,潭子鄉,1820.45
97,大雅鄉,1205.67
98,新社鄉,325.46
99,石岡鄉,853.59
100,外埔鄉,574.11
101,大安鄉,718.6
102,烏日鄉,1126.33
103,大肚鄉,930.02
104,龍井鄉,994.37
105,霧峰鄉,573.09
106,太平鄉,613.78
107,大里鄉,2685.96
108,和平鄉,11.69
109,彰化市,2779.87
110,鹿港鎮,1615.54
111,和美鎮,1705.59
112,北斗鎮,1438.19
113,員林鎮,2599.14
114,溪湖鎮,1488.45
115,田中鎮,1303.11
116,二林鎮,629.72
117,線西鄉,1102.76
118,伸港鄉,938.64
119,福興鄉,808.55
120,秀水鄉,1020.46
121,花壇鄉,1035.82
122,芬園鄉,730.41
123,大村鄉,1011.07
124,埔鹽鄉,856.64
125,埔心鄉,1466.46
126,永靖鄉,1804.98
127,社頭鄉,1110.66
128,二水鄉,632.37
129,田尾鄉,1166.79
130,埤頭鄉,786.17
131,芳苑鄉,491.38
132,大城鄉,431.18
133,竹塘鄉,480.79
134,溪州鄉,523.32
135,南投鎮,1162.76
136,埔里鎮,479.55
137,草屯鎮,779.73
138,竹山鎮,239.19
139,集集鎮,373.08
140,名間鄉,513.02
141,鹿谷鄉,163.1
142,中寮鄉,160.62
143,魚池鄉,163.4
144,國姓鄉,137.93
145,水里鄉,257.57
146,信義鄉,12.17
147,仁愛鄉,12.65
148,斗六鎮,894.82
149,斗南鎮,925.25
150,虎尾鎮,958.32
151,西螺鎮,1018.29
152,土庫鎮,737.88
153,北港鎮,1298.12
154,古坑鄉,235.5
155,大埤鄉,599.48
156,莿桐鄉,543.32
157,林內鄉,429.43
158,二崙鄉,596.5
159,崙背鄉,555.2
160,麥寮鄉,365.99
161,東勢鄉,473.68
162,褒忠鄉,483.3
