OBJECTID,town,widow
231,彌陀鄉,5.2524
232,梓官鄉,5.5919
233,旗山鎮,5.0764
234,美濃鎮,5.2038
235,六龜鄉,4.7296
236,甲仙鄉,4.0348
237,杉林鄉,4.8013
238,內門鄉,5.0714
239,茂林鄉,6.1638
240,桃源鄉,3.0904
241,三民鄉,4.2373
242,屏東市,4.3272
243,潮州鎮,4.642
244,東港鎮,5.2748
245,恆春鎮,4.7791
246,萬丹鄉,5.2071
247,長治鄉,4.9022
248,麟洛鄉,5.2698
249,九如鄉,4.856
250,里港鄉,4.943
251,鹽埔鄉,4.6002
252,高樹鄉,4.828
253,萬巒鄉,6.0782
254,內埔鄉,5.4082
255,竹田鄉,5.8643
256,新埤鄉,5.5959
257,枋寮鄉,4.9421
258,新園鄉,5.1854
259,崁頂鄉,5.1582
260,林邊鄉,5.3347
261,南州鄉,5.0985
262,佳冬鄉,5.7465
263,琉球鄉,5.3077
264,車城鄉,5.1176
265,滿州鄉,5.4954
266,枋山鄉,4.4327
267,三地鄉,5.001
268,霧臺鄉,5.9992
269,瑪家鄉,6.4226
270,泰武鄉,4.597
271,來義鄉,5.827
272,春日鄉,6.4771
273,獅子鄉,5.1777
274,牡丹鄉,5.3898
275,臺東鎮,3.8901
276,成功鎮,3.9395
277,關山鎮,4.0846
278,卑南鄉,4.4422
279,鹿野鄉,4.0691
280,池上鄉,4.238
281,東河鄉,4.3339
282,長濱鄉,4.3588
283,太麻里鄉,4.3268
284,大武鄉,4.7683
285,綠島鄉,5.4278
286,海端鄉,4.2869
287,延平鄉,3.654
288,金峰鄉,3.9049
289,達仁鄉,5.3785
290,蘭嶼鄉,4.1251
291,花蓮市,4.3846
292,鳳林鎮,5.1929
293,玉里鎮,4.4398
294,新城鄉,5.0473
295,吉安鄉,4.9714
296,壽豐鄉,5.1844
297,光復鄉,5.2469
298,豐濱鄉,4.2705
299,瑞穗鄉,4.7495
300,富里鄉,4.6802
301,秀林鄉,4.2046
302,萬榮鄉,3.8093
303,卓溪鄉,4.4115
304,馬公鎮,4.9646
305,湖西鄉,7.0592
306,白沙鄉,7.9872
307,西嶼鄉,7.913
308,望安鄉,7.2673
309,七美鄉,7.5113
310,中正區,4.6201
311,七堵區,5.2658
312,暖暖區,4.6944
313,仁愛區,5.8261
314,中山區,4.6063
315,安樂區,5.4271
316,信義區,4.7162
317,新竹市,4.5393
318,香山鄉,4.8079
319,中區,4.8263
320,東區,4.3115
321,南區,4.7406
322,西區,4.312
323,北區,4.5708
324,西屯區,4.0988
325,南屯區,4.435
326,北屯區,4.0878
327,嘉義市,4.7281
328,東區,3.9786
329,南區,4.7199
330,西區,5.4525
331,北區,4.1699
332,中區,5.2825
333,安南區,4.8514
334,安平區,4.6818
335,鹽埕區,3.7716
336,鼓山區,3.8391
337,左營區,3.3932
338,楠梓區,3.9751
339,三民區,3.5243
340,新興區,3.3017
341,前金區,3.8276
342,苓雅區,3.4398
343,前鎮區,3.1645
344,旗津區,4.9884
345,小港鄉,4.4282
346,大安區,3.9482
347,大同區,5.1172
348,松山區,3.6811
349,南港鎮,4.1449
350,內湖鄉,4.201
351,中山區,3.9753
352,北投鎮,4.5859
353,士林鎮,4.4923
354,城中區,3.8353
355,延平區,5.5133
356,建成區,5.1649
357,古亭區,3.512
358,龍山區,5.1937
359,雙園區,4.4763
360,景美鎮,4.1112
361,木柵鄉,4.1734
